modelos,dataset,tipo,acertos,erros,invalidos,pct_acertos,pct_erros,pct_invalidos
zephyr-sft-bnb-4bit-V2.csv,pt,v2,4040,10858,152,26.84,73.16,1.01
phi-4-unsloth-bnb-4bit-V2.csv,pt,v2,7378,7045,627,49.02,50.98,4.17
Llama-3.1-8B-unsloth-bnb-4bit-V2.csv,pt,v2,5412,9123,515,35.96,64.04,3.42
Qwen2.5-14B-Instruct-unsloth-bnb-4bit-V2.csv,pt,v2,8086,6446,518,53.73,46.27,3.44
gemma-3-12b-it-unsloth-bnb-4bit.csv,glosa,sem_fine_tuning,6816,8164,70,45.29,54.71,0.47
zephyr-sft-bnb-4bit.csv,glosa,sem_fine_tuning,5090,9958,2,33.82,66.18,0.01
Qwen3-14B-unsloth-bnb-4bit-unsloth-largest.csv,glosa,sem_fine_tuning,3648,11266,136,24.24,75.76,0.9
Llama-3.2-3B-Instruct-unsloth-bnb-4bit.csv,glosa,sem_fine_tuning,5082,9836,132,33.77,66.23,0.88
Llama-3.1-8B-unsloth-bnb-4bit.csv,glosa,sem_fine_tuning,2195,4752,8103,14.58,85.42,53.84
Qwen2.5-7B-Instruct-bnb-4bit.csv,glosa,sem_fine_tuning,6132,8781,137,40.74,59.26,0.91
Qwen2.5-32B-Instruct-bnb-4bit-unsloth-largest.csv,glosa,sem_fine_tuning,4845,10075,130,32.19,67.81,0.86
phi-4-unsloth-bnb-4bit.csv,glosa,sem_fine_tuning,1,0,15049,0.01,99.99,99.99
Qwen2.5-14B-Instruct-unsloth-bnb-4bit.csv,glosa,sem_fine_tuning,6004,8916,130,39.89,60.11,0.86
DeepSeek-R1-Distill-Llama-8B.csv,glosa,sem_fine_tuning,4281,10623,146,28.45,71.55,0.97
Llama-3.1-8B-unsloth-bnb-4bit-V1.csv,glosa,v1,5402,9509,139,35.89,64.11,0.92
phi-4-unsloth-bnb-4bit-V1.csv,glosa,v1,7220,7703,127,47.97,52.03,0.84
Qwen2.5-7B-Instruct-bnb-4bit-V1.csv,glosa,v1,6818,8107,125,45.3,54.7,0.83
zephyr-sft-bnb-4bit-V1.csv,glosa,v1,5284,9757,9,35.11,64.89,0.06
gemma-3-12b-it-bnb-4bit-V1.csv,glosa,v1,6816,8164,70,45.29,54.71,0.47
Llama-3.2-3B-Instruct-unsloth-bnb-4bit-V1.csv,glosa,v1,5149,9776,125,34.21,65.79,0.83
Qwen2.5-14B-Instruct-unsloth-bnb-4bit-V1.csv,glosa,v1,7538,7388,124,50.09,49.91,0.82
Qwen2.5-7B-Instruct-bnb-4bit-V2.csv,glosa,v2,5088,7302,2660,33.81,66.19,17.67
Llama-3.2-3B-Instruct-unsloth-bnb-4bit-V2.csv,glosa,v2,5009,9875,166,33.28,66.72,1.1
gemma-3-12b-it-bnb-4bit-V2.csv,glosa,v2,6816,8164,70,45.29,54.71,0.47
zephyr-sft-bnb-4bit-V2.csv,glosa,v2,4039,10904,107,26.84,73.16,0.71
phi-4-unsloth-bnb-4bit-V2.csv,glosa,v2,6168,8538,344,40.98,59.02,2.29
Llama-3.1-8B-unsloth-bnb-4bit-V2.csv,glosa,v2,4864,10015,171,32.32,67.68,1.14
Qwen2.5-14B-Instruct-unsloth-bnb-4bit-V2.csv,glosa,v2,6595,8275,180,43.82,56.18,1.2
gemma-3-12b-it-unsloth-bnb-4bit.csv,english,sem_fine_tuning,10737,4304,9,71.34,28.66,0.06
zephyr-sft-bnb-4bit.csv,english,sem_fine_tuning,8565,6461,24,56.91,43.09,0.16
Qwen3-14B-unsloth-bnb-4bit-unsloth-largest.csv,english,sem_fine_tuning,4351,9960,739,28.91,71.09,4.91
Llama-3.2-3B-Instruct-unsloth-bnb-4bit.csv,english,sem_fine_tuning,8931,6108,11,59.34,40.66,0.07
Llama-3.1-8B-unsloth-bnb-4bit.csv,english,sem_fine_tuning,8242,6733,75,54.76,45.24,0.5
Qwen2.5-7B-Instruct-bnb-4bit.csv,english,sem_fine_tuning,10302,4733,15,68.45,31.55,0.1
phi-4-unsloth-bnb-4bit.csv,english,sem_fine_tuning,7132,1989,5929,47.39,52.61,39.4
Qwen2.5-14B-Instruct-unsloth-bnb-4bit.csv,english,sem_fine_tuning,7989,7021,40,53.08,46.92,0.27
DeepSeek-R1-Distill-Llama-8B.csv,english,sem_fine_tuning,8014,7027,9,53.25,46.75,0.06
Llama-3.1-8B-unsloth-bnb-4bit-V1.csv,english,v1,8506,6399,145,56.52,43.48,0.96
phi-4-unsloth-bnb-4bit-V1.csv,english,v1,11284,3646,120,74.98,25.02,0.8
Qwen2.5-7B-Instruct-bnb-4bit-V1.csv,english,v1,10175,4743,132,67.61,32.39,0.88
zephyr-sft-bnb-4bit-V1.csv,english,v1,7835,6727,488,52.06,47.94,3.24
gemma-3-12b-it-bnb-4bit-V1.csv,english,v1,10634,4263,153,70.66,29.34,1.02
Llama-3.2-3B-Instruct-unsloth-bnb-4bit-V1.csv,english,v1,8173,6754,123,54.31,45.69,0.82
Qwen2.5-14B-Instruct-unsloth-bnb-4bit-V1.csv,english,v1,11018,3902,130,73.21,26.79,0.86
Qwen2.5-7B-Instruct-bnb-4bit-V2.csv,english,v2,9169,5599,282,60.92,39.08,1.87
Llama-3.2-3B-Instruct-unsloth-bnb-4bit-V2.csv,english,v2,7183,7723,144,47.73,52.27,0.96
zephyr-sft-bnb-4bit-V2.csv,english,v2,4327,9852,871,28.75,71.25,5.79
phi-4-unsloth-bnb-4bit-V2.csv,english,v2,10708,4171,171,71.15,28.85,1.14
Llama-3.1-8B-unsloth-bnb-4bit-V2.csv,english,v2,6801,7985,264,45.19,54.81,1.75
Qwen2.5-14B-Instruct-unsloth-bnb-4bit-V2.csv,english,v2,8507,6389,154,56.52,43.48,1.02
gemma-3-12b-it-unsloth-bnb-4bit.csv,glosa_pt,sem_fine_tuning,7934,7047,69,52.72,47.28,0.46
zephyr-sft-bnb-4bit.csv,glosa_pt,sem_fine_tuning,5779,9268,3,38.4,61.6,0.02
Qwen3-14B-unsloth-bnb-4bit-unsloth-largest.csv,glosa_pt,sem_fine_tuning,3710,11210,130,24.65,75.35,0.86
Llama-3.2-3B-Instruct-unsloth-bnb-4bit.csv,glosa_pt,sem_fine_tuning,5839,9085,126,38.8,61.2,0.84
Llama-3.1-8B-unsloth-bnb-4bit.csv,glosa_pt,sem_fine_tuning,2372,3985,8693,15.76,84.24,57.76
Qwen2.5-7B-Instruct-bnb-4bit.csv,glosa_pt,sem_fine_tuning,7303,7617,130,48.52,51.48,0.86
phi-4-unsloth-bnb-4bit.csv,glosa_pt,sem_fine_tuning,1,2,15047,0.01,99.99,99.98
Qwen2.5-14B-Instruct-unsloth-bnb-4bit.csv,glosa_pt,sem_fine_tuning,7245,7678,127,48.14,51.86,0.84
DeepSeek-R1-Distill-Llama-8B.csv,glosa_pt,sem_fine_tuning,4763,10136,151,31.65,68.35,1.0
Llama-3.1-8B-unsloth-bnb-4bit-V1.csv,glosa_pt,v1,5965,8963,122,39.63,60.37,0.81
phi-4-unsloth-bnb-4bit-V1.csv,glosa_pt,v1,8058,6867,125,53.54,46.46,0.83
Qwen2.5-7B-Instruct-bnb-4bit-V1.csv,glosa_pt,v1,7456,7471,123,49.54,50.46,0.82
zephyr-sft-bnb-4bit-V1.csv,glosa_pt,v1,5729,9287,34,38.07,61.93,0.23
gemma-3-12b-it-bnb-4bit-V1.csv,glosa_pt,v1,7934,7047,69,52.72,47.28,0.46
Llama-3.2-3B-Instruct-unsloth-bnb-4bit-V1.csv,glosa_pt,v1,5765,9162,123,38.31,61.69,0.82
Qwen2.5-14B-Instruct-unsloth-bnb-4bit-V1.csv,glosa_pt,v1,8215,6713,122,54.58,45.42,0.81
Qwen2.5-7B-Instruct-bnb-4bit-V2.csv,glosa_pt,v2,5613,7094,2343,37.3,62.7,15.57
Llama-3.2-3B-Instruct-unsloth-bnb-4bit-V2.csv,glosa_pt,v2,5446,9435,169,36.19,63.81,1.12
gemma-3-12b-it-bnb-4bit-V2.csv,glosa_pt,v2,7934,7047,69,52.72,47.28,0.46
zephyr-sft-bnb-4bit-V2.csv,glosa_pt,v2,4074,10840,136,27.07,72.93,0.9
phi-4-unsloth-bnb-4bit-V2.csv,glosa_pt,v2,6541,8186,323,43.46,56.54,2.15
Llama-3.1-8B-unsloth-bnb-4bit-V2.csv,glosa_pt,v2,5206,9695,149,34.59,65.41,0.99
Qwen2.5-14B-Instruct-unsloth-bnb-4bit-V2.csv,glosa_pt,v2,7283,7593,174,48.39,51.61,1.16
