id,instance,class_type,number_instance,all_number_instance,contains_code,only_special_characters
2240_inp,"[-5, 10, 15, 20, 25, 30, 35]",inp,False,True,False,False
2253_inp,"1 4 7
2 5 8 
3 6 9",inp,False,True,False,False
2281_inp,2(x + 9) + 2(x + 7),inp,False,True,False,False
2329_inp,"3, 2, 5",inp,True,True,False,False
2365_inp,"[4, 10, 20, 12]",inp,True,True,False,False
2510_inp,2/5,inp,False,True,False,False
2538_inp,f(x)= 3x+6,inp,True,True,False,False
2649_inp,"1, 4, 7, 10",inp,True,True,False,False
2724_inp,"2, 5, 7, 8, 10",inp,True,True,False,False
2794_inp,"[3, 2, 1, 2, 3, 4]",inp,True,True,False,False
2798_inp,"[10, 20, 30, 40]",inp,True,True,False,False
2822_inp,"10, 11, 8, 12, 7",inp,True,True,False,False
2823_inp,N/A,inp,False,True,False,False
2827_inp,N/A,inp,False,True,False,False
2830_inp,N/A,inp,False,True,False,False
2837_inp,"[1, 2, 3, 4, 5]",inp,True,True,False,False
2894_inp,"[1, 2, 3, 4]",inp,True,True,False,False
2909_inp,25 + 45,inp,False,True,False,False
2969_inp,"[11, 2, 31, 7, 15]",inp,True,True,False,False
3007_inp,"[5, 2, 6, 1, 9]",inp,True,True,False,False
3025_inp,45 + 86,inp,False,True,False,False
3111_inp,a = 2,inp,False,True,False,False
3132_inp,2 x 3 =,inp,False,True,False,False
3169_inp,"5, 37, 18, 90, 23",inp,True,True,False,False
3246_inp,"4, 32, 6, 87",inp,True,True,False,False
3379_inp,"a = 8
b = 5
c = a + b",inp,False,True,False,False
3384_inp,"1, 4, 7, 9, 11",inp,True,True,False,False
3424_inp,8 5 2 9 1,inp,False,True,False,False
3617_inp,y=x+3,inp,False,True,False,False
3619_inp,41,inp,False,True,False,False
3633_inp,"[1, 2, 3, 4, 5]",inp,True,True,False,False
3683_inp,8+4*9,inp,True,True,False,False
3706_inp,1275,inp,False,True,False,False
3798_inp,"[1, 2, 3, 4, 5]",inp,True,True,False,False
3801_inp,23,inp,False,True,False,False
3939_inp,2x+5=7,inp,True,True,False,False
3963_inp,"130, 200, 110, 95",inp,True,True,False,False
3999_inp,"[[1, 2], [3, 4], [5, 6]]",inp,True,True,False,False
4006_inp,"[1, 2, 3, 4, 5]",inp,True,True,False,False
4010_inp,"[4, 3, 6, 10, 8]",inp,True,True,False,False
4011_inp,7,inp,False,True,False,False
4031_inp,"[[1, 2, 3], [2, 3, 4], [3, 4, 5], [4, 5, 6]]",inp,True,True,False,False
4044_inp,72,inp,False,True,False,False
4052_inp,"2, 4, 6, 9",inp,True,True,False,False
4060_inp,-6.2,inp,False,True,False,False
4108_inp,"9.3, 10.1, 10.4, 8.7",inp,False,True,False,False
4168_inp,10,inp,False,True,False,False
4381_inp,"[4, 9, 3, 2, 7, 1, 5]",inp,True,True,False,False
4388_inp,6 + 3,inp,False,True,False,False
4422_inp,"x = 5 
y = 10
z = x + y",inp,True,True,False,False
4461_inp,6/3,inp,False,True,False,False
4478_inp,62,inp,False,True,False,False
4581_inp,"[5, 4, 2, 8, 9, 10, 1]",inp,True,True,False,False
4591_inp,"[4, 7, 1, 6, 3]",inp,True,True,False,False
4592_inp,4442345678,inp,False,True,False,False
4741_inp,"[25, 20, 15, 8, 5]",inp,True,True,False,False
4767_inp,0101,inp,False,True,False,False
4819_inp,"[7, 1, 3, 5, 9]",inp,True,True,False,False
4888_inp,7 + 3,inp,False,True,False,False
5040_inp,2x + 8 = 2y-6,inp,True,True,False,False
5043_inp,"[""a"",""b"",""c""]",inp,False,True,False,False
5287_inp,"[1, 3, 15, 20, 8, 9]",inp,True,True,False,False
5390_inp,N/A,inp,False,True,False,False
5393_inp,N/A,inp,False,True,False,False
5404_inp,5,inp,False,True,False,False
5406_inp,"[4, 8, 1, 10]",inp,True,True,False,False
5409_inp,"[1, 2, 3, 2, 4, 2]",inp,True,True,False,False
5465_inp,56,inp,False,True,False,False
5549_inp,0.45,inp,False,True,False,False
5560_inp,2x + 3y = 6,inp,True,True,False,False
5565_inp,"1, 2, 8, 9, 12, 13",inp,True,True,False,False
5664_inp,"A(2,5), B(5,1), C(7,7)",inp,True,True,False,False
5665_inp,"(-3,1), (2,5)",inp,True,True,False,False
5706_inp,"[2, 4, 9, 1, 10]",inp,True,True,False,False
5761_inp,c = a + b,inp,False,True,False,False
5875_inp,5x + 7 = 57,inp,True,True,False,False
5929_inp,"[1, 2, 3, 2, 4, 5, 6, 7, 1, 4]",inp,True,True,False,False
6003_inp,"[5, 2, 9, 7, 4, 1]",inp,True,True,False,False
6012_inp,57,inp,False,True,False,False
6014_inp,3 + 2 x 5,inp,False,True,False,False
6149_inp,"C, E, G",inp,False,True,False,False
6150_inp,"3, 6, 9, 12, 15, 18, 21, 24, 27",inp,True,True,False,False
6152_inp,4x + 5y - 6z,inp,True,True,False,False
6341_inp,60,inp,False,True,False,False
6342_inp,"[3, 6, 4, 7, 8, 10, 0, 9]",inp,True,True,False,False
6402_inp,1,inp,False,True,False,False
6416_inp,9838,inp,False,True,False,False
6497_inp,"45, 67",inp,True,True,False,False
6505_inp,"4, 6, 10, 16",inp,True,True,False,False
6520_inp,"1, 4, 7, 10",inp,True,True,False,False
6532_inp,"[-9, 0, 5, 12, 19]",inp,False,True,False,False
6596_inp,2x + 3y = 15,inp,True,True,False,False
6639_inp,"2, 3, 5, 8",inp,True,True,False,False
6659_inp,"2, 6, 14, 30",inp,True,True,False,False
6712_inp,"5, 8, 10, 11",inp,True,True,False,False
6714_inp,3/4 + 2/3,inp,False,True,False,False
6717_inp,"H, O, C, N",inp,False,True,False,False
6829_inp,"1 4 5 0 0 0 0 3 9
0 0 0 8 0 3 4 0 0
0 0 9 0 0 0 6 8 0
0 0 3 7 0 0 0 0 4
0 9 0 0 6 0 0 7 0
6 0 0 0 0 4 9 0 0
0 3 1 0 0 0 5 0 0
0 0 7 2 0 5 0 0 0
5 2 0 0 0 0 7 4 8",inp,False,True,False,False
6840_inp,"[3, 9, 5, 4, 7]",inp,True,True,False,False
6859_inp,"2, 4, 4, 4, 2",inp,True,True,False,False
6997_inp,25.09,inp,False,True,False,False
7054_inp,427,inp,False,True,False,False
7073_inp,"[-10, 8, 0, 18, 1]",inp,False,True,False,False
7189_inp,25 + 37,inp,False,True,False,False
7271_inp,14,inp,False,True,False,False
7283_inp,"1, 2, 4, 5, 8, 9",inp,True,True,False,False
7364_inp,"2, 5, 1, 4, 9",inp,True,True,False,False
7380_inp,3x + 4 = 2x + 12,inp,True,True,False,False
7420_inp,0100100001100101011011000110110001101111001000000111011101101111011100100110110001100100,inp,False,True,False,False
7540_inp,x + y = 6,inp,True,True,False,False
7544_inp,"[1, 5, 7, 18, 24, 32]",inp,True,True,False,False
7614_inp,"[5, 1, 9, 3, 4]",inp,True,True,False,False
7635_inp,"x = 7
y = 4",inp,True,True,False,False
7661_inp,f(x) = 2x,inp,True,True,False,False
7672_inp,54,inp,False,True,False,False
7680_inp,2(x + 3y - 4z),inp,True,True,False,False
7686_inp,1101,inp,False,True,False,False
7711_inp,2x + 6 = 16,inp,True,True,False,False
7811_inp,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10",inp,True,True,False,False
7882_inp,"3, 6, 10, 15...",inp,False,True,False,False
7885_inp,"5, 8, 10, 12",inp,True,True,False,False
7886_inp,"90, 86, 75, 63",inp,True,True,False,False
8050_inp,"a = 4, b = 3",inp,False,True,False,False
8325_inp,"[1, 2, 3, 4, 5, 6]",inp,True,True,False,False
8379_inp,"5, 4, 7, 2, 8",inp,True,True,False,False
8384_inp,45678 + 67543,inp,False,True,False,False
8403_inp,"[1, 5, 2, 4, 2, 5]",inp,True,True,False,False
8497_inp,"7, 4, 5, 9",inp,True,True,False,False
8561_inp,"2, 4, 6, 8",inp,True,True,False,False
8631_inp,"1, 10, 50, 100",inp,True,True,False,False
8665_inp,"288, 320",inp,True,True,False,False
8667_inp,2x+3y=5,inp,True,True,False,False
8669_inp,2x+6=12,inp,True,True,False,False
8675_inp,89,inp,False,True,False,False
8692_inp,"G, A, B, C",inp,False,True,False,False
8733_inp,"9, 4, 1, 5, 6",inp,True,True,False,False
8792_inp,64,inp,False,True,False,False
8801_inp,x =,inp,False,True,False,False
8953_inp,"5, 18, -3, 7",inp,False,True,False,False
8968_inp,1+4+9+16+25,inp,True,True,False,False
9012_inp,f(x) = 2x + 1,inp,True,True,False,False
9060_inp,7,inp,False,True,False,False
9088_inp,"2, 3, 5, 8, 6, 4",inp,True,True,False,False
9153_inp,"(1,2), (3,5)",inp,True,True,False,False
9237_inp,"2, 3, 5, 6, 10",inp,True,True,False,False
9253_inp,"90, 70, 80, 75, 85",inp,True,True,False,False
9316_inp,67,inp,False,True,False,False
9354_inp,(5*5) + 4,inp,True,True,False,False
9390_inp,"[100, 15, -50, 0, 20]",inp,False,True,False,False
9536_inp,"5, 9, 4, 6, 7",inp,True,True,False,False
9537_inp,1945,inp,False,True,False,False
9580_inp,125,inp,False,True,False,False
9613_inp,"[1, 2, 3, 2, 4, 3]",inp,True,True,False,False
9658_inp,"[2, 13, 7, 17, 4]",inp,True,True,False,False
9675_inp,7,inp,False,True,False,False
9742_inp,732,inp,False,True,False,False
9890_inp,"[2, 4, 5, 7, 1]",inp,True,True,False,False
9929_inp,(3 + 2i) * (2 + 4i),inp,False,True,False,False
10095_inp,2y-4x=8,inp,True,True,False,False
10129_inp,2x + 3 = 7,inp,True,True,False,False
10233_inp,"[2, 4, 6, 8]",inp,True,True,False,False
10234_inp,x = 4,inp,True,True,False,False
10409_inp,19,inp,False,True,False,False
10504_inp,4 * 4 * 4 * 4 - 10,inp,False,True,False,False
10537_inp,7/20,inp,False,True,False,False
10580_inp,4x - 2 = 10,inp,True,True,False,False
10618_inp,1/2,inp,False,True,False,False
10654_inp,0.8,inp,False,True,False,False
10665_inp,5,inp,False,True,False,False
10723_inp,"[1, 2, 3, 4, 5, 6]",inp,True,True,False,False
10724_inp,"[1, 2, 3] and [3, 4, 5]",inp,True,True,False,False
10829_inp,"[""a"", ""b"", ""c"", ""d"", ""e"", ""f"", ""g""]",inp,False,True,False,False
10832_inp,"A (0, 0), B (3, 0), C (0, 4)",inp,False,True,False,False
10861_inp,10 - 8,inp,False,True,False,False
10902_inp,10 20 2020,inp,False,True,False,False
10948_inp,110111,inp,False,True,False,False
11096_inp,"40.752007,  -73.984140",inp,False,True,False,False
11255_inp,"3, 5, 4, 1, 6",inp,True,True,False,False
11376_inp,"[1, 2, 3, 4, 5]",inp,True,True,False,False
11449_inp,"[3, 6, 11, 25, 0, 17]",inp,True,True,False,False
11463_inp,"[1, 2, 3, 4, 5]",inp,True,True,False,False
11758_inp,"3, 8, 5, 1, 9",inp,True,True,False,False
11763_inp,"5, 15, 20, 2, 10",inp,True,True,False,False
11795_inp,467,inp,False,True,False,False
11901_inp,"30, 20, 22, 34, 16, 32",inp,True,True,False,False
11972_inp,"5, 8, 13",inp,True,True,False,False
12044_inp,y + 8 + 4y,inp,True,True,False,False
12046_inp,5,inp,False,True,False,False
12207_inp,"[10, 20, 30, 40, 50]",inp,True,True,False,False
12225_inp,"3, 4, 6, 8, 10",inp,True,True,False,False
12265_inp,14.659,inp,False,True,False,False
12299_inp,"17, 8, 3, 22, 9",inp,True,True,False,False
12322_inp,"1, 2, 4, 5, 10",inp,True,True,False,False
12516_inp,"1, 5, 23, 9",inp,True,True,False,False
12548_inp,"1,2,3,4",inp,True,True,False,False
12586_inp,C6H12O6,inp,False,True,False,False
12610_inp,"A(-3,-2)",inp,False,True,False,False
12611_inp,N/A,inp,False,True,False,False
12612_inp,N/A,inp,False,True,False,False
12650_inp,30,inp,False,True,False,False
12651_inp,"231, 132, 83, 489",inp,True,True,False,False
12733_inp,3x + 5 = 28,inp,True,True,False,False
12822_inp,63,inp,False,True,False,False
12906_inp,"(5, 7) (1, 3) (4, 4)",inp,False,True,False,False
12970_inp,"1, 2, 3, 4",inp,True,True,False,False
12974_inp,"2, 4, 6",inp,True,True,False,False
13056_inp,7,inp,False,True,False,False
13063_inp,"A = (2, 4), B = (6, 8).",inp,False,True,False,False
13068_inp,"2, 3, 5",inp,True,True,False,False
13126_inp,"[2, 5, 8, 10, 20, 15]",inp,True,True,False,False
13136_inp,"3, 7",inp,True,True,False,False
13242_inp,103,inp,False,True,False,False
13322_inp,10,inp,False,True,False,False
13356_inp,1959,inp,False,True,False,False
13462_inp,4.7,inp,False,True,False,False
13676_inp,"[1, 5, 3, 8, 4]",inp,True,True,False,False
13734_inp,"3, 7, 12",inp,True,True,False,False
13793_inp,4x+ 6 = 20,inp,True,True,False,False
13794_inp,y = 4x + 10,inp,True,True,False,False
13894_inp,9 + 4 x 3,inp,False,True,False,False
13930_inp,"[3, 8, 5, 4, 1, 9]",inp,True,True,False,False
13944_inp,"1
2 2
3 3 3
4 4 4 4",inp,False,True,False,False
13999_inp,01110101 01100001 01110010 01101001 01110100,inp,False,True,False,False
14007_inp,"8, 10, 15",inp,True,True,False,False
14145_inp,"A, B, C, D",inp,False,True,False,False
14189_inp,y = x3 + 2,inp,False,True,False,False
14254_inp,"a = 8, b = 27",inp,False,True,False,False
14404_inp,"[3, 4, 5, 6, 7]",inp,True,True,False,False
14736_inp,"[2, 7, 11, 4]",inp,True,True,False,False
14924_inp,"5, 10, 15, 20, 25",inp,True,True,False,False
15034_inp,"2, 5, 10",inp,True,True,False,False
15040_inp,"[[1, 2], [3, 4]]",inp,True,True,False,False
15060_inp,(5+7)*3.,inp,True,True,False,False
15085_inp,"[1,2,3]",inp,True,True,False,False
15096_inp,"2, 3, 3, 5, 6",inp,True,True,False,False
15155_inp,300,inp,False,True,False,False
15185_inp,30,inp,False,True,False,False
15240_inp,C3H7N,inp,False,True,False,False
15244_inp,123-456-7890,inp,False,True,False,False
15352_inp,"3, 10, 33, 2",inp,True,True,False,False
15402_inp,"[1, 5, 9, 4]",inp,True,True,False,False
15498_inp,"3, 5, 8",inp,True,True,False,False
15523_inp,10 * 5,inp,False,True,False,False
15547_inp,"4, 7, 12",inp,True,True,False,False
15706_inp,"2, 4, 6, 8",inp,True,True,False,False
15720_inp,85368,inp,False,True,False,False
15731_inp,538,inp,False,True,False,False
15740_inp,"x = 2y + 4, y = 3.",inp,True,True,False,False
15879_inp,"10, 25",inp,True,True,False,False
15885_inp,2 + 3 = 5,inp,False,True,False,False
15893_inp,10 x 5,inp,False,True,False,False
15915_inp,"[1, 2, 3, 4, 5]",inp,True,True,False,False
15971_inp,"2, 3, 7, 11, 15",inp,True,True,False,False
15983_inp,"[4,21,11,32,14]",inp,True,True,False,False
16000_inp,32,inp,False,True,False,False
16094_inp,"[4, 3, 5, 9, 1]",inp,True,True,False,False
16174_inp,2 + 3 x 4,inp,False,True,False,False
16223_inp,"[1, 2, 3, 4, 5]",inp,True,True,False,False
16319_inp,"16, 17, 33, 35",inp,True,True,False,False
16351_inp,"[10, 8, 12, 14]",inp,True,True,False,False
16501_inp,53,inp,False,True,False,False
16568_inp,"1, 4, 6, 8, 7",inp,True,True,False,False
16601_inp,"5, 11, 87, 32",inp,True,True,False,False
16630_inp,582,inp,False,True,False,False
16660_inp,254,inp,False,True,False,False
16687_inp,"1,2,3",inp,True,True,False,False
16715_inp,"3, 8, 11",inp,True,True,False,False
16841_inp,255,inp,False,True,False,False
16852_inp,"3, 4, 5",inp,True,True,False,False
17038_inp,"[(3,7),(2,2),(2,5),(1,3),(8,6)]",inp,True,True,False,False
17067_inp,"56, 99, 24",inp,True,True,False,False
17111_inp,F.B.I.,inp,False,True,False,False
17119_inp,2x - 3 = 7,inp,True,True,False,False
17124_inp,"7, 9",inp,True,True,False,False
17137_inp,"1, 2, 3, 4, 32, 0",inp,True,True,False,False
17143_inp,8x + 6 = 52,inp,True,True,False,False
17164_inp,"[8, 3, 9, 5, 1]",inp,True,True,False,False
17221_inp,"[7, 9, 5, 4, 6, 8]",inp,True,True,False,False
17235_inp,"[5, 3, 9, 4, 1]",inp,True,True,False,False
17244_inp,"5, 3, 7, 2",inp,True,True,False,False
17333_inp,"[-5, 9, 10, 0]",inp,False,True,False,False
17334_inp,"43, -2, 3, 39",inp,False,True,False,False
17336_inp,"63, 22",inp,True,True,False,False
17338_inp,60,inp,False,True,False,False
17556_inp,"[1, 3, 5, 7, 9]",inp,True,True,False,False
17628_inp,"2, 5, 7, 8",inp,True,True,False,False
17677_inp,"95, 98, 65, 88, 70",inp,True,True,False,False
17715_inp,"[1, 5, 6, 8, -3, -2, 0]",inp,False,True,False,False
17745_inp,3.116,inp,False,True,False,False
17874_inp,37,inp,False,True,False,False
17903_inp,"[2, 4, 6, 8, 10]",inp,True,True,False,False
17906_inp,"2, 4, 8, 16",inp,True,True,False,False
17917_inp,3 + 5,inp,False,True,False,False
18009_inp,..-. --- -.-. .... .,inp,False,True,False,False
18020_inp,U.S,inp,False,True,False,False
18290_inp,"[3, 7, 2, 1, 6]",inp,True,True,False,False
18337_inp,"[1, 4, 9, 5, 1, 4, 9]",inp,True,True,False,False
18339_inp,"(1, 1), (2, 2), (3, 4)",inp,False,True,False,False
18378_inp,"2, 5, 10, 17",inp,True,True,False,False
18507_inp,100,inp,False,True,False,False
18545_inp,+,inp,False,True,False,True
18646_inp,4x + 8y = 16,inp,True,True,False,False
18920_inp,2x + 5 = 11,inp,True,True,False,False
19020_inp,"6, 3, 9, 5",inp,True,True,False,False
19036_inp,"3, 7, 2, 8, 9, 1",inp,True,True,False,False
19069_inp,3,inp,False,True,False,False
19079_inp,"[1,2,3,3,3,3,4,5]",inp,True,True,False,False
19148_inp,"*
**
***
****",inp,False,True,False,False
19175_inp,24,inp,False,True,False,False
19180_inp,1-10,inp,False,True,False,False
19188_inp,"[1, 2, 3, 4, 5]",inp,True,True,False,False
19450_inp,y=3x+2,inp,True,True,False,False
19508_inp,"[1, 6, 5, 9, 8]",inp,True,True,False,False
19509_inp,"[2, 3, 4]",inp,True,True,False,False
19614_inp,"2, 7, 11, 14",inp,True,True,False,False
19629_inp,"[5, 4, 10, 3, 6]",inp,True,True,False,False
19647_inp,2x + 3y = 4z,inp,True,True,False,False
19662_inp,"G, B, E",inp,False,True,False,False
19712_inp,"7, 4, 11",inp,True,True,False,False
19749_inp,"x + 2y = 6
3x - 4y = 4",inp,True,True,False,False
19839_inp,1 2 3,inp,False,True,False,False
19890_inp,"123.126.25.5, 192.168.255.0, 255.256.12.1, 192.88.0.1",inp,False,True,False,False
19891_inp,"[1, 5, 8, 11, 15, 20, 24, 30]",inp,True,True,False,False
19909_inp,"[3, 4, 6, 2, 7]",inp,True,True,False,False
19912_inp,"A = 36
B = 48",inp,False,True,False,False
19976_inp,2x + 4y - 3y,inp,True,True,False,False
19995_inp,"1, 5, 9, 20, 25",inp,True,True,False,False
20048_inp,68669/7,inp,False,True,False,False
20115_inp,"[5, 1, 1, 5]",inp,True,True,False,False
20122_inp,"2.85, 3.45, 4.30",inp,False,True,False,False
20522_inp,"[4, 8, 2, 3, 0, 10]",inp,True,True,False,False
20545_inp,"3, 7, 4, 19",inp,True,True,False,False
20557_inp,"[5, 10, 15, 20]",inp,True,True,False,False
20559_inp,2x + 5 = 13,inp,True,True,False,False
20568_inp,"3, 5, 10, 17",inp,True,True,False,False
20597_inp,2.115,inp,False,True,False,False
20618_inp,2F35,inp,False,True,False,False
20706_inp,"1,2,3,4,5",inp,True,True,False,False
20707_inp,"10, 20, 30, 40",inp,True,True,False,False
20831_inp,"22, 34, 10",inp,True,True,False,False
20879_inp,f(x)=2x,inp,True,True,False,False
21009_inp,"[10, 30, 20, 50, 40]",inp,True,True,False,False
21097_inp,"[1,2,3,4,5,6]",inp,True,True,False,False
21141_inp,3x + 4y = 10,inp,True,True,False,False
21152_inp,02/29/2020,inp,False,True,False,False
21157_inp,2145558444,inp,False,True,False,False
21190_inp,"[1, -4, -5, 2, 0, -20]",inp,False,True,False,False
21193_inp,"0.91, 0.92, 0.93",inp,False,True,False,False
21197_inp,"[5, 2, 9, 4, 6]",inp,True,True,False,False
21212_inp,7 + 4 =,inp,False,True,False,False
21320_inp,"3, 7, 11, 15",inp,True,True,False,False
21403_inp,"2, 3, 4",inp,True,True,False,False
21444_inp,"50, 80, 90",inp,True,True,False,False
21461_inp,4 + 5 x 10,inp,False,True,False,False
21464_inp,"[8, 3, 5, 9, 1]",inp,True,True,False,False
21498_inp,"5, 2, 4, 1, 8",inp,True,True,False,False
21545_inp,3,inp,False,True,False,False
21558_inp,2x + 3 = 7,inp,True,True,False,False
21729_inp,"-2, -1, 0, 1, 2, 3",inp,False,True,False,False
21769_inp,"1, 4, 6, 2, 7",inp,True,True,False,False
21975_inp,17 x 25,inp,False,True,False,False
22031_inp,"4, 5, 6, 3",inp,True,True,False,False
22081_inp,2 4 6,inp,False,True,False,False
22109_inp,"[4, 2, 7, 9, 1]",inp,True,True,False,False
22110_inp,4x + 2y + 3x + 5y,inp,True,True,False,False
22288_inp,"2, 5, 11",inp,True,True,False,False
22291_inp,"68, 46, 34, 98, 82",inp,True,True,False,False
22292_inp,y = 2x + 4,inp,True,True,False,False
22376_inp,"[1, 2, 3, 2, 4, 5]",inp,True,True,False,False
22453_inp,"D, C, F, A",inp,False,True,False,False
22465_inp,"x + 4y = 7
5x + 2y = 7",inp,True,True,False,False
22548_inp,"[3,7,9,2]",inp,True,True,False,False
22609_inp,"[4, 2, 7, 1, 3]",inp,True,True,False,False
22710_inp,2x + 3 = 7,inp,True,True,False,False
22719_inp,10110010,inp,False,True,False,False
22741_inp,"A = (4, 8), B = (1, 10)",inp,False,True,False,False
22744_inp,7381,inp,False,True,False,False
23032_inp,"[3.14, 6, 2, 8, 9, 8, 2]",inp,True,True,False,False
23070_inp,"5, 4, 8, 2, 3",inp,True,True,False,False
23142_inp,"[5, -10, 2, 46, 0]",inp,False,True,False,False
23268_inp,"A=(1,2), B=(3,4), C=(5,6)",inp,True,True,False,False
23367_inp,"3, 7, 5, 9",inp,True,True,False,False
23407_inp,x + y = 10,inp,True,True,False,False
23574_inp,"[2, 5, 8, 15, 7]",inp,True,True,False,False
23586_inp,"[40, 33, 21, 92, 3, 68, 10]",inp,True,True,False,False
23590_inp,2x + 4y + 5z = 7,inp,True,True,False,False
23602_inp,"7, 8, 4, 3, 9, 11",inp,True,True,False,False
23686_inp,"8, 2, *",inp,False,True,False,False
23707_inp,"[3,7,2,4,9]",inp,True,True,False,False
23985_inp,"2, 15, 3, 6, 7",inp,True,True,False,False
24007_inp,"[3, 4, 9, 11]",inp,True,True,False,False
24043_inp,210,inp,False,True,False,False
24254_inp,"[1, 2, 3, 4, 5]",inp,True,True,False,False
24303_inp,"1, 2, 3, 4",inp,True,True,False,False
24337_inp,"3x + 5y = 1
6x + 4y = 2",inp,True,True,False,False
24409_inp,2 (3 + 5),inp,False,True,False,False
24447_inp,"[1, 2, 3, 4, 5, 6, 7, 8]",inp,True,True,False,False
24573_inp,"7, 8",inp,True,True,False,False
24609_inp,"10, 20, 15",inp,True,True,False,False
24691_inp,1989,inp,False,True,False,False
24739_inp,"[4, 5]",inp,True,True,False,False
24800_inp,"2, 3, 5, 4, 1",inp,True,True,False,False
24946_inp,"[1,2,3,4,5]",inp,True,True,False,False
25035_inp,(7x + 7)/(3x + 4) = 5,inp,True,True,False,False
25078_inp,"4 x 5 =
A) 10
B) 20
C) 30
D) 40",inp,False,True,False,False
25196_inp,2x + 4 = 10,inp,True,True,False,False
25217_inp,"[2, 3, 5, 8]",inp,True,True,False,False
25234_inp,8+6,inp,True,True,False,False
25256_inp,"3, -9, 7, 4",inp,False,True,False,False
25319_inp,24,inp,False,True,False,False
25336_inp,"284, 252",inp,True,True,False,False
25359_inp,"2, 4, 7, 11, 16",inp,True,True,False,False
25419_inp,17,inp,False,True,False,False
25491_inp,"6, 3",inp,True,True,False,False
25548_inp,"10, 65, 8, 22, 15",inp,True,True,False,False
25682_inp,8x7y+3,inp,True,True,False,False
25722_inp,"2, 3, 6, 23",inp,True,True,False,False
25725_inp,1990s,inp,False,True,False,False
25806_inp,"3, 8, 10",inp,True,True,False,False
25857_inp,"[5, 15, 17, 20, 39]",inp,True,True,False,False
25862_inp,"[1,2,3,4]",inp,True,True,False,False
25940_inp,"[5, 10, 15, 20]",inp,True,True,False,False
25944_inp,"[1,7,9,11,12,14,18,21]",inp,True,True,False,False
