ID,INSTRUCTION,INPUT,OUTPUT
1740,,"2 x 3 = 6 
7 x 7 = 49
9 x 4 = 36","10 x 6 = 60
11 x 8 = 88
12 x 5 = 60"
1776,,,"1, 3, 6, 8."
1790,,,28
1822,,"7, 8, 6, 9",
1845,,"541, 1183, 745",2469.
1857,,0.567,
1875,,,"def balanced_parenthesis(string):
    stack = []
    for i in string:
        if i=='(':
            stack.append(i)
        elif i == ')':
            if len(stack) == 0:
                return False
            else:
                stack.pop()
    if len(stack) == 0:
        return True
    else:
        return False"
1892,,,73109
1896,,,"1. What is Chemical Engineering? 
Answer: Chemical engineering is the application of physical science, mathematics and economics to design, develop and optimize processes to safely produce and use chemicals, materials, and energy.

2. What types of projects do chemical engineers typically work on? 
Answer: Chemical engineers typically work on projects related to large-scale energy production, chemical process design and optimization, materials development, and production and manufacture of pharmaceuticals, food and drinks, and other consumer goods.

3. What qualifications are required to be a chemical engineer? 
Answer: A chemical engineer typically requires at least a Bachelor's degree in Chemical Engineering, although some universities also offer postgraduate degrees in the field. 
         
4. What are the career prospects for chemical engineers? 
Answer: There is a high demand for chemical engineers in the petrochemical, pharmaceutical, biotechnology, and environmental industries, as well as in academia, research, and government entities.

5. What skills do chemical engineers need?
Answer: Chemical engineers need to have solid problem solving and analytical skills, as well as an understanding of physical sciences, mathematics and economics. They also need to be able to research, design and develop processes for manufacturing or transforming materials, or for improving existing ones. Communication skills, both verbal and written, are also important."
1897,,,9508735610
1922,,2x+3=7,X = 2
1949,,,"def is_leap_year(year): 
    if (year % 4 == 0 and year % 100 != 0) or (year % 400 == 0): 
        return True 
    else: 
        return False"
1951,,"(2,-3) (1,-2)",
1964,,,"15, 18, 21"
1988,,7+10*2,27
2049,,,"def is_prime(n):
    if n <= 1:
        return False
    for i in range(2, n):
        if n % i == 0:
            return False
    return True"
2076,,,y = 3 x
2098,,"2x + y = 5
-x + 3y = 4",
2185,,,6
2209,,"a = 4
b = 2",
2210,,"[114, 11, 90, 7, 34]","def secondSmallest(list):
  smallest = list[0]
  secondSmallest = list[0]
  for x in list:
    if x < smallest:
        secondSmallest = smallest
        smallest = x
    elif x < secondSmallest:
        secondSmallest = x
  return secondSmallest

print(secondSmallest([114, 11, 90, 7, 34]))

# Output: 11"
2229,,,"def is_prime(n):
    if n <= 1:
        return False
    else:
        for i in range(2,n):
            if n % i == 0:
                return False
        return True"
2240,,"[-5, 10, 15, 20, 25, 30, 35]",25
2247,,,216.
2253,,"1 4 7
2 5 8 
3 6 9",
2281,,2(x + 9) + 2(x + 7),4x + 34.
2286,,,"def calculate_avg_marks(marks):
  # calculate the average marks
  totalMarks = 0
  for m in marks:
    totalMarks += m
  return totalMarks/len(marks)"
2329,,"3, 2, 5",
2365,,"[4, 10, 20, 12]","def maxValue(array):
    maxVal = 0
    for i in array:
        if i > maxVal:
            maxVal = i 
    return maxVal 

maxVal = maxValue([4, 10, 20, 12]) 
print(maxVal)"
2482,,,"<html>
  <body>
    <form action=""signup.php"" method=""post"">
      <h2>Sign up for our Newsletter</h2>
      <label for=""firstname"">First Name: </label>
      <input type=""text"" id=""firstname"" name=""firstname"" placeholder=""Enter your first name"">
      <label for=""lastname"">Last Name: </label>
      <input type=""text"" id=""lastname"" name=""lastname"" placeholder=""Enter your last name"">
      <label for=""email"">Email Address: </label>
      <input type=""text"" id=""email"" name=""email"" placeholder=""Enter your email address"">
      <br><br>
      <input type=""submit"" value=""Sign up"">
    </form>
  </body>
</html>"
2507,,,0.9
2510,,2/5,
2538,,f(x)= 3x+6,f(x) = (x-6)/3
2622,,,7 + 2 = 9
2628,,,P-N-E-U-M-O-N-I-A
2649,,"1, 4, 7, 10",9
2724,,"2, 5, 7, 8, 10",
2751,,,0231
2770,,,"""""""
Calculate the area of a triangle given the lengths of its sides
""""""

def triangle_area(a, b, c): 
    # calculate the semi-perimeter 
    s = (a + b + c) / 2
  
    # calculate the area 
    area = (s*(s-a)*(s-b)*(s-c)) ** 0.5
  
    return area 

if __name__ == '__main__':
    print(""Area of triangle is"",triangle_area(3,4,5))"
2774,,,"""""""
Check if a given number is an Armstrong number or not
""""""

def isArmstrongNumber(num): 
    # Calculate the length of num 
    n = len(str(num)) 
  
    # Initialize sum 
    sum = 0
  
    # Find a sum of nth power of    
    # individual digits
    temp = num 
    while temp > 0: 
        digit = temp % 10
        sum += digit ** n 
        temp //= 10
  
    # Return True if num is equal to the sum 
    # of nth power of its digits
    if num == sum: 
        return True
    else: 
        return False

if __name__ == '__main__':
    print(isArmstrongNumber(153))"
2777,,,"""""""
Find the common elements in two lists
""""""

def findCommonElements(list1, list2):
    # initialize a list to store the common elements
    common_elements = []

    # loop through list1 to find common elements in both lists
    for i in list1:
        if i in list2:
            common_elements.append(i)
    
    return common_elements

if __name__ == '__main__':
    list1 = [1,2,3,4,5]
    list2 = [2,4,5,6,7]
    print(findCommonElements(list1, list2))"
2780,,,"""""""
Given three numbers, find the greatest common divisor (gcd) of the three numbers
""""""

# Find the greatest common divisor (GCD) of two numbers
def find_gcd(a, b): 
    while b > 0: 
        a, b = b, a % b 
  
    return a 

# Given three numbers, find the greatest common divisor (GCD) of the three numbers
def find_gcd_of_three_numbers(a, b, c): 
    gcd_a_b = find_gcd(a, b) 
    gcd_b_c = find_gcd(b, c) 
    gcd_a_c = find_gcd(a, c) 
  
    gcd = find_gcd(gcd_a_b, gcd_b_c) 
    gcd = find_gcd(gcd, gcd_a_c) 
  
    return gcd  

if __name__ == '__main__':
    print(""GCD of 3 numbers is: "", end="""") 
    print(find_gcd_of_three_numbers(18, 24, 30))"
2794,,"[3, 2, 1, 2, 3, 4]","""""""
# Find duplicate elements in a list

def find_duplicates(data):
    seen = set()
    duplicates = []

    for element in data:
        if element in seen:
            duplicates.append(element)
        else:
            seen.add(element)
    
    return duplicates

if __name__ == ""__main__"":
    arr = [3, 2, 1, 2, 3, 4]
    duplicates = find_duplicates(arr)
    print(duplicates)
"""""""
2798,,"[10, 20, 30, 40]","""""""
# Calculate the median of a array

def find_median(data):
    data.sort()
    n = len(data)

    if n % 2 == 0:  
        median = (data[n//2] + data[n//2-1])/2
    else: 
        median = data[n//2] 
    
    return median

if __name__ == ""__main__"":
    data = [10, 20, 30, 40]
    median = find_median(data)
    print(""The median is:"", median)
"""""""
2822,,"10, 11, 8, 12, 7","7, 8, 10, 11, 12"
2837,,"[1, 2, 3, 4, 5]",3
2839,,,"def check_prime(num): 
  
  # Check for negative or zero input 
  if num <= 0: 
    return False
  
  # Check for 1  
  if num == 1: 
    return False
  
  # Check if the number is divisible by any number between 2 and n-1  
  for i in range(2, num): 
    if num % i == 0: 
      return False
  
  # If there is no divisor, the number is prime  
  return True"
2841,,,"def remove_duplicates(sentence):
  word_list = sentence.split() # split sentence into a list of words
  new_list = [] # new list that will contain uniques words

  # loop thru each word in the list
  for word in word_list:
    if word not in new_list: # add a word to the new list if the word is unique
      new_list.append(word)

  # join words in the new list to form a new sentence
  return ' '.join(new_list)"
2894,,"[1, 2, 3, 4]",
2909,,25 + 45,70
2966,,,"<!DOCTYPE html>
<html>
<head>
    <title>Table Example</title>
</head>
<body>
    <table>
        <tr>
            <th>Name</th>
            <th>Age</th>
        </tr>
        <tr>
            <td>James</td>
            <td>24</td>
        </tr>
        <tr>
            <td>John</td>
            <td>30</td>
        </tr>
    </table>
    <button>Add</button>
    <button>Delete</button>
</body>
</html>"
2969,,"[11, 2, 31, 7, 15]","function findSecondHighest(arr) {
  let highestNumber = 0;
  let secondHighestNumber = 0;
  arr.forEach(number => {
    if (number > highestNumber) {
      secondHighestNumber = highestNumber;
      highestNumber = number;
    } else if (number > secondHighestNumber && number != highestNumber) {
      secondHighestNumber = number;
    }
  });
  return secondHighestNumber;
}"
3007,,"[5, 2, 6, 1, 9]","def bubbleSort(list): 
    n = len(list) 

    for i in range(n): 
   
        for j in range(0, n-i-1): 
           
            if list[j] > list[j+1] : 
                list[j], list[j+1] = list[j+1], list[j] 
  
bubbleSort(list)"
3023,,,14.285714285
3025,,45 + 86,131
3070,,"```python
def myFunc(x):
    if (x == 0 {
        return 0
    } else {
        return x * 2
    }
```","```python
def myFunc(x):
    if (x == 0):
        return 0
    else:
        return x * 2
```"
3111,,a = 2,
3118,,,"def longest_common_substring(s1, s2):
    # Initialize the string lengths.
    m = len(s1)
    n = len(s2)
  
    # Initialize the longest common substring 
    result = """"
  
    # Start from the lengths of two strings  
    # and set two indices
    for i in range(m): 
        for j in range(n): 
  
            # Initialize counter 
            count = 0
  
            # Find the longest common substring 
            while (i + count < m and 
                   j + count < n and 
                   s1[i + count] == s2[j + count]): 
                count+= 1
  
            # Updates the longest common substring 
            if count > len(result): 
                result = s1[i:i + count] 
    return result"
3121,,,9
3132,,2 x 3 =,3 x 2 = 6
3166,,,53
3169,,"5, 37, 18, 90, 23","5, 18, 23, 37, 90"
3185,,,X = 1
3228,,,5
3244,,,"def parse_list(lst): 
    result = [] 
    for element in lst: 
        if type(element) is list: 
            result.extend(element) 
        else: 
            result.append(element) 
    return result 

result = parse_list(list) 
print(result)"
3246,,"4, 32, 6, 87",
3271,,,2
3379,,"a = 8
b = 5
c = a + b",
3384,,"1, 4, 7, 9, 11",7
3418,,,x = 2
3424,,8 5 2 9 1,1 2 5 8 9
3519,,,o
3583,,"int count = 0;

for(int i = 0; i < array.length; i++){
  if(array[i] == 0){
    count++;
  }
}",
3617,,y=x+3,
3619,,41,
3633,,"[1, 2, 3, 4, 5]",
3639,,,"float triangleArea(float base, float height) {
    float area;
    area = (base * height) / 2;
    return area; 
}"
3683,,8+4*9,72
3685,,,8.5
3706,,1275,
3712,,,9
3722,,,1712
3759,,,-2
3798,,"[1, 2, 3, 4, 5]",15
3801,,23,"if (number % 2 == 0) {
    System.out.println(""The number is even"");
} else {
    System.out.println(""The number is odd"");
}"
3802,,,"def reverse_words(sentence): 
    words = sentence.split(' ') 
    reversed_words = words[::-1] 
    reversed_sentence = ' '.join(reversed_words) 
    return reversed_sentence"
3814,,"def sort_numbers(arr):
    for i in range(len(arr)): 
        for j in range(i): 
            if arr[i] < arr[j]: 
                arr[i], arr[j] = arr[j], arr[i]
    return arr",
3885,,"def linearSearch(arr, n, x): 
    for i in range (0, n): 
        if (arr[i] == x): 
            return i 
    return -1",
3892,,,2 x 5 = 10.
3900,,,"2, 4, 8, 12, 16"
3906,,,2
3907,,,0
3935,,,57
3939,,2x+5=7,x=1
3963,,"130, 200, 110, 95",
3999,,"[[1, 2], [3, 4], [5, 6]]","[1, 2, 3, 4, 5, 6]"
4006,,"[1, 2, 3, 4, 5]","def sum_list(nums):
   result = 0
   for n in nums:
      result += n
   return result

print(sum_list([1, 2, 3, 4, 5]))

# Output
15"
4008,,,"def first_letter(sentence):
   words = sentence.split("" "") 
   for word in words:
      print(word[0], end="""")
   print()

first_letter(""Welcome to the world."")

# Output
Wttw."
4010,,"[4, 3, 6, 10, 8]","def avg_list(nums):
   total = 0
   for n in nums:
      total += n
   return total / len(nums)

print(avg_list([4, 3, 6, 10, 8]))

# Output
6.4"
4011,,7,"def is_prime(number):
   if number <= 1:
      return False
   else:
      for n in range(2, number):
         if number % n == 0:
            return False
   return True

print(is_prime(7))

# Output
True"
4020,,,0.23944633205744866
4028,,,8
4031,,"[[1, 2, 3], [2, 3, 4], [3, 4, 5], [4, 5, 6]]","[2.5, 3.5, 4.5]"
4032,,,"{
    name: ""John"",
    age: 35,
    location: ""New York""
}"
4044,,72,
4052,,"2, 4, 6, 9",
4060,,-6.2,
4108,,"9.3, 10.1, 10.4, 8.7",8.7 - 10.4.
4126,,,"function sum(x, y) {
    return x + y;
}"
4129,,,"body {
    background-color: white;
}"
4140,,,X=5
4143,,,"3,6,7,8,9"
4168,,10,1010
4258,,,"for x in range(1, 11): 
    for y in range(1, 11): 
        print(x, '*', y, '=', x*y) 
    print()"
4261,,,"Tail recursion is an optimization technique used in recursive functions that allows a function to call itself without having to store the previous state of the program. This is done by replacing the recursive call with a loop, thus eliminating the need to store the previous state on the stack. As an example, the following code in Python demonstrates a tail recursive function that finds the sum of the first n numbers:

def tail_recursive(n, result):
    if n == 0:
        return result
    else:
        return tail_recursive(n - 1, n + result)

sum = tail_recursive(5, 0)"
4292,,,"104 x 40 = 4,160"
4335,,,4A
4371,,,15
4381,,"[4, 9, 3, 2, 7, 1, 5]",
4388,,6 + 3,9
4422,,"x = 5 
y = 10
z = x + y",
4461,,6/3,2/1
4471,,,30
4475,,,11
4478,,62,111110
4494,,,"#include<iostream>
 
using namespace std;
 
int main()
{
    int n;
    cin>>n;
    for(int i=n;i>=1;i--){
        cout << i << "" "";
    }
    return 0;
}"
4536,,,28
4581,,"[5, 4, 2, 8, 9, 10, 1]",9
4590,,,"def print_hello_world():
    print(""Hello World"")"
4591,,"[4, 7, 1, 6, 3]",
4592,,4442345678,1
4594,,,0
4710,,,13
4727,,,65/100
4733,,,"for n in range(0, 10):
    print(10 + 2*n)"
4741,,"[25, 20, 15, 8, 5]","def calculate_mean(numbers):
  total = 0
  for number in numbers:
    total += number
  mean = total / len(numbers)
  return mean

calculate_mean([25, 20, 15, 8, 5])"
4743,,,"def reverse_string(string, num): 
  for _ in range(num):
    string = string[::-1]
  return string 

reverse_string(""Hello"", 3)"
4767,,0101,5
4795,,,0
4819,,"[7, 1, 3, 5, 9]","""""""
Sort a given array of numbers algorithm
""""""
def sort(array): 
    # loop through all elements
    for i in range(len(array)):
        # select the current element
        current = array[i]
        # look for the smallest element in the array
        min_index = i
        for j in range(i + 1, len(array)):
            if array[j] < array[min_index]:
                min_index = j
        # swap the smallest element and the current element
        array[min_index], array[i] = array[i], array[min_index]
    return array

if __name__ == '__main__':
    print(sort([7, 1, 3, 5, 9]))"
4888,,7 + 3,10
4920,,,"def compare_strings(s1, s2):
  # Compare two strings and return a boolean value
  if s1 == s2:
    return True
  else:
    return False

# Test case
string1 = 'apple'
string2 = 'orange'

result = compare_strings(string1, string2)
print(result)"
4969,,,1
4994,,,"{
 ""article"": {
   ""parts"": [
     {""name"": ""Part 1"", ""content"": ""History""},
     {""name"": ""Part 2"", ""content"": ""Present Applications""}, 
     {""name"": ""Part 3"", ""content"": ""Future Potential""}
   ] 
 }
}"
4998,,,"<!DOCTYPE html>
<html>
   <head>
      <title>Welcome to My Website</title>
   </head>
   <body>
      <h1>Welcome to My Website</h1>
      <p>This is my website where I feature my photography work. I hope you enjoy looking through my portfolio!</p>
   </body>
</html>"
4999,,,"5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25"
5002,,,"MergeSort(A, startIndex, endIndex):
    // If there is only one element in the array, return
    if startIndex == endIndex:
        return

    middleIndex = (startIndex + endIndex) / 2

    // Sort the left half of the array
    MergeSort(A, startIndex, middleIndex)

    // Sort the right half of the array
    MergeSort(A, middleIndex + 1, endIndex)

    // Merge the two sorted arrays
    Merge(A, startIndex, endIndex)

Merge(A, startIndex, endIndex):
    middleIndex = (startIndex + endIndex) / 2
    leftIndex = startIndex
    rightIndex = middleIndex + 1

    // Temporary array to hold the sorted array
    tempArray[]

    // Iterate through both halves of the array
    for i in range(startIndex, endIndex+1):
        // If left half is done iterating, add from right half
        if leftIndex > middleIndex:
            tempArray[i] = A[rightIndex]
            rightIndex++

        // If right half is done iterating, add from left half
        else if rightIndex > endIndex:
            tempArray[i] = A[leftIndex]
            leftIndex++

        // Compare current element and add the smaller element
        else if A[leftIndex] < A[rightIndex]:
            tempArray[i] = A[leftIndex]
            leftIndex++
        else:
            tempArray[i] = A[rightIndex]
            rightIndex++

    // Copy the tempArray back to A
    for i in range(startIndex, endIndex+1):
        A[i] = tempArray[i]"
5003,,"def add(a, b):
    return a + b","The code above is incorrect because it does not handle cases when any one or both of the arguments are of type 'list'. It would throw a TypeError since the '+' operator cannot be used to concatenate lists. To make it work with any type of arguments, the code should be modified as follows:

def add(a, b):
    if type(a) is list and type(b) is list:
        return a + b
    else:
        return int(a) + int(b)"
5040,,2x + 8 = 2y-6,y = 7
5043,,"[""a"",""b"",""c""]",
5082,,,2
5090,,"Table:

    A    B   C
   Joe  23  USA",
5141,,,"def multiply(a, b):
    return a*b"
5207,,"if (x % 2 == 0) {
    print(""even"")
}","if (x % 2 != 0) {
    print(""odd"")
}"
5287,,"[1, 3, 15, 20, 8, 9]","def largest_element(arr):
    """"""
    Takes an array of elements and returns the largest element in the array 

    Parameters:
    arr (list): Array of integers 

    Returns:
    largest (int): Largest element in array 
    """"""

    # Initialise largest as the first element in array
    largest = arr[0]

    # Iterate through rest of elements in array
    for i in range(1, len(arr)):
        # Update largest if element is larger
        if arr[i] > largest:
            largest = arr[i]
    # Return the largest element
    return largest"
5292,,,"To design a basic algorithm of a game of rock-paper-scissors, you would start by defining the players and their choices. The two players will each choose either rock, paper, or scissors. A simple algorithm to define the winner could be created like so: 

if both players choose the same (rock, paper, or scissors)
    then both players draw

if one player chooses rock and the other player chooses scissors
    then the player who chose rock wins

if one player chooses scissors and the other player chooses paper
    then the player who chose scissors wins

if one player chooses paper and the other player chooses rock
    then the player who chose paper wins"
5295,,"def quicksort(arr):
    if len(arr) <= 1:
        return arr
    pivot = arr[len(arr) // 2]
    left = [x for x in arr if x < pivot]
    middle = [x for x in arr if x == pivot]
    right = [x for x in arr if x > pivot]
    return quicksort(left) + middle + quicksort(right)",
5356,,,3
5404,,5,120
5406,,"[4, 8, 1, 10]",4.9493588689619565
5409,,"[1, 2, 3, 2, 4, 2]",
5428,,,"The HTML code for the calculator would look like this:
<form>
  <input type=""text"" id=""calculator-screen"" disabled>
</form>
<button type=""button"" id=""zero"" onclick=""addNum(0)"">0</button>
<button type=""button"" id=""one"" onclick=""addNum(1)"">1</button>
<button type=""button"" id=""two"" onclick=""addNum(2)"">2</button>
<button type=""button"" id=""three"" onclick=""addNum(3)"">3</button>
<button type=""button"" id=""add"" onclick=""calculate('+')"">+</button>
<button type=""button"" id=""subtract"" onclick=""calculate('-')"">-</button>
<button type=""button"" id=""multiply"" onclick=""calculate('*')"">*</button>
<button type=""button"" id=""divide"" onclick=""calculate('/')"">/</button>
<button type=""button"" id=""equal"" onclick=""calculate('=')"">=</button>

And the JavaScript code for the calculator would look like this:

function addNum(num) {
  var screen = document.getElementById('calculator-screen');
  screen.value += num;
}

function calculate(sign) {
  var screen = document.getElementById('calculator-screen');
  var result;
  switch(sign) {
    case '+':
      result = eval(screen.value);
      break;
    case '-':
      result = eval(screen.value);
      break;
    case '*':
      result = eval(screen.value);
      break;
    case '/':
      result = eval(screen.value);
      break;
    case '=':
      result = eval(screen.value);
      break;
  }
  screen.value = result;
}"
5432,,,"<html> 
  <head> 
    <title>Shoes</title> 
  </head> 
  <body> 
    <h1>Shoes</h1> 
    <p>Price: $32</p>
    <p>Description: These shoes are made with a durable tread and breathable material.</p>
  </body> 
</html>"
5465,,56,
5523,,"Input: An array A of N integers A[1], A[2], …, A[N]
Output: A new sorted array B of N integers B[1], B[2], …, B[N]

For i = 2 to N
    j = i
    while j > 1 and A[j] < A[j-1]
        swap A[j] and A[j-1]
        j = j-1",
5527,,,"# print the numbers from 1 to 10
for num in range(1, 11):
    print(num)"
5549,,0.45,
5560,,2x + 3y = 6,
5565,,"1, 2, 8, 9, 12, 13",
5664,,"A(2,5), B(5,1), C(7,7)",
5665,,"(-3,1), (2,5)",
5691,,,"def printMultiTable(n): 
    for i in range(1, 11): 
        print(n,'x',i,'=',n*i)"
5706,,"[2, 4, 9, 1, 10]","def find_sum_of_two_largest(arr):
    largest = max(arr)
    arr.remove(largest)
    second_largest = max(arr)
    return largest + second_largest

# Output: 11 (9 + 2)"
5732,,,1
5736,,,1
5743,,,a
5745,,,224
5747,,,"A data structure that stores this information would look like this:

Student {
    Name: string;
    GradeLevel: integer;
    ContactInfo: {
        Address: string;
        PhoneNumber: string;
        Email: string;
    };
}"
5761,,c = a + b,"def solve_equation(a, b):
    c = a + b
    return c"
