ID,PT,tokens_est_instance,tokens_est_id
593ins,Reescreva esta frase removendo o clichê.,15,2
594ins,Defina o preço do seguinte item.,13,2
595ins,Liste cinco vantagens do uso de energia solar.,17,2
596ins,Gere um exemplo de um destino de viagem no seu país favorito.,21,2
597ins,Declare a conclusão com base na passagem.,13,2
598ins,Crie um exemplo de uma página da web.,15,2
599ins,Suponha que um empregador peça três anos de experiência de trabalho para uma vaga anunciada. Explique por que o requisito é razoável.,49,2
600ins,"Explique o significado da frase \""o que as pessoas fazem é mais importante do que o que elas dizem\"".",35,2
601ins,Faça um brainstorming de algumas ideias para um romance de ficção.,21,2
602ins,Descreva os benefícios do exercício.,14,2
603ins,Envie uma descrição de um evento importante em sua vida.,21,2
604ins,Identifique o tipo correto de tempo verbal usado na frase.,18,2
605ins,Crie uma lista de três dicas para falar em público.,22,2
606ins,Classifique a frase a seguir como factual ou baseada em opinião.,22,2
607ins,Classifique o seguinte tópico de tweet,14,2
608ins,Gere um slogan adequado para a seguinte empresa,15,2
609ins,Categorize o seguinte conteúdo do tweet,14,2
610ins,Crie uma consulta adequada para a seguinte pergunta,17,2
611ins,Gere uma fórmula correta para calcular a área da superfície de um triângulo,29,3
612ins,Componha uma história baseada nos seguintes fatos,17,2
613ins,Gere uma pergunta de acompanhamento apropriada para a seguinte declaração,26,2
614ins,Escreva um tweet sobre trabalho em equipe bem-sucedido,19,2
615ins,Converta o valor monetário para USD.,12,2
616ins,Gere uma metáfora que descreva a situação.,18,2
617ins,Calcule o volume de um cilindro com raio de 10 cm e altura de 5 cm.,23,2
618ins,Especifique o nome do arquivo para o seguinte documento.,20,2
619ins,Elabore um resumo conciso do seguinte artigo.,16,3
620ins,"Dê um exemplo do uso da palavra \""tentativo\"".",19,2
621ins,Crie uma tabela que ilustre os resultados de uma pesquisa.,20,3
622ins,"Classifique cada frase como declarativa, interrogativa, imperativa ou exclamativa.",28,3
623ins,Escreva um solilóquio para um personagem na cena a seguir,21,2
624ins,Crie uma lista contendo pelo menos dez itens.,17,3
625ins,Altere a palavra sublinhada para tornar a frase correta.,20,2
626ins,Gere um novo final para a história.,12,2
627ins,Escreva uma história sobre um médico e seu paciente,21,2
914ins,Transforme a frase dada em uma declaração sobre os benefícios de algo.,25,3
915ins,Converta a frase em uma oração completa.,16,2
916ins,Identifique o tipo da frase.\n\nA saída deve ser escolhida entre:\n- Declarativa\n- Interrogativa\n- Exclamativa\n- Imperativa,54,2
917ins,Escreva um conto de 100 palavras ou menos.,16,3
918ins,Classifique os seguintes itens como sólidos ou líquidos.,25,3
919ins,"Qual é o significado da expressão \""Economizar dinheiro é tão bom quanto ganhar dinheiro\""?",29,3
920ins,Liste três benefícios da meditação,14,2
921ins,"A partir das palavras dadas, forme uma frase que transmita um sentimento de esperança e resiliência.",35,3
922ins,Analise o seguinte poema.,11,3
923ins,Crie um perfil de personagem para uma cientista.,16,3
924ins,"Crie um logotipo para \""Acme Limousines\""",15,3
925ins,Descreva o cenário de uma floresta escura e misteriosa.,22,2
926ins,"Edite a frase a seguir para torná-la mais concisa: \""Em casa, muitas vezes há dificuldades em administrar o tempo para tarefas como limpeza e lavanderia\""",55,3
927ins,Forneça um exemplo de uma métrica que poderia ser usada para medir o sucesso de uma nova campanha de marketing.,36,3
928ins,Explique por que é importante estabelecer confiança com os clientes.,18,3
929ins,"Crie uma consulta SQL que recuperará os 5 primeiros registros de uma tabela chamada \""Clientes\"".",32,3
930ins,Recomende um lanche saudável para o trabalho.,16,2
931ins,Crie um cartão de aniversário para uma criança de 7 anos.,21,3
932ins,Identifique a palavra correta para completar a frase.,17,3
933ins,Adicione duas frases a este diálogo para completá-lo.,20,3
934ins,Calcule o número de metros quadrados em uma sala de 10x10.,23,3
935ins,Reescreva a frase para revelar a metáfora.,16,3
936ins,Encontre e substitua uma palavra na frase para torná-la gramaticalmente correta.,27,3
937ins,Construa uma equação balanceada para representar a reação.,20,3
938ins,Explique por que essa opinião está errada.,14,3
939ins,Imagine uma situação e escreva um parágrafo sobre como resolvê-la.,27,3
940ins,Faça um brainstorming de 4 opções possíveis para reduzir a poluição na cidade.,30,2
941ins,Classifique a passagem a seguir em um gênero específico.,23,3
942ins,Dado um exemplo de um cenário válido de análise de sentimento.,24,3
943ins,"Compare e contraste as duas religiões, cristianismo e islamismo.",22,3
944ins,Insira uma frase adequada para completar a frase.,15,3
945ins,Altere o conteúdo da frase para usar o tempo passado.,18,3
946ins,Escreva uma descrição de produto para um novo celular.,19,3
947ins,"Dada a passagem a seguir, edite-a para tornar o tom mais formal",23,3
948ins,Sugira um subtítulo adequado para este artigo,14,3
949ins,Você precisa sugerir 3 estratégias para otimizar um site para o mecanismo de busca Google.,31,2
950ins,Reescreva a seguinte frase para usar um verbo diferente,21,2
951ins,Proponha um título adequado para o artigo abaixo,18,2
952ins,Compare os dois assuntos a seguir,11,2
953ins,Explique o que é um algoritmo de computador.,14,2
954ins,Sugira um título apropriado para a passagem abaixo,21,2
955ins,Preveja uma possível próxima linha para a seguinte história,23,3
956ins,Crie um diálogo entre dois personagens para resolver um conflito.,22,2
957ins,Especifique um algoritmo para encontrar a soma máxima em uma determinada matriz.,28,3
958ins,Preveja o que pode acontecer se a temperatura da Terra aumentar.,21,3
959ins,Gere uma lista de ideias para um aplicativo que ajude as pessoas a economizar dinheiro.,33,3
960ins,Faça uma lista de riscos potenciais associados a um determinado empreendimento.,25,2
961ins,Crie um logotipo para um restaurante que serve pratos tradicionais chineses.,22,3
962ins,Descreva uma tecnologia usada para medir as respostas emocionais das pessoas.,29,3
963ins,Cite cinco plantas medicinais amplamente utilizadas no Ayurveda.,22,3
964ins,gerar um algoritmo para encontrar o primeiro ancestral comum de dois nós em uma árvore binária.,35,3
965ins,Escreva uma história de amizade entre dois garotos de origens diferentes.,26,3
966ins,Dê um exemplo de como usar um assistente de IA para automatizar um processo de atendimento ao cliente.,33,3
967ins,Liste cinco fatores que influenciam o custo de produção de um bem.,24,3
968ins,Avaliar o impacto ambiental de uma fonte de energia renovável,19,2
969ins,Explique o processo de obtenção de crédito para um empréstimo,22,2
970ins,Gere uma lista de dicas para melhorar o metabolismo.,17,2
971ins,Escolha a melhor senha para um determinado serviço.,17,3
972ins,Escreva uma história sobre um robô que precisa completar uma tarefa difícil.,28,3
973ins,Escolha a palavra estranha em cada frase:,16,3
974ins,Componha uma música em Dó Maior.,15,3
975ins,Classifique o texto a seguir como ficção ou não ficção.,25,2
976ins,Identifique o tipo de triângulo a partir do seguinte conjunto de ângulos.,29,3
977ins,"Calcule a área de um triângulo com lados medindo 8 cm, 5 cm e 6 cm.",27,3
978ins,Descreva como as plantas se parecem no inverno.,18,2
979ins,Que tipo de número é -625?,12,3
980ins,Encontre a soma dos ângulos internos de um polígono com cinco lados.,27,2
981ins,Qual é a diferença entre um porco-espinho e um ouriço?,22,3
982ins,Atualize a passagem a seguir com a ortografia e gramática corretas.,27,3
983ins,Cite um produto químico que seja um ácido e uma base.,22,3
991ins,Organize as seguintes palavras para formar uma frase significativa: vender fazer investidores aconselhar confiar.,35,3
992ins,"Divida a frase a seguir em duas frases declarativas: \""A comida estava deliciosa e o serviço foi excelente\"".",40,2
993ins,Explique como redes neurais podem ser usadas para prever preços de ações.,26,2
994ins,Classifique o seguinte item alimentar saudável,16,2
995ins,Cite as 6 cidades mais populosas da China.,15,2
996ins,Edite o texto a seguir para facilitar a leitura,16,2
997ins,Determine a área da superfície da figura a seguir,19,2
998ins,Encontre a definição do seguinte termo financeiro,17,2
999ins,Descreva o perfil de sabor do seguinte tipo de culinária,21,2
1000ins,Liste 3 eventos históricos relacionados ao seguinte país,20,2
1001ins,Comparar e contrastar os efeitos do desempenho individual e social,18,2
1002ins,Arquitetar um algoritmo de aprendizado de máquina para resolver o seguinte problema,29,3
1003ins,Formule uma estratégia para uma empresa cliente que deseja melhorar o SEO do seu site.,31,3
1004ins,"Dado o conjunto de dados, que tipo de algoritmo de aprendizagem é mais adequado?",30,3
1005ins,Encontre a raiz quadrada de 156.,12,3
1006ins,Quais desafios um sistema de IA enfrentará ao tentar jogar xadrez?,26,3
1007ins,O que poderia resultar da seguinte decisão empresarial?,18,2
1008ins,"Classifique esta frase em um dos seguintes tópicos: educação, política, tecnologia, esportes",37,3
1009ins,Como você escreveria a saída de um programa que avalia a seguinte entrada?,27,3
1010ins,"Dado um texto, encontre a palavra-chave mais relevante para descrevê-lo",26,3
1011ins,"Dado um texto, preencha as lacunas",13,3
1012ins,Gere uma pergunta a partir da seguinte frase,17,3
1013ins,"Dada a frase a seguir, reescreva-a removendo a forma passiva",24,3
1014ins,Como você categorizaria esta frase?,12,3
1015ins,Gere uma segunda frase que conclua a conversa,16,3
1016ins,"Dada uma frase, conte o número de palavras.",19,2
1017ins,Cite dois fatos interessantes sobre batatas.,16,3
1018ins,"Dado um nome de usuário do Twitter, identifique que tipo de conteúdo o usuário está postando.",34,3
1019ins,Crie um título para uma história sobre a morte de um ator famoso.,25,3
1020ins,Qual dos dois estudos científicos a seguir tem mais probabilidade de produzir resultados viáveis?,34,3
1021ins,Escreva uma introdução detalhada ao assunto de aprendizado de máquina.,28,3
1022ins,Identifique os temas principais no trecho fornecido.,15,3
1023ins,Qual é o principal benefício de usar um sistema de processamento de linguagem natural (PLN)?,28,3
1024ins,"Dada uma entrada contendo um fragmento de um artigo, complete o artigo fornecendo o restante do conteúdo.",33,2
1025ins,Analise o diálogo fornecido e cite duas emoções demonstradas pelo usuário.,30,3
1065ins,Escreva uma função que receba uma lista de números e retorne uma lista dos números em ordem inversa.,39,3
1066ins,Classifique o texto a seguir como 'subjetivo' ou 'objetivo',24,3
1067ins,Crie um tweet de 140 caracteres ou menos que promova a importância da educação.,28,3
1068ins,Reescreva a frase a seguir para substituir quaisquer frases clichês.,24,3
1069ins,Escreva uma função JavaScript que receba uma string e retorne um objeto com cada caractere da string como uma chave e o número de vezes que esse caractere aparece na string como o valor.,61,3
1070ins,Escreva uma frase contendo uma metáfora hiperbólica.,22,3
1071ins,Edite a frase a seguir para corrigir qualquer uso incorreto da forma possessiva.,26,3
1072ins,Gere uma postagem de blog de 500 palavras ou menos que discuta um tópico escolhido,30,3
1073ins,"Defina o termo \""antropomorfismo\"".",13,3
1074ins,Escreva um script Python para converter uma temperatura de Celsius para Fahrenheit.,18,3
1075ins,Crie três frases de exemplo com homófonos.,17,3
1076ins,Escolha o melhor sinônimo para a palavra fornecida,18,3
1077ins,Preencha o espaço em branco,11,3
1078ins,Identifique a figura de linguagem usada nesta frase,16,3
1079ins,Reescreva a frase usando uma expressão idiomática,18,3
1080ins,Consulte a história fornecida e forneça a moral,16,2
1081ins,Qual é a causa provável deste sintoma,13,3
1082ins,Explique por que essa solução não funciona,14,3
1083ins,Este é um bom trabalho para alguém que está procurando um desafio?,24,3
1084ins,Escreva uma frase usando o seguinte adjetivo,17,3
1085ins,Liste duas vantagens de usar um computador,14,3
1086ins,Converta o número fornecido da base 10 para a base 16.,19,3
1087ins,Construa um parágrafo com as palavras fornecidas.,17,3
1088ins,Categorize o texto fornecido.,10,3
1089ins,Dê o nome do barco retratado na foto fornecida.,18,3
1090ins,Remova a palavra desnecessária da frase fornecida.,17,3
1091ins,Insira as conjunções fornecidas na frase dada.,18,3
1092ins,Mude o verbo na frase para refletir a terceira pessoa do singular,21,3
1093ins,Diagnostique os seguintes sintomas médicos.,18,3
1094ins,Crie cinco perguntas sobre o tópico fornecido.,20,3
1107ins,Defina Análise Exploratória de Dados.,15,3
1108ins,Misture as palavras da frase dada.,12,3
1109ins,Identifique a que tipo de filme a descrição fornecida pertence.,21,3
1110ins,Escreva duas linhas de diálogo para o personagem Bob.,19,3
1111ins,reescreva esta frase como uma pergunta,15,2
1112ins,Calcule a soma dos três números dados,15,3
1113ins,Forneça um exemplo de um advérbio complexo,14,3
1114ins,Faça uma previsão para o próximo ano em termos da situação política nos EUA,30,3
1115ins,Qual é o tema principal do livro O Apanhador no Campo de Centeio?,22,3
1116ins,Reescreva a frase abaixo para que fique gramaticalmente correta.,23,3
1117ins,Cite uma maneira de reduzir a poluição da água.,22,3
1118ins,Converta as temperaturas fornecidas de Fahrenheit para Celsius.,15,3
1119ins,Gere uma lista de benefícios que podem ser obtidos de um estilo de vida saudável.,31,3
1120ins,Faça um brainstorming de ideias para um conjunto criativo para um evento formal.,23,3
1121ins,Classifique o objeto fornecido.,10,3
1122ins,Gere uma lista de títulos de livros para um romance de fantasia.,22,3
1123ins,Cite um personagem fictício que exiba uma característica marcante.,24,3
1124ins,Edite o texto fornecido para garantir que todos os substantivos no plural estejam escritos corretamente.,31,3
1125ins,Apresente um argumento a favor do uso do transporte público.,20,3
1126ins,Discuta os principais componentes de um sistema de computador.,16,3
1127ins,Explique o conceito de crescimento exponencial.,15,3
1128ins,Reescreva esta frase em inglês na voz passiva.,19,3
1129ins,Encontre o substantivo mais comum nesta passagem.,16,3
1130ins,Descreva o estilo de escrita desta passagem.,16,3
1131ins,Explique como o design thinking ajuda as organizações a inovar.,22,3
1132ins,Identifique os tipos de tecnologia usados nesta passagem.,19,3
1133ins,Reescreva esta frase na forma de uma pergunta.,18,3
1134ins,Escreva uma definição para a frase design thinking.,16,3
1135ins,Resuma esta passagem usando quatro frases ou menos.,18,3
1136ins,Cite o nome de três países localizados na Ásia.,21,3
1137ins,Edite esta frase tornando-a mais concisa.,15,3
1138ins,Descreva a relação entre design thinking e inovação.,18,3
1139ins,Liste dois benefícios de usar o design thinking.,15,3
1140ins,Componha 5 notas midi que soem alegres e esperançosas.,22,3
1141ins,Edite o texto para que fique gramaticalmente correto.,17,3
1142ins,Quais são algumas causas comuns de acidentes de carro?,20,3
1143ins,Qual é o objetivo básico de um fundo mútuo?,18,3
1144ins,Cite três países na Europa cuja população seja superior a 50 milhões.,27,3
1145ins,Quais valores foram prometidos na Declaração de Independência dos Estados Unidos?,28,3
1146ins,Analise o texto a seguir e forneça estatísticas relacionadas à pontuação de sentimento que ele carrega.,36,3
1147ins,Pesquise na web os sintomas mais comuns da gripe.,18,3
1148ins,Quais são os elementos mais básicos do HTML?,16,3
1149ins,"Atribua dois valores às seguintes variáveis: x=2, y=3",25,3
1150ins,Quais são os impactos ambientais da poluição plástica?,19,3
1151ins,Cite o nome de três grandes rios da América do Sul.,20,3
1152ins,Como o uso da análise preditiva pode beneficiar uma empresa?,23,3
1153ins,Crie um planejador de rotas para chegar ao destino.,17,3
1154ins,Identifique o hiperônimo para a palavra laticínios.,19,3
1155ins,Converta esta frase em uma pergunta.,14,3
1156ins,"Construa uma frase usando as palavras “oprimir”, “merecer” e “igualdade”.",37,3
1157ins,Sugira uma atividade para aproveitar na natureza.,17,3
1158ins,Resuma o conteúdo em 3 frases.,12,3
1159ins,Crie uma lista de itens para levar em uma viagem de acampamento noturno.,27,3
1160ins,Reescreva esta afirmação como uma frase imperativa.,21,3
1161ins,Crie 3 novas regras para um jogo.,12,3
1162ins,Dê um exemplo de uma situação para acompanhar o exemplo.,20,3
1163ins,Traduza esta frase para outro idioma.,14,3
1164ins,Identifique as espécies de pássaros.,14,3
1165ins,Crie um diálogo de chatbot para receber pedidos dos clientes.,20,3
1166ins,Atualize o número na célula.,14,3
1167ins,Coloque cada palavra da frase em maiúscula.,18,3
2560ins,"Dada uma frase, converta-a para o presente perfeito",18,3
3763ins,Crie um tweet que inclua uma hashtag para aumentar a visibilidade do anúncio de um novo produto,31,3
4088ins,Explique o papel do Poder Executivo do governo dos EUA.,18,3
4252ins,Altere o significado da frase fornecida substituindo as palavras destacadas.,23,3
4560ins,Descreva as implicações culturais de um sistema político bipartidário.,28,3
4561ins,Liste os tipos de frutas normalmente encontrados na dieta americana.,22,3
4562ins,Qual poderia ser o efeito dos derramamentos de óleo na vida selvagem oceânica?,31,3
4563ins,Identifique as principais diferenças entre um neurônio e uma sinapse.,24,3
4564ins,Sugira uma estratégia para aumentar a compreensão e o engajamento no local de trabalho.,31,3
4565ins,Quais são os benefícios de usar um sistema de armazenamento em nuvem?,27,3
4566ins,Classifique o seguinte tipo de bebida de acordo com seu ingrediente principal.,25,3
4567ins,Explique o conceito de variação genética.,14,3
4568ins,Liste três técnicas para melhorar a fidelidade do cliente.,23,3
4569ins,Qual é o papel de um mecanismo de template na engenharia de software?,20,3
4570ins,Qual é um exemplo de observação física?,14,3
4571ins,Como as mídias sociais afetam a maneira como nos comunicamos?,25,3
4572ins,Explique o conceito de recuperação do sistema.,16,3
4573ins,Pense em duas maneiras de resolver o seguinte problema.,20,3
4574ins,Classifique o seguinte trailer do filme usando uma classificação de 1 a 5 estrelas.,29,3
4575ins,Converta esta citação bíblica de Marcos 5:36,19,3
4576ins,Descreva o sentimento do seguinte poema.,14,3
4577ins,Preencha a lacuna na frase a seguir.,14,3
4578ins,Pense em três maneiras diferentes de economizar dinheiro.,22,3
4579ins,Escreva um conto com uma reviravolta inesperada.,19,3
4580ins,Tarefa de classificação - Classifique a seguinte peça para piano como gênero clássico ou jazz.,36,3
4581ins,Você recebe uma matriz de números. Encontre o segundo maior número na matriz,31,3
4582ins,Cite 3 carreiras que envolvam o uso de estatísticas,21,3
4583ins,Cite 3 aplicativos de software relevantes para o setor de saúde,21,3
4584ins,Descreva o que um disco rígido faz,13,3
4585ins,"Você recebe uma sequência de números, encontre os números máximo e mínimo na sequência",38,3
4586ins,"Você recebe uma lista de palavras, classifique-as em ordem alfabética",26,3
4587ins,Como posso economizar água em casa?,15,3
4588ins,Descreva a operação básica de um banco de dados,17,3
4589ins,Quais são os três princípios principais do Desenvolvimento Ágil de Software?,27,3
4590ins,Crie uma função que imprima Hello World,13,3
4591ins,Crie um programa que classifique uma matriz,13,3
4592ins,A seguinte string é um número de telefone válido ou não? Produza 1 para válido e 0 para inválido.,41,3
4593ins,Elimine as palavras repetidas na frase seguinte.,17,3
4594ins,Identifique se a frase a seguir tem uma frase contínua ou não. Produza 1 para frase contínua e 0 para não contínua.,42,3
4595ins,Você precisa escrever uma carta de apresentação para uma candidatura a emprego.,29,3
4596ins,Quais planetas estão no Sistema Solar?,12,3
4597ins,Você precisa criar um panfleto para um evento futuro.,19,3
4598ins,Analise os dados a seguir e explique as tendências.,20,3
4599ins,"Transforme o texto em um artigo adicionando subseções, reescrevendo partes do texto e reescrevendo usando um estilo diferente.",43,3
4600ins,Use a entrada para gerar três frases que possam se encaixar no seguinte contexto,27,3
4601ins,Pesquise e resuma as práticas comuns para cuidar de coelhos.,24,3
4602ins,Adicione animações ao programa a seguir.,18,3
4603ins,"Classifique cada funcionário no conjunto de dados como 'alto desempenho', 'médio desempenho' ou 'baixo desempenho'.",47,3
4604ins,Marque uma reunião com três pessoas que você nunca conheceu por e-mail.,29,3
4605ins,Dê três exemplos de países que passaram por guerras recentemente,21,3
4606ins,Explique a diferença entre 'pensamento crítico' e 'pensamento analítico',30,3
4607ins,Diga-me por que a comunicação é uma habilidade importante.,22,3
4608ins,Determine o ponto de vista do autor do seguinte documento,19,3
4609ins,Dê o título do documento,10,3
4610ins,Encontre a melhor solução para o seguinte problema,18,3
4611ins,O autor do seguinte documento é tendencioso?,16,3
4612ins,Cite dois alimentos ricos em proteínas.,14,3
4613ins,Escolha duas cores que combinem bem.,12,3
4614ins,Liste alguns utensílios comuns de cozinha.,16,3
4615ins,Encontre a hipotenusa do triângulo retângulo.,18,3
4616ins,Descreva a aparência de um site ideal.,14,3
4617ins,Cite um jogo popular que requer dois jogadores.,15,3
4618ins,Discuta os prós e contras da imigração nos EUA.,19,3
4619ins,Identifique as principais características de um vírus de computador comum.,22,3
4620ins,Liste três métodos de geração de eletricidade.,21,3
4633ins,Explique por que um computador não pode tomar decisões como um ser humano?,25,3
4634ins,Selecione a palavra-chave correta para esses trechos de texto.,24,3
4635ins,Sugira uma maneira única de passar o fim de semana na sua cidade.,28,3
4636ins,Gere um algoritmo para encontrar a soma dos primeiros 25 números pares,25,3
4637ins,Analise a foto a seguir e explique o que ela representa.,20,3
4638ins,Organize esses e-mails nas pastas apropriadas,14,3
4639ins,Explique por que os computadores são preferidos aos humanos para processamento de dados.,25,3
4640ins,Crie um jogo de perigo baseado no tema ciência da computação.,24,3
4641ins,Crie uma lista de 5 itens para levar para a praia.,18,3
4642ins,Sugira dois métodos para reduzir o desperdício de água,24,3
4643ins,Compare e contraste duas fontes diferentes de capital,14,3
4644ins,Encontre a definição de uma palavra,14,3
4645ins,Construa uma frase usando estas palavras,14,3
4646ins,Encontre uma frase que seja paralela à seguinte,18,3
4647ins,Construa uma resposta apropriada para o seguinte,17,3
4648ins,Explique o uso de um martelo,9,3
4649ins,Organize os fragmentos de frases abaixo em uma frase significativa.,21,3
4650ins,Crie uma lista de cinco atividades divertidas para sua família fazer junta no fim de semana.,32,3
4651ins,"Analise o poema \""The Road Not Taken\"" de Robert Frost e explique seu significado.",23,3
4652ins,"Resuma o artigo \""A Filosofia da IA\"" e explique seus pontos principais.",24,3
4653ins,Crie uma estrutura de dados para armazenar registros de funcionários de uma empresa.,31,3
4654ins,"Calcule o custo total de uma viagem para duas pessoas, incluindo voo, hotel e refeições.",36,3
4655ins,Crie um esquema de banco de dados para armazenar pedidos de clientes.,24,3
4656ins,Analise uma questão controversa atual e determine com qual lado você concorda e por quê.,27,3
4657ins,Construa uma matriz que forneça uma comparação entre dois produtos diferentes.,29,3
4658ins,Componha uma melodia para uma música sobre uma noite de verão.,25,3
4659ins,Identifique três problemas principais no atual sistema de saúde dos EUA e proponha soluções para esses problemas.,39,3
4660ins,Qual foi a lição mais importante que você aprendeu na vida?,21,3
4661ins,Descreva uma situação hipotética na qual a tecnologia de IA poderia ser usada para melhorar a segurança dos locais de trabalho.,44,3
4662ins,Explique as diferenças entre um mecanismo de busca regular e um mecanismo de busca semântico.,31,3
4663ins,Resuma um artigo de notícias sobre as novas leis tributárias na cidade de Nova York.,30,3
4664ins,Imprima um objeto 3D usando uma máquina de impressão 3D.,22,3
4665ins,Classifique o tipo de roupa com base na seguinte descrição: Uma blusa sem mangas com gola em V.,34,3
4666ins,"Crie um gráfico para mostrar os seguintes dados mensais:\n\nMês, Vendas\nJan, 5\nFev, 10\nMar, 15",46,3
4667ins,Componha um poema Haiku centrado no conceito de felicidade.,19,3
4668ins,Escreva uma postagem de blog sobre a transição energética de combustíveis fósseis para fontes de energia renováveis.,41,3
4669ins,Compare e contraste os papéis de um educador e de um político.,20,3
4670ins,Crie um algoritmo para identificar se duas strings são anagramas.,21,3
4671ins,Crie um plano para reduzir as emissões de gases de efeito estufa na sua comunidade local.,33,3
4672ins,Preencha as lacunas na frase a seguir de forma apropriada e gramaticalmente correta:\n\nA cidade teve que ____ sua proposta devido à falta de ____ apoio.,59,3
4953ins,Reescreva a frase na forma de uma frase interrogativa.,19,3
4954ins,Identifique a palavra da frase com a grafia errada.,18,3
4955ins,"Sugira um sinônimo para a palavra \""eliminar\"".",19,3
4956ins,"Identifique as duas palavras que rimam com \""chama\"".",18,3
4957ins,Cite a última frase do parágrafo fornecido.,18,3
4958ins,"Escreva quatro frases sobre pandemias começando com a palavra \""Pandemias\"".",26,3
