ID,PT
6332ins,"Classifique a seguinte frase como \""Fato\"" ou \""Opinião\"":\nHá uma correlação entre a falta de exercícios físicos regulares e um risco aumentado de desenvolver condições crônicas de saúde."
6922ins,"Explique o significado da expressão idiomática: \\\""Algo não está terminado até que todas as etapas tenham sido concluídas.\\\"""
7098ins,"Escreva um poema que contenha as palavras fornecidas: \""rio\"" e \""luz\"""
7118ins,"Descubra o significado da frase \""de uma situação ruim para outra pior\""."
7128ins,"Descreva o significado do provérbio \""O tempo é um recurso valioso que pode ser usado para gerar renda.\"""
7141ins,"Descreva uma situação em que a frase \""A frase é relevante quando se trata de bens materiais ou posses que não podem ser levados após a morte.\"" pode ser relevante."
7142ins,"Escolha uma palavra apropriada para substituir a frase \""isto é\"" na frase a seguir."
7853ins,"Encontre o sinônimo para \""detestar\""."
7854ins,"Forme um antônimo para \""escasso\""."
7858ins,"Qual é uma boa resposta para \""Não gosto do jeito que você está falando comigo\""?"
7873ins,"Escreva uma postagem de blog sobre o tópico \""Por que as empresas precisam investir em treinamento de funcionários\"""
7891ins,"Crie um logotipo para uma empresa chamada \""Run4Fun\""."
7903ins,"Crie uma consulta para pesquisar restaurantes com a palavra-chave \""frutos do mar\"" na cidade de Los Angeles."
7905ins,"Forneça o personagem principal do romance \""O Senhor das Moscas\""."
7907ins,"Atribua um sinônimo à palavra \""facilitar\""."
7914ins,"Recite a primeira estrofe de \""The Road Not Taken\"", de Robert Frost."
7948ins,"Gere uma lista de palavras relacionadas ao termo \""comida\""."
7965ins,"Explique como \""tipos\"" é usado em linguagens de programação."
7972ins,"Forneça antônimos para a palavra \""mal\""."
7983ins,"Gere pelo menos 3 sinônimos para a palavra \""humorístico\""."
8000ins,Crie uma história baseada nesta frase de abertura: “A noite era escura e havia tempestade”.
8005ins,Determine se a seguinte afirmação é verdadeira ou falsa: “A velocidade da luz é maior que a velocidade do som”.
8015ins,Responda a esta pergunta verdadeiro ou falso: A capital da França é Paris.
8024ins,Corrija esta frase: “Chove muito forte lá fora”.
8038ins,Amplie esta frase: “A tecnologia causou uma grande mudança na forma como
8040ins,Encontre os substantivos nesta frase: A menina ficou encantada com as flores brilhantes.
8045ins,Classifique esta frase: A Antártida é o continente mais ao sul.
8067ins,"Crie uma frase usando as palavras “Sentindo-se contente, animado e entusiasmado”."
8093ins,Escreva uma história com o prompt “Um viajante estava caminhando por uma floresta escura quando encontrou um objeto misterioso”
8553ins,"Use a frase \""isso me irrita\"" em uma frase."
8563ins,"Diga-me um sinônimo para \""feliz\""."
8607ins,"Explique o termo \""apropriação cultural\""."
9586ins,"Explique o valor de uma \""mentalidade de crescimento\"" (ou seja, a crença de que as habilidades e capacidades podem ser desenvolvidas ao longo do tempo)."
9643ins,"O que significa \""a priori\""?"
9769ins,"Edite a seguinte frase: \""Hoje, fiz muitas compras online.\"""
9770ins,"Traduza a seguinte frase para o espanhol: \""Estou muito animado para aprender espanhol.\"""
9988ins,"Crie uma história que comece com a frase \\\""O sol lentamente subiu no céu\\\"""
9992ins,"Reescreva a frase \\\""O gato perseguiu o rato\\\"" no passado."
9993ins,"Componha um poema que use a frase \\\""uma pessoa muito bondosa\\\"""
9996ins,"Edite a frase a seguir para um tom mais acadêmico:\\n\\\""Os computadores são ótimos porque podem fazer muitas coisas!\\\"""
10005ins,Quem escreveu o romance “O Apanhador no Campo de Centeio”? 
10010ins,"Pense em uma palavra que rime com \\\""fino\\\"""
10016ins,"Edite esta frase para que soe mais natural: \\n\\\""Talvez seja por causa da chuva\\"", ele disse."
10017ins,"Classifique esta frase como formal ou informal: \\n\\\""Qual é o problema?\\\"""
10032ins,Transforme esta frase em uma pergunta: O sol está brilhante hoje.
10033ins,Crie uma frase que descreva o conceito de “empoderamento”
10576ins,"Identifique a definição correta para a palavra \\\""anomalia\\\""."
10671ins,"Dado o prompt “gato” e uma semente aleatória, gere uma nova frase usando GPT-3."
10750ins,"Dê uma alternativa adequada para a frase \""algo que estraga ou arruína algo que deveria ser bom\""."
10751ins,"Descreva o significado da frase \""raramente, muito raramente\""."
10752ins,"Explique o significado do provérbio \""Um pequeno erro pode ter consequências graves\""."
10756ins,"Você recebe o seguinte texto: \""Era uma manhã fria de dezembro, o céu estava cinza e a neve caía levemente. Descreva a atmosfera da manhã\"""
10787ins,"Gere 50 palavras associadas à palavra \""beisebol\""."
10788ins,"Edite a frase a seguir para corrigir quaisquer erros gramaticais e torná-la mais concisa: \n\n\""O telefone não está carregando porque a bateria acabou.\"""
10811ins,"Edite a frase: \""Teremos sucesso se tentarmos\"""
10813ins,"Classifique esta frase como uma comparação ou uma metáfora: \""O som do vento era semelhante ao uivo de um animal ferido.\"""
10818ins,"Para que tipo de atividade a trilha sonora de \""A Bela e a Fera\"" é usada?"
10846ins,"Pense em uma palavra relacionada à palavra-chave \""batata\""."
10874ins,"Escreva um resumo do filme \""O Grande Gatsby\"""
10877ins,Pegue esta frase e torne-a mais descritiva: Ela sentia medo.
10884ins,"Interprete este poema: Rosas são vermelhas, Violetas são azuis"
10929ins,"Explique as diferenças entre as seguintes palavras: \""accent\"" e \""dialect\""."
10954ins,"Dada a seguinte entidade: \""Lamborghini Aventador\"", crie uma URL de solicitação."
10972ins,"Crie uma comparação para explicar o significado do termo \""dúvida\"", usando uma imagem ou conceito que represente o mesmo significado."
10982ins,"Por favor, forneça uma definição para a palavra \""heterogêneo\""."
10986ins,"Você recebeu uma frase, \""O menino andou pela rua\"", detecte se ela está no passado."
10990ins,"Classifique a seguinte frase como verdadeira ou falsa: \""Todos os mamíferos dão à luz filhotes vivos\""."
10999ins,Qual é a palavra que rima com árvore?
11012ins,"Reescreva a frase \""Ela teve que ir\"" com outras palavras, mas mantendo o mesmo significado."
11014ins,"Dê um exemplo de uma comparação indireta, ou seja, uma frase que usa uma imagem ou conceito para representar outro, utilizada no poema “The Road Not Taken”."
11015ins,"Qual é o oposto de \""abundante\""?"
11016ins,Explique o que significa o termo “emaranhamento quântico”
11027ins,"Avalie a seguinte afirmação: \""A Torre Eiffel é um dos monumentos mais conhecidos do mundo.\"""
11041ins,"Pegue esta frase: \""Ainda estou confuso sobre como fazer esta tarefa\"" e torne-a mais concisa."
11334ins,"Explique o significado da expressão idiomática \""tornar-se a autoridade máxima\""."
11348ins,"Pesquise a receita de \""torta de maçã empanada\"" e crie os passos necessários para fazer o prato."
11354ins,"Escreva uma definição (10 palavras ou menos) para a palavra \""epifania\""."
11381ins,"Gere uma resposta apropriada para a seguinte avaliação do cliente: \""Tive uma ótima experiência neste restaurante.\"""
11398ins,"Explique o significado do termo \""tendência de procurar e interpretar informações de forma que confirmem crenças pré-existentes\"""
11403ins,"Finja ser um mecânico de automóveis e explique em uma frase o que significa \""renovar o óleo do motor\""."
11404ins,"Usando o substantivo \""barco\"", escreva uma comparação"
11708ins,"Edite a frase \""Animais não devem ser maltratados\""."
11710ins,"Crie uma capa para o livro \""Me Chame Pelo Seu Nome\""."
11735ins,"Resuma o artigo de notícias recente \""As últimas novidades sobre IA\"" em menos de 50 palavras."
11770ins,"Edite a seguinte frase: \""Estamos aqui há algum tempo.\"""
11779ins,"Escreva uma breve explicação do termo \""habitat\""."
11809ins,"Crie uma história que comece com \""Ele entrou no jardim.\"""
11811ins,"Classifique a seguinte afirmação como verdadeira ou falsa: \""a duração do dia depende da época do ano\""."
11814ins,"Edite a frase a seguir para mudar o tempo para o passado perfeito: \""O gato está comendo a comida a manhã toda\""."
11816ins,"Adicione formas singulares e plurais de bullfrog à seguinte frase: \""The bullfrogs and the ___ hopped quickly away.\"""
11818ins,"Crie um exemplo usando a palavra \""prolífico\"" em uma frase."
11819ins,"Resuma o artigo \""O Impacto das Mudanças Climáticas na Agricultura\""."
12471ins,"Identifique o sujeito principal da seguinte frase: \""O velho foi pescar\""."
12476ins,"Identifique o tipo de substantivo na frase: \""Eu comi uma maçã\""."
12478ins,"Identifique o tipo de frase na frase: \""Debaixo da árvore.\"""
12480ins,"Classifique as seguintes palavras em ordem alfabética: \""universidade, basquete, zelador\"""
12490ins,Identifique as classes gramaticais na frase “Ela falou devagar”.
12530ins,"Reescreva a seguinte frase para ter um significado diferente: \""Eu comi a maçã\""."
12531ins,"Edite a frase \""Ela está indo para a escola\""."
12648ins,"Traduzir \""Posso te perguntar uma coisa?\"" em espanhol"
12661ins,"Analise a moral da história \""O menino que gritava lobo\""."
12679ins,"Descreva um personagem do livro \""Drácula\""."
12878ins,"Explique o significado da expressão \""Celebrando muito, geralmente com bebidas alcoólicas.\"""
12897ins,"Complete o provérbio \'""Uma maçã por dia\'..."
12900ins,"Reorganize esta frase: \'""Aqueles que sonham são felizes\'\"""
12909ins,"Preveja o sentimento desta frase: \'""Este filme foi uma grande decepção.\'\"""
12936ins,"Qual é o significado deste provérbio: \'""Uma pedra que rola não cria musgo\'\"""
12940ins,"Crie um título para o evento: \'""Apresentando o Programa de Bolsas ARR 2020\'\"""
13236ins,Categorize o seguinte como substantivo ou verbo: Caminhar
13267ins,"Fale-me sobre o autor do livro \""O Apanhador no Campo de Centeio\""."
13268ins,"Encontre o sinônimo para a palavra \""déspota\"". Exiba o sinônimo."
13288ins,"Escreva uma definição para o recurso literário \""aliteração\""."
13335ins,"Reescreva esta frase: \""Desejo-lhe boa sorte e que Deus o abençoe.\"""
13343ins,"Gere cinco palavras que rimam para a palavra \""sono\""."
13405ins,"Categorize as seguintes palavras de acordo com suas classes gramaticais:\nextenuante, alocar, eclipse"
13409ins,"Parafraseie a seguinte afirmação: \""Supermercados desempenham um papel fundamental na garantia de acesso a alimentos nutritivos para a população.\"""
13426ins,"Reescreva a seguinte frase para torná-la ativa: \""O jogador chutou a bola.\"""
13427ins,"Analise o seguinte poema, \""The Road Not Taken\"" de Robert Frost:\n\nDuas estradas divergiam em uma floresta amarela,\nE lamento não poder viajar por ambas\nE ser um viajante, por muito tempo fiquei"
13435ins,"Descreva o tema do poema \""The Road Not Taken\""."
13443ins,"Componha uma história original usando as palavras \""cidade\"" e \""rio\""."
14070ins,"Traduza \""Eu te amo\"" para o inglês."
14073ins,"Explique as diferenças entre os termos \""ciência\"" e \""tecnologia\""."
14090ins,"Como você explicaria a definição de \""dados de séries temporais\"" para pessoas não técnicas?"
14885ins,"Crie um logotipo para um restaurante chamado \""The Italian Kitchen\""."
14893ins,"Encontre o sinônimo mais adequado para \""incrível\""."
14894ins,"Explique a diferença entre os homófonos \""there\"" e \""their\""."
14897ins,"Defina o termo \""Internet das Coisas\""."
14917ins,"Atribua uma classificação de 1 a 5 estrelas ao seguinte produto: \""iPhone 11 Pro\""."
14920ins,"Categorize os seguintes livros com base no gênero: O Apanhador no Campo de Centeio, Harry Potter e a Pedra Filosofal."
14933ins,Crie uma história sobre um cientista usando a frase “um cientista excêntrico”.
14945ins,"Escreva uma história usando as palavras \""galáxia\"" e \""jornada\""."
14950ins,"Encontre a definição de \""Filtragem Colaborativa\""."
14953ins,"Quais elementos e recursos literários foram usados no poema \""To a Skylark\""?"
14956ins,"Quem é o autor do livro \""Harry Potter e a Pedra Filosofal\""?"
14983ins,"Dada a frase \""Estou ficando em casa hoje\"", qual é o predicado?"
15158ins,"Procure \""The Verge\"" e forneça um resumo"
15161ins,"Crie uma resposta para a seguinte afirmação: \""O museu é superestimado\""."
15179ins,"Dada a string \""abcde\"", imprima seu inverso:"
15184ins,Escreva um código Python para imprimir a frase “Hello World”
15195ins,"Parafraseie a frase: \""Ela gosta de assistir televisão todas as noites\"""
15196ins,"Mude a frase do presente contínuo para o passado contínuo: \""Estou estudando para minha prova.\"""
15197ins,"Mude a frase do passado simples para o passado perfeito: \""Ela escreveu um artigo.\"""
15199ins,"Divida a frase em seus constituintes: \""Estou indo para a loja\"""
15200ins,"Converta a frase da voz passiva para a ativa: \""O aluno ganhou um laptop dos pais.\"""
15201ins,"Reescreva a frase no futuro perfeito: \""Ele escreverá um livro\"""
15384ins,"Recupere a definição de \""networking\"" de uma fonte confiável."
15397ins,"Identifique uma palavra que rime para a palavra \""eyes\"". Produza a palavra."
15398ins,"Para o termo \""Desenvolvimento Web\"", identifique a definição. Produza a definição completa."
15405ins,"Crie um antônimo para a palavra \""Early\"". Produza o antônimo."
15437ins,"Escreva um novo final para esta frase: \""O céu estava com cores brilhantes de laranja e rosa\"""
15439ins,"Reorganize esta frase para torná-la mais dinâmica: \""Eu sempre soube que conseguiria.\"""
15443ins,"Reescreva esta frase para torná-la mais impactante: \""Ela desapareceu sem deixar rastros.\"""
15457ins,"Edite a seguinte frase para maior clareza: “As pessoas recebem prêmios por concluir atividades que demonstram excelência”,"
15591ins,"Dê um sinônimo para a palavra \""pungente\""."
15652ins,"Escolha o sinônimo correto para \""imenso\""."
15656ins,"Identifique os substantivos na frase: \""O gato pulou da árvore\""."
15668ins,"Por favor, explique a frase \""ter paciência e persistir em um plano a longo prazo para alcançar um objetivo\""."
15702ins,"Encontre três sinônimos para \""energético\""."
15703ins,"Crie uma frase complexa usando as palavras \""maçã\"" e \""manteiga\""."
15707ins,"Crie um trocadilho usando a frase \""adulting\""."
17257ins,"Inverta a seguinte palavra: \""conta\"""
17289ins,"Edite a frase a seguir para que fique no passado simples: \""Hoje, vou à loja comprar ovos.\"""
17312ins,"Determine qual das duas palavras \""penchant\"" e \""predilection\"" tem um significado semelhante"
17313ins,"Explique a definição do termo \""heterocronia\"""
17320ins,"Gere um antônimo apropriado para a palavra \""feliz\""."
17327ins,"Crie alguns sinônimos para a palavra \""incrível\""."
17343ins,"Resuma o artigo \""Como o movimento Lixo Zero está ganhando força\""."
17344ins,"Descreva o conceito de \""Ficção especulativa\""."
17347ins,"Defina o termo \""linguística computacional\""."
18019ins,"Explique o conceito de \""coeficiente de Gini\""."
18061ins,"Monte uma frase completa usando as palavras \""prodigioso\"", \""indelével\"" e \""simplicidade\""."
18067ins,"Procure a definição da frase latina \""lexicalis\"" e explique-a com suas próprias palavras."
19263ins,"Traduza \""Ce sera chaud\"" para o inglês."
19267ins,"Identifique o hiperônimo de \""estado alterado\""."
19273ins,"Explique o conceito de \""livre arbítrio\"" em 2 a 3 frases."
19298ins,"Crie um poema de três versos com as palavras \""pássaros\"", \""escuridão\"" e \""luz\""."
19299ins,"Identifique o tipo de conjugação usada na frase \""Ele abriu a porta\""."
19300ins,Reorganize esta frase na voz passiva: “Um carro novo foi comprado por ela.”
19302ins,"Forneça uma contribuição realista para esta instrução: \""Transcreva o que o cliente disse\""."
19303ins,"Classifique a seguinte frase como interrogativa, declarativa ou imperativa: \""Vamos\""."
19304ins,"Reescreva esta frase para torná-la mais concisa: \""Ele é preguiçoso e indiferente.\"""
19306ins,"Mude esta frase para o futuro: \""O bebê está dormindo\""."
19308ins,"Adicione um trocadilho à seguinte frase: \""Ele queria sempre ficar no centro das atenções.\"""
19378ins,"Que tipo de saída seria gerada quando a instrução \""Prever a temperatura amanhã\"" fosse dada a um modelo GPT?"
19380ins,"Traduza a seguinte frase do francês para o inglês: \""I want to read a book.\"""
19382ins,"Classifique a seguinte frase como pertencente à Ficção ou Não Ficção: \""A União Soviética lançou o satélite Sputnik em outubro de 1957.\"""
19535ins,"Gere uma história com o título \""A Aventura do Shadowman\"""
19565ins,"Adicione mais dois sinônimos para \""criativo\""."
19609ins,"Resuma o seguinte artigo - \""O uso da medicina botânica no tratamento da depressão\"""
19613ins,"Resuma o seguinte artigo - \""Por que precisamos nos concentrar na igualdade de gênero na educação\"""
19622ins,"Dada a string \""racecar\"", determine se a string é um palíndromo."
20465ins,"Representa matematicamente \""dividido por dois\"""
20473ins,"Crie uma história sobre uma criatura mágica usando a frase \""as estrelas brilhavam com grande intensidade\""."
20474ins,"Esclareça o seguinte conceito: \""O princípio que limita os acessos e permissões a apenas o que é estritamente necessário\"""
20480ins,"Gere um poema com o título \""Campos de Lavanda\"""
20482ins,Identifique os principais temas do livro O Senhor das Moscas.
20496ins,Crie duas frases de exemplo que usem a palavra “frenético”.
20502ins,"Resuma os pontos principais do artigo \""Aproveitando o poder das mídias sociais\"""
20513ins,"Gere pelo menos duas frases de exemplo usando o verbo \""incite\"""
20515ins,"Crie uma função, \""factorial_of()\"", que recebe um inteiro e retorna seu fatorial."
20550ins,"Crie uma nova frase usando as palavras \""furioso\"" e \""desatualizado\""."
20556ins,"Crie uma frase que comece com as palavras \""Quando se trata de\""."
20585ins,"Escreva uma consulta para obter o preço médio de compra da tabela \""pedidos\"""
20599ins,"Traduza a seguinte frase para o francês:\n\n\""Eu tenho três gatos.\"""
20661ins,"Edite esta frase: \""A cor do gato é roxo claro.\"""
21305ins,"Edite a seguinte frase: \""Levei meu cachorro para correr.\"""
21312ins,"Qual é o inverso da afirmação: \""Eu vou passar no teste"
21313ins,"Traduza esta frase para o japonês e diga qual dialeto é:\n\""As dificuldades nos tornam mais fortes.\"""
21343ins,"Explique o significado da frase \""uma noite com pouca luz e com tempestade\""."
21346ins,"Gere sinônimos para a palavra \""desafiador\""."
21361ins,"Qual é a definição do recurso literário \""repetição de consoantes no início de palavras ou sílabas\""?"
21363ins,"Escreva um limerique que envolva a palavra \""skate\""."
21397ins,"Resuma o seguinte artigo \""Os benefícios da inteligência artificial\"" em 100 palavras."
21606ins,"Em uma frase, explique o conceito de \""mídia social\""."
21610ins,"Forme uma frase usando a expressão \""na situação atual\""."
21657ins,"Descreva o conceito de \""gravidade zero\""."
21660ins,"Traduza a seguinte frase para o chinês: \""Está chovendo lá fora\"""
21661ins,"Classifique o sentimento da seguinte declaração:\n\""O tempo está extremamente frio hoje!\"""
21663ins,"Pesquise no Google a frase \""A frase \""Foi o melhor dos tempos, foi o pior dos tempos\""\"" e liste as cinco principais fontes"
21664ins,"Converta a seguinte frase do formato camelCase para snake_case: \""collectDataForNewProject\"""
21666ins,"Soletre \""feliz\"" em linguagem de sinais"
21670ins,"Construa uma instrução SQL que selecione o nome, ID e endereço de uma tabela chamada \""pessoas\"""
21674ins,"Encontre as 5 palavras mais semelhantes para \""feliz\""."
21676ins,"Classifique a palavra \""software\"" como adjetivo, substantivo ou verbo."
21687ins,"Crie uma frase original que use a palavra \""estrela-guia\""."
21690ins,"Crie uma analogia para ilustrar o ditado \""o ditado \""Um ponto a tempo evita nove\""\""."
21692ins,"Forneça um contra-argumento à afirmação \""a afirmação \""Alimentos geneticamente modificados não são saudáveis\""\""."
21711ins,"Quantas palavras há na frase \""a frase \""Ele ajuda os necessitados todos os dias\""\""?"
22016ins,"Explique o que é \""pensamento crítico\"" e dê um exemplo de como ele pode ser usado."
22024ins,"Escreva uma frase significativa usando a expressão \""uma observação inteligente e perspicaz\""."
22028ins,"Descreva o conceito de \""IA (inteligência artificial)\"" para uma pessoa que não esteja familiarizada com o assunto."
22029ins,"Crie uma frase significativa usando a expressão \""pensar estrategicamente\""."
22049ins,"Combine duas dessas palavras — \""talentoso\"", \""inteligente\"" — em uma frase interessante."
22071ins,"Escreva um poema curto que transmita o sentimento \""uma gargalhada alta e contagiante\""."
