ID,PT,tokens_est_instance,tokens_est_id
16422ins,Cite três sinais de depressão.,12,3
16423ins,Crie um guia de viagem para Tóquio.,15,3
16424ins,Sugira três atividades divertidas para um passeio de um dia na praia.,24,3
16425ins,Edite o texto fornecido para que ele siga o estilo de formatação APA.,24,3
16426ins,Qual é o escore z mínimo para aceitar uma hipótese com nível de confiança de 95%?,30,3
16427ins,Descreva os cinco W's do jornalismo.,15,3
16428ins,Crie uma consulta para selecionar todos os dados de vendas de 2019.,23,3
16429ins,Explique como depurar um programa C,11,3
16430ins,Sugira uma técnica de visualização de dados para visualizar o conjunto de dados fornecido.,32,3
16431ins,Construa uma consulta SQL para consultar a idade média de todos os clientes,24,3
16432ins,De que forma você acha que a tecnologia está mudando a maneira como aprendemos?,29,3
16433ins,Descreva como funciona a computação em nuvem,16,3
16434ins,Forneça uma saída para a seguinte função,17,3
16435ins,Encontre a frequência da palavra ‘the’ em um determinado texto,23,3
16436ins,Crie uma consulta SQL para selecionar todos os registros de clientes que compraram mais de 5 itens,30,3
16437ins,Descreva os 4 fundamentos da Programação Orientada a Objetos,18,3
16438ins,Como você monitoraria e avaliaria o desempenho de um modelo GPT?,22,3
16439ins,Crie uma história sobre uma viagem no espaço.,20,3
16440ins,Qual é a temperatura máxima que o plutônio pode suportar antes de derreter?,29,3
16441ins,Quando e por que a Guerra do Vietnã começou?,16,3
16442ins,Resuma esta frase em uma palavra: Ela amava o jeito como ele sempre a fazia rir.,32,3
16443ins,Identifique o homófono nesta frase: The bee bee's in the tree.,21,3
16444ins,Escreva uma redação de classificação sobre animais de estimação.,25,3
16445ins,Encontre um exemplo de metáfora nesta frase: Minha vida é comparada a um rio que flui inexoravelmente.,36,3
16560ins,Descreva as diferenças entre comunicação formal e informal,19,3
16732ins,Qual é o sinônimo da palavra “realização”?,20,3
20703ins,"Automatize a seguinte tarefa: toda vez que alguém enviar um e-mail para a caixa de correio de atendimento ao cliente, envie uma resposta agradecendo ao cliente pela mensagem.",68,3
24673ins,Crie cinco perguntas a partir da seguinte afirmação:,23,3
24674ins,"Categorize a seguinte frase: \""A professora escreveu no quadro\"".",23,3
24675ins,Crie um verso de rap de 10 palavras sobre liberdade.,18,3
24676ins,"Explique o termo \""atenção plena\"" em 4 frases.",17,3
24677ins,Crie uma piada original sobre o tópico fornecido.,18,3
24678ins,Reescreva o poema fornecido em um estilo mais moderno.,19,3
24679ins,Dê a saída para o seguinte código:,17,3
24680ins,Você consegue colocar essa frase no futuro?,17,3
24681ins,Cite duas técnicas de mineração de dados.,18,3
24682ins,Gere uma frase aleatória em francês.,15,3
24683ins,Como o sistema endocanabinoide afeta o sistema imunológico?,25,3
24684ins,Escolha um animal e explique por que é importante preservá-lo.,19,3
24685ins,Liste cinco países da Europa.,11,3
24686ins,"Reescreva a frase a seguir com palavras diferentes, mas preserve o mesmo significado básico: \""A árvore era alta\"".",43,3
24687ins,"Considerando um jogo popular para dispositivos móveis, crie uma história ambientada no mundo do jogo.",32,3
24688ins,"Avalie a seguinte afirmação: \""A vida sem tecnologia seria monótona\"".",31,3
24689ins,Discuta os impactos ambientais e de saúde do desmatamento.,18,3
24690ins,Escolha um líder mundial e explique seus sucessos e deficiências.,25,3
24691ins,"Dado um ano, escreva um parágrafo descritivo sobre como era o mundo naquele ano.",31,3
24692ins,Preveja um futuro avanço tecnológico.,17,3
24693ins,"Dado um tipo de alimento, crie uma receita para ele.",19,3
24694ins,Classifique esta afirmação: Cães são melhores animais de estimação que gatos.,30,3
24695ins,Reescreva a frase para dar a ela uma conotação positiva.,22,3
24696ins,Crie uma obra de arte que represente liberdade.,15,3
24697ins,Gere uma história com base neste contexto,13,3
24698ins,Recupere a foto mais antiga de um gato e,15,3
24699ins,Pesquise as últimas notícias sobre a Apple.,19,3
24700ins,Componha um haicai com o tema da natureza.,15,3
24701ins,"Dada uma lista de tópicos, crie uma comparação baseada em categorias.",26,3
24862ins,Crie uma história de terror envolvendo uma casa assombrada.,22,4
25102ins,Crie uma história interessante sobre um empreendedor de sucesso.,23,3
25565ins,"Adicione uma frase que conecte as ideias no parágrafo seguinte, ajudando na transição de um ponto para outro.",40,3
25566ins,"Ao fazer um discurso, edite-o para torná-lo mais forte e convincente.",27,3
25567ins,"Dada uma situação, sugira uma ação ou decisão que possa potencialmente melhorá-la.",36,3
25568ins,"Dado um conjunto de fatos, crie uma declaração de tese que resuma o ponto principal.",29,3
25569ins,Descreva uma maneira de se apresentar em uma entrevista de emprego.,24,3
25570ins,Expanda esta frase adicionando mais detalhes:,15,3
25571ins,Você pode listar pelo menos três razões pelas quais a reciclagem é importante?,32,3
25572ins,Crie uma estratégia para ensinar a tabuada de multiplicação a uma criança de 11 anos.,32,3
25573ins,Por que lavar as mãos é importante para prevenir a propagação de doenças?,27,3
25574ins,Descreva um cenário em que a tecnologia de IA pode ajudar a diagnosticar uma condição médica.,36,3
25575ins,Crie uma estratégia para gerenciar o estresse.,19,3
25576ins,Quais são as características de uma história de ficção realista?,24,3
25577ins,Relacione cada cidade com seu estado.,14,3
25578ins,Cite três vantagens de usar o transporte público.,21,3
25579ins,"Classifique as frases a seguir em \""pretérito\"" e \""presente\"".",22,3
26228ins,Escreva um algoritmo de classificação para detectar e-mails de spam.,23,3
26230ins,"Crie um e-mail para um amigo, pedindo que ele participe de um curso on-line com você.",29,3
26231ins,Suponha que você seja um web designer e crie um layout HTML usando classes CSS.,22,3
26232ins,Descreva as tarefas de processamento de linguagem natural que você pode realizar com o GPT-3.,32,3
26233ins,"Com base na categoria fornecida, recomende três livros.",18,3
26234ins,"Dado um número, gere um poema com o mesmo número de sílabas em cada linha.",32,3
26235ins,Crie uma postagem de blog que explique a criptografia de chave pública.,27,3
26236ins,Crie um gráfico para descrever o processo de conversão de uma frase em um vetor.,27,3
26237ins,Melhore a frase dada em termos gramaticais.,15,3
26238ins,Gere uma lista das 10 empresas com maior valor de mercado do mundo.,24,3
26239ins,Escreva uma consulta estruturada em SQL para obter todos os pedidos criados na última semana.,34,3
26240ins,"Reorganize a frase para transmitir o seguinte significado: \""Não sou fã de dever de casa\"".",31,3
26241ins,O que faz alguém ser um grande líder?,16,3
26242ins,Compare e contraste esses dois valores: 8 e 12,14,3
26243ins,Reescreva a frase para usar o mesmo vocabulário: Não estou satisfeito com a decisão.,31,3
26244ins,Conte-me uma história curta sobre uma corrida entre um coelho e uma raposa.,30,3
26245ins,Dê três exemplos de serviços de streaming populares.,17,3
26246ins,Crie uma lista de cinco ingredientes para uma sopa de brócolis.,23,3
26247ins,Reescreva a frase na voz ativa: O estudo foi escrito pela Dra. Susan Smith.,27,3
26248ins,Liste três efeitos negativos da poluição do ar.,21,3
26249ins,Altere esta frase para torná-la mais concisa: Ela sempre foi uma menina obediente e nunca se atrasava.,36,3
26250ins,"Descreva um personagem chamado \""John\"" em 3 frases.",18,3
26251ins,"Encurte a frase sem alterar o significado: Embora Jennifer tenha estudado muito, seu desempenho foi muito ruim na prova.",42,3
26252ins,"Categorize esses quatro itens como mamífero, pássaro, réptil ou peixe: elefante, golfinho, cobra, papagaio",44,3
26253ins,"Forneça uma tradução desta frase: \""El tren llegó a la estación.\""",28,3
26254ins,Crie um esboço para uma postagem de blog sobre saúde mental.,22,3
26255ins,Crie uma letra de música relacionada à natureza.,18,3
26256ins,Cite pelo menos 3 benefícios de usar transporte público.,22,3
26257ins,Escreva uma história centrada em uma competição de snowboard.,21,3
26258ins,Escreva uma carta a um amigo sobre uma experiência ruim que você teve.,28,3
26259ins,Reescreva esta frase para usar adjetivos e advérbios.,21,3
26260ins,Gere uma comparação relacionada a uma flor.,17,3
26261ins,Explique a diferença entre um endereço IP público e um privado.,25,3
26262ins,Liste 3 elementos comuns de uma senha forte.,15,3
26263ins,"Defina o termo \""linguagem assembly\"".",13,3
26264ins,Descreva os princípios de design de um banco de dados relacional.,21,3
26265ins,Liste 3 razões pelas quais a visualização de dados é importante.,24,3
26266ins,O que é análise de dependência?,13,3
26267ins,"Crie uma expressão regular para corresponder strings que contenham a palavra \""hello\"" e terminem em \""abc\"".",30,3
26278ins,coloque uma vírgula depois do modificador.,15,3
26279ins,Discuta uma diferença fundamental entre abstração e encapsulamento.,21,3
26280ins,Crie um pseudocódigo para um programa que receba dois números do usuário e imprima a soma deles.,36,3
26281ins,"Troque a palavra \""irritante\"" por \""chato\"".",17,3
26282ins,Recomendar uma ação de acompanhamento apropriada.,18,3
26283ins,Gere um trecho de código que imprimirá uma mensagem de boas-vindas.,28,3
26284ins,Analise o texto a seguir e forneça três conclusões principais.,25,3
26285ins,"Gere um poema anacróstico criativo para a palavra \""outono\"" ",25,3
26286ins,Quais são os benefícios do uso da Realidade Aumentada na educação?,25,3
26287ins,Reescreva a frase a seguir para refletir o outro ponto de vista,23,3
26288ins,Crie uma frase ofensiva que comece com a mesma consoante.,20,3
26289ins,"Liste os planetas do Sistema Solar em ordem, do mais próximo ao mais distante do Sol.",30,3
26290ins,Diferencie um imbróglio de um atoleiro.,17,3
27215ins,Descreva uma maneira construtiva de passar o tempo durante o autoisolamento.,25,3
27216ins,"Edite a seguinte frase: \""Ela não gosta deste filme\"".",23,3
27217ins,"Você é solicitado a avaliar o seguinte restaurante com base em uma escala de 1 a 10, sendo 10 a nota mais alta.\n\""O restaurante tem uma ótima atmosfera, equipe simpática e comida deliciosa.\""",73,3
27218ins,Identifique 4 sites que podem ser usados \u200b\u200bpara encontrar um emprego.,29,3
27219ins,Reescreva esta passagem em 15 palavras ou menos.,19,3
27220ins,Liste 5 tecnologias emergentes no campo da ciência da computação.,25,3
27221ins,"Explique o que significa \""resolução criativa de problemas\"".",21,3
27502ins,"Dada esta pintura, descreva a emoção que ela transmite.",21,3
27503ins,Qual é a altura do Monte Everest?,9,3
27504ins,Formule uma declaração que expresse uma relação de causa e efeito.,26,3
27505ins,Cite três vegetais que apresentam uma tonalidade avermelhada quando crus.,24,3
27506ins,"Construa uma frase simples usando as seguintes palavras: rapidamente, alguns",26,3
27507ins,Adicione mais palavras descritivas para tornar esta frase mais interessante.,25,3
27508ins,"Dado o nome de uma pessoa, crie uma história fictícia com essa pessoa como protagonista.",34,3
27509ins,Escolha dois pintores famosos e explique o que torna suas obras diferentes umas das outras.,32,3
27510ins,"Dado o nome de um político, forneça uma descrição detalhada dos objetivos políticos do político.",40,3
27511ins,Crie um título apropriado para expressar ironia relacionada a um determinado tópico.,28,3
27512ins,Crie uma metáfora para descrever algo que é difícil de entender.,24,3
27513ins,Encontre dois artigos de notícias relacionados ao tópico fornecido.,26,3
27514ins,Dê três dicas para reduzir a ansiedade.,16,3
27515ins,Identifique a raiz da palavra fornecida.,14,3
27516ins,Participe de uma discussão sobre o tópico fornecido.,19,3
27517ins,Gere um programa que imprima a lista de números fornecida na ordem inversa.,27,3
27518ins,Explique por que o noroeste do Pacífico é propenso a terremotos?,22,3
27519ins,Analise este texto quanto ao seu significado e gere uma lista de palavras-chave,28,3
27601ins,Que tipo de árvore George Washington cortou?,14,3
27602ins,Um amigo seu está pensando em tirar um ano sabático antes da faculdade. Escreva um pequeno parágrafo no qual você o incentiva a tirar o ano sabático.,55,3
27603ins,Escreva um e-mail para um cliente pedindo desculpas.,18,3
27604ins,Crie uma história sobre um personagem que está frustrado com seu trabalho.,26,3
27605ins,Crie um programa de exercícios em casa para iniciantes.,19,3
27606ins,Forneça uma lista de benefícios de uma dieta baseada em vegetais.,23,3
27607ins,Construa uma conversa entre um representante de atendimento ao cliente e um cliente que gostaria de comprar um produto.,36,3
27608ins,Crie uma história sobre uma pessoa que descobre um talento que não sabia que tinha.,30,3
27609ins,Compile uma lista de etapas para hospedar um evento online.,18,3
27610ins,Classifique a lista de palavras em ordem alfabética e separe-as por vírgulas.,28,3
27611ins,"Como você classificaria o seguinte animal como mamífero, réptil ou peixe?",30,3
27612ins,Some dois números e escreva a resposta em palavras.,19,3
27613ins,Crie um banco de dados para armazenar os registros dos alunos da escola XYZ.,26,3
27614ins,Identifique cinco valores potenciais para a Apple Inc.,16,3
27615ins,Analise os pontos fortes e fracos do atual sistema de saúde nos Estados Unidos.,29,3
27616ins,Dê-me uma lista de cinco problemas comuns no local de trabalho.,23,3
27617ins,Como funciona o sistema digestivo?,11,3
27618ins,Recupere o significado do termo saliência.,15,3
27619ins,"Reescreva a frase a seguir omitindo a palavra \""confortável\"".",25,3
27620ins,"Verdadeiro ou falso, carros autônomos são viáveis para rodovias.",26,3
27621ins,Crie uma frase sobre o futuro do transporte.,15,3
27622ins,Existe algum continente maior que a África?,16,3
27623ins,Componha duas ou três frases para elaborar a seguinte afirmação.,26,3
27624ins,Crie uma história original ambientada em uma paisagem urbana.,21,3
27625ins,Analise este texto e determine seu gênero.,15,3
27626ins,Quais são as vantagens e desvantagens de usar uma rede neural para tarefas de classificação?,33,3
27627ins,Liste os processos ou etapas necessárias para tingir tecidos usando corantes naturais,29,3
27628ins,"Gerar uma lista de palavras-chave para o tópico \""Engenharia Aeronáutica\""",30,3
27629ins,Escreva um esboço de personagem para um velho rabugento,19,3
27630ins,Categorize o seguinte item como uma função primária ou secundária de um smartphone,28,3
27631ins,Cite dois pares de cores complementares,10,3
27632ins,Liste as etapas necessárias para usar uma calculadora gráfica,22,3
27633ins,"Gere um apelido exclusivo para o nome \""John\"".",16,3
27634ins,Determine a base e a altura de um triângulo dada sua área.,23,3
27635ins,"Dada a seguinte lista de animais, determine a população média de cada espécie.",31,3
27636ins,Crie uma função que exiba todos os números primos de 1 a n.,24,3
27637ins,"Dada uma palavra, determine o número de vogais na palavra.",23,3
27638ins,"Dado um número, encontre os dois números primos que somados formam esse número.",32,3
27639ins,Crie um programa Python que imprima todos os números primos no intervalo fornecido.,26,3
27640ins,Crie um itinerário de férias que visite as três cidades a seguir.,26,3
27641ins,Liste 5 maneiras de reduzir o número de acidentes de carro.,24,3
27642ins,Forneça uma lista de componentes para um sistema de computador.,19,3
27643ins,Crie uma tabela de valor nutricional para o seguinte item alimentar.,23,3
27644ins,Desenvolva um plano para corrigir o bug com a mensagem de erro fornecida.,26,3
27645ins,Calcule a área e o perímetro da figura dada.,18,3
27646ins,Crie um loop for para a lista de itens fornecida,15,3
27647ins,Gere uma senha com pelo menos 15 caracteres e que contenha números e caracteres especiais.,35,3
35316ins,Descreva uma situação em que entender o significado do contexto pode ser necessário para concluir a tarefa.,35,3
39065ins,Gere uma lista de 10 plantas que são fáceis de cuidar,21,3
39076ins,Reescreva esta frase usando a grafia correta: Este queijo é realmente saboroso,30,4
39105ins,Liste cinco dicas para melhorar sua dieta.,16,3
40951ins,Gere uma lista de cinco países com mais usuários de internet,23,3
41350ins,erro,2,3
45331ins,Sugira o próximo movimento neste jogo de xadrez.,20,3
45776ins,Converta a expressão 4(x-3) para sua forma equivalente de declive-interceptação.,29,3
45777ins,Reescreva a frase para inserir uma palavra de transição em seu lugar.,27,3
45778ins,Parafraseie as frases a seguir usando sinônimos.,19,3
45779ins,Liste dois métodos que podem ser usados para aumentar a satisfação do cliente.,27,3
45780ins,"Com a ajuda de dois exemplos, explique o que é inteligência artificial.",23,3
45781ins,Crie uma metáfora para uma pessoa que é bastante teimosa.,22,3
45782ins,Encontre o valor atual de uma ação dado o preço de fechamento diário da ação da semana passada.,38,3
49656ins,Converta a taxa de conversão de moeda de USD para CAD.,17,3
49657ins,Produza uma descrição de uma camiseta na frase.,18,3
49658ins,Encontre a frase que contém mais palavras. Produza o índice da frase.,27,3
49659ins,Determine se a sequência numérica fornecida é uma sequência aritmética.,28,3
49660ins,"Explique o significado da frase \""agravar uma situação ruim com palavras ou ações ofensivas\"".",36,3
49661ins,Gere um exemplo de uma carta de arrecadação de fundos eficaz,23,3
49662ins,Crie um exemplo de anúncio classificado para um emprego,18,3
49663ins,Crie um plano para gerenciar dados do cliente,15,3
51376ins,Crie uma redação de 500 palavras sobre o papel da tecnologia na educação física.,32,3
51377ins,Componha uma melodia que expresse tristeza.,16,3
51378ins,Explique a diferença entre um gráfico de barras e um gráfico de linhas.,27,3
51379ins,Crie uma função que receba três parâmetros e retorne o maior deles.,26,3
51380ins,"Classifique os seguintes tipos de nuvens: cirros, cúmulos e estratos.",28,3
51381ins,Sugira o melhor sistema de rastreamento de problemas para uma equipe de desenvolvimento de software de 10 membros.,37,3
51382ins,Explique o que é o Caminho Óctuplo no Budismo.,19,3
51383ins,Gere um programa em Python para encontrar a mediana de uma lista.,20,3
51384ins,Gere uma lista de fatores potencialmente influentes relacionados à criminalidade em uma cidade.,31,3
51385ins,Identifique os dois passos mais importantes para planejar uma viagem.,21,3
51386ins,Cite três usos para o aprendizado de máquina.,19,3
51499ins,Descreva como o mundo seria transformado se todos seguissem uma determinada ideologia.,27,3
51500ins,Dê-me um cenário para o seguinte personagem fictício: uma jovem empreendedora de Nova York.,36,3
51501ins,Faça uma lista de atividades para um encontro romântico.,20,3
51502ins,Crie uma história de fantasia sobre uma aventura em uma caverna.,23,3
51503ins,Limpe o texto fornecido para torná-lo mais conciso.,18,3
51504ins,Escreva uma série de instruções para um programa de computador concluir uma tarefa.,32,3
51505ins,Edite a seguinte frase: “Não quero nenhum erro”.,24,3
51506ins,Gere um novo nome para um produto de tecnologia a partir da descrição fornecida.,28,3
51507ins,Adicione dois adjetivos ao substantivo fornecido para dar um tom mais formal e profissional.,29,3
51508ins,Classifique os livros a seguir em ordem de impacto do autor na literatura.,24,3
51509ins,Decida qual afirmação é a mais forte.,15,3
51510ins,Desenvolver uma estratégia de marketing para um novo produto que incorpore dois canais: e-mail e mídia social,37,3
51511ins,Crie um algoritmo que possa prever os preços das ações de uma determinada empresa.,32,3
51512ins,Qual é o processo para redefinir o Microsoft Word?,13,3
51513ins,Resuma os detalhes da troca de moeda.,13,3
51514ins,Crie uma estratégia de enfrentamento de saúde mental.,21,3
51515ins,"Por favor, indique os ingredientes principais de uma salada italiana.",20,3
51654ins,"Com base na receita a seguir, quais são os ingredientes necessários para o prato?",26,3
51655ins,"Dada a declaração de entrada, forneça o sentimento da declaração em termos de pontuações de sentimento.",36,3
51656ins,"Dada a declaração de entrada, forneça a declaração mais semelhante a ela.",29,3
51657ins,"Combine as afirmações em uma frase, mantendo o significado original.",23,3
51658ins,Elimine palavras desnecessárias das frases sem alterar o significado.,22,3
51659ins,Reescreva a frase como uma pergunta de sim ou não.,21,3
51660ins,Crie uma nova frase que tenha um significado semelhante à frase abaixo.,26,3
51661ins,Crie uma frase original com base na palavra-chave fornecida.,20,3
51662ins,Adicione uma frase que siga logicamente esta.,16,3
51663ins,Crie um trocadilho relacionado ao fogo.,16,3
51664ins,Descreva a receita do seguinte prato.,14,3
51665ins,Conte-me sobre um caso de uso de inteligência artificial.,20,3
51666ins,Conte-me um filme popular dos anos 80.,13,3
51667ins,Determine se esta frase é gramatical,11,3
51668ins,Gere um exemplo de uma obra literária com dois personagens,19,3
51669ins,Qual evento está associado ao conto “O Colar”,18,3
51670ins,Reescreva esta frase para maior clareza,14,3
51671ins,Gere uma frase bem conhecida,12,3
51672ins,Escreva uma história criativa começando com a frase “Eu nunca esperei que isso acontecesse”,38,3
51673ins,Imagine que você está em um supermercado. Escreva uma lista de cinco itens que você compraria,31,3
51674ins,Gerar uma nova ideia que poderia ser usada para reduzir as emissões globais de carbono,29,3
51675ins,Identifique o tipo de frase: “Ele já tinha comido café da manhã”,26,3
51676ins,Cite cinco tipos de espécies que vivem no deserto,18,3
51677ins,Crie um novo slogan para uma marca de automóveis com base na frase “Pense no futuro”,30,3
51678ins,Adicione palavras ao dístico rimado,14,3
51679ins,"Para criar um palíndromo, complete esta frase",17,3
51680ins,Descreva como funciona um spray aerossol.,13,3
51681ins,Explique o conceito de comércio eletrônico.,17,3
51682ins,Pense em uma palavra-valise que combine as palavras “porco” e “cachorro”,32,3
51683ins,Expanda a frase a seguir.,10,3
51684ins,Crie uma história curta sobre uma jovem bruxa lutando com sua identidade,27,3
15381inp,<imagem: https://images.unsplash.com/photo-1514943473584-375a27f73301?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&w=1000&q=80>,68,4
