ID,PT
4651ins,"Analise o poema \""The Road Not Taken\"" de Robert Frost e explique seu significado."
4652ins,"Resuma o artigo \""A Filosofia da IA\"" e explique seus pontos principais."
4699ins,Identifique o tipo de frase.
4756ins,"Traduza a frase \""Onde está la estación de autobuses?\"" para o inglês."
4912ins,"Identifique o tipo da frase \""Ela foi ao caixa\""."
4955ins,"Sugira um sinônimo para a palavra \""eliminar\""."
4956ins,"Identifique as duas palavras que rimam com \""chama\""."
4958ins,"Escreva quatro frases sobre pandemias começando com a palavra \""Pandemias\""."
4960ins,"Crie uma frase com a palavra \""Onipresente\""."
5037ins,"Construa uma frase simples que contenha as seguintes palavras: item, varejo."
5044ins,Transforme esta frase em uma pergunta.
5070ins,"Explique por que a seguinte frase está incorreta: \""Your was late\""."
5103ins,"Você recebe esta frase, \""The cat is running around the house\"". Converta-a em uma pergunta."
5108ins,"Você recebe esta frase, \""Ele estava deitado no sofá\"" e é solicitado a criar uma frase imperativa."
5118ins,"Qual é o significado da frase \""nunca julgue um livro pela capa\""?"
5143ins,"Qual é o significado da frase \""fazer papel de bobo\""?"
5163ins,"Gere um exemplo de uma conversa de atendimento ao cliente envolvendo a palavra-chave \""envio\""."
5184ins,Qual é a palavra para “um grande grupo de pessoas reunidas em um só lugar”?
5188ins,"Crie uma lista de 10 adjetivos usando a letra \""r\""."
5264ins,"Encontre um eufemismo adequado para \""morreu\"""
5335ins,"Explique o conceito de \""direitos de propriedade intelectual\""."
5338ins,"Crie uma história criativa que transmita a mensagem: \""Cada ato de gentileza torna o mundo um lugar melhor\""."
5343ins,"Explique a relação entre os substantivos e pronomes na frase \""Jennifer compartilhou a receita simples com Tom e ela\""."
5345ins,"Reescreva a seguinte declaração tornando-a mais concisa: \""Suzanne trabalha como engenheira e atualmente é empregada pela XYZ Corp.\"""
5346ins,"Dê um toque positivo à seguinte declaração: \""O governo federal está considerando a possibilidade de cancelar os estágios de verão.\"""
5348ins,"Reescreva a seguinte declaração no tempo futuro: \""Estou repensando meus planos de carreira.\"""
5349ins,"Reescreva a seguinte declaração no passado: \""Eles estão planejando lançar um novo site.\"""
5350ins,"Descreva a relação entre os substantivos e pronomes na frase: \""Ela convidou Joe e ele para jantar.\"""
5352ins,"Reescreva a seguinte afirmação para que fique mais concisa: \""Devemos lembrar que os alimentos que comemos podem ter um impacto na nossa saúde.\"""
5357ins,"Escolha uma palavra melhor para substituir a palavra \""doce\""."
5365ins,"Selecione todas as ocorrências da palavra \""incrível\"" no texto e marque-as com “<incrível>”"
5407ins,"Explique ao assistente que \""elefante\"" e \""ELEFANTE\"" são as mesmas palavras."
5431ins,"Explique por que a seguinte afirmação está errada: \""A computação em nuvem armazena seus dados na Internet\""."
5447ins,"Reescreva a frase a seguir usando sinônimos e/ou uma estrutura gramatical diferente para enfatizar o mesmo significado da frase: \""Foi incrível\""."
5450ins,"Edite esta frase para usar linguagem figurada: \""A jornada foi longa e difícil\""."
5452ins,"Torne a frase a seguir mais concisa: \""Fiquei surpreso quando ouvi a notícia porque não esperava por isso\""."
5583ins,"Gere uma lista de celebridades que aparecem no filme \""Maze Runner\""."
5636ins,Traduza a frase para outro idioma!
5689ins,"Defina o que significa o termo \""inteligência artificial\""."
5708ins,"Sugira uma alternativa adequada à frase \""apresse-se\""."
6239ins,Reescreva uma frase dada com um verbo diferente.
6269ins,"Classifique esta frase como um comando, declaração ou pergunta: \""Por favor, considere esta oferta.\"""
6272ins,"Edite esta frase para torná-la mais concisa: \""É por isso que gostaria de insistir que...\"""
6273ins,"Analise a frase a seguir e identifique o sujeito, o verbo e o objeto: \""Robôs podem aprender rapidamente\""."
6274ins,"Determine qual das seguintes frases está correta: \""É mais divertido\"" ou \""É mais divertido\""?"
6276ins,"Escreva um parágrafo usando as palavras \""perspectiva\"", \""integridade\"" e \""diversidade\""."
6277ins,"Explique o significado da expressão \""to hit the ground running\"" (começar a correr)."
6314ins,"Traduza estas palavras do inglês para o francês: \""Cachorro\"""
6331ins,"Oriente o assistente a classificar a seguinte frase como \""Positiva\"" ou \""Negativa\"":\nAdoro o novo produto."
6332ins,"Classifique a seguinte frase como \""Fato\"" ou \""Opinião\"":\nPessoas que não se exercitam regularmente correm maior risco de desenvolver condições crônicas de saúde."
6922ins,"Explique o significado da expressão idiomática: \""Não acabou até a senhora gorda cantar\"""
7074ins,"Produza uma definição para a expressão idiomática \""a stones throw away\""."
7098ins,"Escreva um poema que contenha as palavras fornecidas: \""rio\"" e \""luz\"""
7118ins,"Descubra o significado da frase \""da frigideira para o fogo\"""
7128ins,"Descreva o significado do provérbio \""Tempo é dinheiro\""."
7141ins,"Descreva uma situação em que a frase \""Você não pode levar isso com você\"" pode ser relevante."
7142ins,"Escolha uma palavra apropriada para substituir a frase \""em outras palavras\"" na frase a seguir."
7369ins,"Identifique o tipo da seguinte frase: \""uma menina de oito anos\""."
7519ins,"Dada uma frase, identifique o sujeito e o verbo dessa frase."
7695ins,Traduza esta frase para o espanhol.
7731ins,"O que significa a frase \""Era uma vez\""?"
7788ins,"Categorize a seguinte frase: \""O leão rosnou\""."
7789ins,"Transforme a seguinte frase em uma afirmação negativa: \""Eu irei\""."
7790ins,"Descreva o significado da frase: \""Para encurtar uma longa história\""."
7791ins,"Edite a frase: \""Estou dando a remessa ao vizinho\""."
7796ins,"Identifique o tipo da seguinte frase: \""Meu irmão tem dois filhos\""."
7853ins,"Encontre o sinônimo para \""abominar\""."
7854ins,"Forme um antônimo para \""abundante\""."
7858ins,"Qual é uma boa resposta para \""Não gosto do jeito que você está falando comigo\""?"
7873ins,"Escreva uma postagem de blog sobre o tópico \""Por que as empresas precisam investir em treinamento de funcionários\""."
7891ins,"Crie um logotipo para uma empresa chamada \""Run4Fun\""."
7903ins,"Crie uma consulta para pesquisar restaurantes com a palavra-chave \""frutos do mar\"" na cidade de Los Angeles."
7905ins,"Forneça o personagem principal do romance \""O Senhor das Moscas\""."
7907ins,"Atribua um sinônimo à palavra \""facilitar\""."
7914ins,"Recite a primeira estrofe de \""The Road Not Taken\"", de Robert Frost."
7948ins,"Gere uma lista de palavras relacionadas ao termo \""comida\""."
7965ins,"Explique como \""tipos\"" é usado em linguagens de programação."
7972ins,"Forneça antônimos para a palavra \""mal\""."
7983ins,"Gere pelo menos 3 sinônimos para a palavra \""humorístico\""."
8000ins,Crie uma história baseada nesta frase de abertura: “Era uma noite escura e tempestuosa”.
8005ins,Determine se a seguinte afirmação é verdadeira ou falsa: “A luz viaja mais rápido que o som”.
8015ins,Responda a esta pergunta verdadeiro ou falso: A capital da França é Londres.
8024ins,Corrija esta frase: “Está chovendo muito forte lá fora”.
8038ins,Amplie esta frase: “A tecnologia revolucionou a maneira como
8040ins,Encontre os substantivos nesta frase: A menina ficou encantada com as flores brilhantes.
8045ins,Classifique esta frase: A Antártida é o continente mais ao sul.
8067ins,"Crie uma frase usando as palavras “feliz”, “alegre” e “emocionado”."
8093ins,Escreva uma história com o prompt “Um viajante viajando por uma floresta escura descobre um objeto misterioso”
8218ins,"Traduzir \""não está chovendo\"" para o espanhol"
8220ins,"Reformule esta frase \""Ela vai à loja todos os dias\"""
8235ins,"Reordene as palavras para reformular a frase \""O programa foi muito bem-sucedido\"""
8553ins,"Use a frase \""isso me dá nos nervos\"" em uma frase."
8563ins,"Diga-me um sinônimo para \""feliz\""."
8578ins,Determine o tipo da seguinte palavra: incrível.
8607ins,"Explique o termo \""apropriação cultural\""."
8640ins,Resuma este artigo: https://example.com/article
9205ins,"Procure a definição da palavra \""acólito\""."
9586ins,"Explique o valor de uma \""mentalidade de crescimento\""."
9614ins,Categorize a seguinte frase: O carro é vermelho.
9643ins,"O que significa \""a priori\""?"
9644ins,"Substitua a palavra \""diferente\"" pela palavra correta:"
9769ins,"Edite a seguinte frase: \""Hoje, fiz muitas compras online.\"""
9770ins,"Traduza a seguinte frase para o espanhol: \""Estou muito animado para aprender espanhol.\"""
9794ins,"Explique o que significa o termo \""ônus da prova\""."
9828ins,"Defina o termo \""modo subjuntivo\""."
9928ins,Reescreva a seguinte frase na sua forma interrogativa
9988ins,"Crie uma história que comece com a frase \""O sol lentamente subiu no céu\""."
9992ins,"Reescreva a frase \""O gato perseguiu o rato\"" no passado."
9993ins,"Componha um poema que use a frase \""coração de ouro\""."
9996ins,"Edite a frase a seguir para um tom mais acadêmico:\n\""Os computadores são ótimos porque podem fazer muitas coisas!\"""
10005ins,Quem escreveu o romance “O Apanhador no Campo de Centeio”?
10010ins,"Pense em uma palavra que rime com \""fino\"""
10016ins,"Edite esta frase para que soe mais natural: \n\""Talvez seja por causa da chuva\"", ele disse."
10017ins,"Classifique esta frase como formal ou informal: \n\""Qual é o problema?\"""
10032ins,Transforme esta frase em uma pergunta: O sol está brilhante hoje.
10033ins,Crie uma frase que descreva o conceito de “empoderamento”
10307ins,Reescreva esta frase para usar um verbo diferente.
10521ins,"Classifique a frase \""O céu é azul\"""
10522ins,"Mude esta frase para a voz ativa: \""A bola foi pega pelo menino.\"""
10524ins,"Reorganize as palavras nesta frase para formar uma frase gramaticalmente correta: \""truck the loading heavy is\""."
10532ins,"Edite esta frase: \""Podemos ficar com fome.\"""
10576ins,"Identifique a definição correta para a palavra \""anomalia\""."
10671ins,"Dado o prompt “gato” e uma semente aleatória, gere uma nova frase usando GPT-3."
10725ins,erro
10750ins,"Dê uma alternativa adequada para a frase \""uma mosca na sopa\""."
10751ins,"Descreva o significado da frase \""once in a blue moon\""."
10752ins,"Explique o significado do provérbio \""Um erro é tão bom quanto uma milha\""."
10756ins,"Você recebe o seguinte texto: \""Era uma manhã fria de dezembro, o céu estava cinza e a neve caía levemente. Descreva a atmosfera da manhã\"""
10787ins,"Gere 50 palavras associadas à palavra \""beisebol\""."
10788ins,"Edite a frase a seguir para corrigir quaisquer erros gramaticais e torná-la mais concisa: \n\n\""O telefone não está carregando porque a bateria acabou.\"""
10811ins,"Edite a frase: \""Teremos sucesso se tentarmos\"""
10813ins,"Classifique esta frase como uma comparação ou uma metáfora: \""O vento uivava como um animal ferido.\"""
10818ins,"Para que tipo de atividade a trilha sonora de \""A Bela e a Fera\"" é usada?"
10846ins,"Pense em uma palavra relacionada à palavra-chave \""batata\""."
10854ins,Reescreva a frase para que fique no presente.
10874ins,"Escreva um resumo do filme \""O Grande Gatsby\"""
10877ins,Pegue esta frase e torne-a mais descritiva: Ela estava assustada.
10884ins,"Interprete este poema: Rosas são vermelhas, Violetas são azuis"
10929ins,"Explique as diferenças entre as seguintes palavras: \""accent\"" e \""dialect\""."
10954ins,"Dada a seguinte entidade: \""Lamborghini Aventador\"", crie uma URL de solicitação."
10972ins,"Crie uma metáfora para explicar o significado do termo \""dúvida\""."
10982ins,"Por favor, forneça uma definição para a palavra \""heterogêneo\""."
10986ins,"Você recebeu uma frase, \""O menino andou pela rua\"", detecte se ela está no passado."
10990ins,"Classifique a seguinte frase como verdadeira ou falsa: \""Todos os mamíferos dão à luz filhotes vivos\""."
10999ins,Qual é a palavra que rima com árvore?
11012ins,"Parafraseando a frase \""Ela teve que ir\"""
11014ins,Dê um exemplo de uma metáfora usada no poema “The Road Not Taken”
11015ins,"Qual é o oposto de \""abundante\""?"
11016ins,Explique o que significa o termo “emaranhamento quântico”
11027ins,"Avalie a seguinte afirmação: \""A Torre Eiffel é um dos monumentos mais conhecidos do mundo.\"""
11041ins,"Pegue esta frase: \""Ainda estou confuso sobre como fazer esta tarefa\"" e torne-a mais concisa."
11155ins,"Você recebeu uma frase, edite-a para torná-la mais concisa."
11334ins,"Explique o significado da expressão idiomática \""estabelecer a lei\""."
11348ins,"Pesquise a receita de \""torta de maçã empanada\"" e crie os passos necessários para fazer o prato."
11354ins,"Escreva uma definição (10 palavras ou menos) para a palavra \""epifania\""."
11381ins,"Gere uma resposta apropriada para a seguinte avaliação do cliente: \""Tive uma ótima experiência neste restaurante.\"""
11398ins,"Explique o significado do termo \""viés de confirmação\"""
11403ins,"Finja ser um mecânico de automóveis e explique em uma frase o que significa \""trocar o óleo\""."
11404ins,"Usando o substantivo \""barco\"", escreva uma comparação"
11558ins,Transforme a frase dada em uma pergunta. Produza a pergunta.
11564ins,"Converta a frase \""Had I knew\"" para o pretérito perfeito do indicativo."
11708ins,"Edite a frase \""Animais não devem ser maltratados\"""
11710ins,"Crie uma capa para o livro \""Me Chame Pelo Seu Nome\"""
11735ins,"Resuma o artigo de notícias recente \""As últimas novidades sobre IA\"" em menos de 50 palavras."
11770ins,"Edite a seguinte frase: \""Estamos aqui há algum tempo.\"""
11779ins,"Escreva uma breve explicação do termo \""habitat\""."
11809ins,"Crie uma história que comece com \""Ele entrou no jardim.\"""
11811ins,"Classifique a seguinte afirmação como verdadeira ou falsa: \""a duração do dia depende da época do ano\""."
11814ins,"Edite a frase a seguir para mudar o tempo para o passado perfeito: \""O gato está comendo a comida a manhã toda\""."
11816ins,"Adicione formas singulares e plurais de bullfrog à seguinte frase: \""The bullfrogs and the ___ hopped quickly away.\"""
11818ins,"Crie um exemplo usando a palavra \""prolífico\"" em uma frase."
11819ins,"Resuma o artigo \""O Impacto das Mudanças Climáticas na Agricultura\""."
11847ins,"Resumir um artigo intitulado \""Vantagens de ter um animal de estimação\"""
11850ins,"Reescreva a frase para que fique negativa: \""O oceano está calmo hoje\"""
11852ins,"Edite a frase a seguir para torná-la mais concisa: \""Aumentar a compreensão da leitura é um dos principais objetivos da educação em leitura\"""
11855ins,"Adicione a seguinte frase para completar a história: \""Ele tentou dar sentido a tudo isso.\"""
11865ins,Resuma o livro 'Romeu e Julieta'
11869ins,Crie um logotipo para um novo café chamado “The Perk”
11942ins,"Descreva o conceito por trás do \""efeito borboleta\""."
12107ins,"Escreva duas frases que descrevam a pintura “O Nascimento de Vênus”, de Sandro Botticelli."
12122ins,"Edite esta frase: \""Eu dirijo muito rápido, muito rápido.\"""
12124ins,"Determine o sentimento desta frase: \""O filme era chato, mas interessante.\"""
12125ins,"Reescreva esta frase: \""Fique solteiro e divirta-se\"""
12126ins,"Classifique esta frase: \""Computadores são máquinas que podem processar dados.\"""
12130ins,"Edite esta frase: \""Ele sentou na árvore do parque.\"""
12144ins,"Edite a seguinte frase: \""O sol nasceu pela manhã.\"""
12148ins,Resuma o filme “The Old Guard” em 3 frases.
12152ins,Edite a seguinte frase:\n\nEla foi à loja comprar algumas maçãs.
12157ins,Identifique o sujeito e o verbo na seguinte frase:\n\nEla enviou o pacote.
12158ins,Edite a frase a seguir para torná-la mais precisa: \n\nSteve caminhando até a loja.
12161ins,"Traduzir a frase \""Nem tudo que reluz é ouro\"" para o espanhol."
12173ins,"Reconstrua a frase a seguir substituindo a palavra \""an\"" pelo pronome apropriado."
12191ins,Resuma o livro A Revolução dos Bichos em 100 palavras.
12195ins,Responda à seguinte pergunta: Como a energia renovável pode ser usada para combater as mudanças climáticas?
12367ins,"Edite a seguinte frase: \""Ele estava sorrindo mais largo\""."
12394ins,"Escreva uma resenha do livro \""O Sol é para Todos\"" "
12471ins,"Identifique o sujeito principal da seguinte frase: \""O velho foi pescar\""."
12476ins,"Identifique o tipo de substantivo na frase: \""Eu comi uma maçã\""."
12478ins,"Identifique o tipo de frase na frase: \""Debaixo da árvore.'"
12480ins,"Classifique as seguintes palavras em ordem alfabética: \""universidade, basquete, zelador\"""
12490ins,Identifique as classes gramaticais na frase “Ela falou devagar”.
12530ins,"Reescreva a seguinte frase para ter um significado diferente: \""Eu comi a maçã\""."
12531ins,"Edite a frase \""Ela está indo para a escola\""."
12583ins,"Qual é a origem da frase \""acompanhar os vizinhos\""?"
12648ins,"Traduzir \""Posso te perguntar uma coisa?\"" em espanhol"
12661ins,"Analise a moral da história \""O menino que gritava lobo\""."
12679ins,"Descreva um personagem do livro \""Drácula\""."
12767ins,"Edite a seguinte frase: \""Ela tem sido uma excelente aluna com as melhores notas.\"""
12878ins,"Explique o significado da expressão \""pintando a cidade de vermelho\""."
12888ins,Reescreva esta frase em uma voz mais ativa.
12897ins,"Complete o provérbio \""Uma maçã por dia...\"""
12900ins,"Reorganize esta frase: \""Felizes são aqueles que sonham\"""
12909ins,"Preveja o sentimento desta frase: \""Este filme foi uma grande decepção.\"""
12936ins,"Qual é o significado deste provérbio: \""Uma pedra que rola não cria musgo\"""
12940ins,"Crie um título para o evento: \""Apresentando o Programa de Bolsas ARR 2020\""."
13032ins,"Crie uma moral que possa ser retirada da história \""O Flautista de Hamelin\""."
13041ins,"Descreva a pintura \""Noite Estrelada\"""
13043ins,"Identifique a conjugação correta do verbo \""to go\"""
13046ins,"Substitua a palavra \""matemática\"" na frase pela grafia correta."
13048ins,"Diferencie as duas palavras \""afetar\"" e \""efeito\""."
13069ins,"Forneça um exemplo de uma saída apropriada para a frase \""Por favor, recomende alguns livros para ler\""."
13073ins,Como você definiria o termo “programação modular”?
13236ins,Categorize o seguinte como substantivo ou verbo: Caminhar
13267ins,"Fale-me sobre o autor do livro \""O Apanhador no Campo de Centeio\""."
13268ins,"Encontre o sinônimo para a palavra \""déspota\"". Exiba o sinônimo."
13288ins,"Escreva uma definição para o recurso literário \""aliteração\""."
13335ins,"Reescreva esta frase: \""Boa sorte e que Deus te abençoe.\"""
13343ins,"Gere cinco palavras que rimam para a palavra \""sono\""."
13405ins,"Categorize as seguintes palavras de acordo com suas classes gramaticais:\n\nextenuante, alocar, eclipse"
13409ins,"Parafraseie a seguinte afirmação: \""Os supermercados são essenciais para fornecer alimentos saudáveis às pessoas\""."
13426ins,"Reescreva a seguinte frase para torná-la ativa: \""A bola foi chutada pelo jogador.\"""
13427ins,"Analise o seguinte poema, \""The Road Not Taken\"" de Robert Frost:\n\nDuas estradas divergiam em uma floresta amarela,\nE lamento não poder viajar por ambas\nE ser um viajante, por muito tempo fiquei"
13435ins,"Descreva o tema do poema \""The Road Not Taken\""."
13443ins,"Componha uma história original usando as palavras \""cidade\"" e \""rio\""."
13450ins,"Formule uma declaração \""se-então\"" usando a seguinte frase."
13978ins,"Gerar uma definição para um novo termo: \""Digitopia\"""
14070ins,"Traduza \""Je t\'aime\"" para o inglês."
14073ins,"Explique as diferenças entre os termos \""ciência\"" e \""tecnologia\""."
14090ins,"Como você explicaria a definição de \""dados de séries temporais\"" para pessoas não técnicas?"
14156ins,"Forneça uma frase para ilustrar a seguinte expressão idiomática: \""Quando as coisas ficam difíceis, os fortes seguem em frente\""."
14167ins,"Reescreva esta frase para corrigir o uso da palavra \""it's\"""
14205ins,"Crie uma história que comece com a frase \""O sol estava se pondo, deixando para trás um lindo tom alaranjado\""."
14210ins,"Mude a seguinte frase para o passado: \""Ela está correndo uma maratona\""."
14240ins,"Crie um provérbio baseado na palavra \""inveja\""."
14473ins,"Reescreva a seguinte frase para torná-la mais concisa: \n\n\""Para aumentar o lucro da empresa, espera-se que as vendas aumentem.\"""
14640ins,Traduzir as seguintes frases do espanhol
