ID,ORIGINAL,TOTAL_TOKENS
5250inp,O impacto das mídias sociais na saúde mental,21
5340inp,Computação em nuvem,13
5359inp,Qual é o pico mais alto do mundo?,17
5361inp,A noite estrelada,10
5375inp,Tecnologia: Aprendizado de Máquina,20
5469inp,Pode me ajudar?,11
5509inp,"Atender telefone, reservar voo, escrever relatório",21
5635inp,Samsung Galaxy S20,8
5829inp,Inteligência artificial,10
6422inp,Esta é uma frase aleatória.,16
7060inp,“A União Europeia está a trabalhar numa nova lei que obrigará as empresas a permitir que os trabalhadores se desliguem dos e-mails fora do horário de trabalho”.,63
7148inp,O caderno,7
7191inp,"""Olá Mundo""",10
7314inp,"Eu queria dar um tempo de todas as más notícias do mundo, então decidi me afastar um pouco. Fui à praia e aproveitei o sol, a areia e as ondas. Conheci algumas pessoas novas e tive ótimas conversas. Foi um ótimo momento para fugir das preocupações do mundo.",112
7376inp,Java e Python,7
7538inp,O Regresso,7
7598inp,"1965 - a missão Apollo 11
1973 - a primeira chamada de celular
1989 - a queda do Muro de Berlim",35
7634inp,O Apanhador no Campo de Centeio,16
7655inp,Tópico: Mudanças Climáticas,17
7693inp,Maçã e Laranja,11
8810inp,Ela foi até a loja.,14
9092inp,"Num inquérito recente, 90% dos participantes indicaram que o autocuidado é importante para a sua saúde e bem-estar geral.",43
9093inp,"Num inquérito recente, 90% dos participantes indicaram que o autocuidado é importante para a sua saúde e bem-estar geral.",43
9095inp,"Num inquérito recente, 90% dos participantes indicaram que o autocuidado é importante para a sua saúde e bem-estar geral.",43
9096inp,"Num inquérito recente, 90% dos participantes indicaram que o autocuidado é importante para a sua saúde e bem-estar geral.",43
9097inp,"Num inquérito recente, 90% dos participantes indicaram que o autocuidado é importante para a sua saúde e bem-estar geral.",43
9098inp,"Num inquérito recente, 90% dos participantes indicaram que o autocuidado é importante para a sua saúde e bem-estar geral.",43
9099inp,"Num inquérito recente, 90% dos participantes indicaram que o autocuidado é importante para a sua saúde e bem-estar geral.",43
9101inp,"Num inquérito recente, 90% dos participantes indicaram que o autocuidado é importante para a sua saúde e bem-estar geral.",43
9102inp,"Num inquérito recente, 90% dos participantes indicaram que o autocuidado é importante para a sua saúde e bem-estar geral.",43
10246inp,Produto: Apple iPhone 12,11
10460inp,Quais são as três cores primárias?,18
10476inp,Pode me ajudar?,11
10514inp,das Alterações Climáticas,16
10552inp,Posso tomar uma xícara de chá?,18
10583inp,Qual é a capital da França?,12
10833inp,John Doe,6
10890inp,Apple Inc.,7
11056inp,Espécies invasivas,11
11067inp,O cachorro latiu.,12
11126inp,sapatos da Nike,9
11148inp,Inteligência artificial,10
11402inp,AirPods da Apple,9
11499inp,Nelson Mandela,7
11550inp,Agrupamento K-Means,12
11807inp,O Rei Leão,8
11887inp,"O estudo investigou as propriedades de fadiga por compressão e tração de borracha de pneu de caminhão submetida a temperaturas de cura variando entre 25 e 120 °C. Foram consideradas as temperaturas de cura da borracha à base de β-dicetona composta com negro de fumo, sílica e óxido de zinco.",103
11907inp,Tópico: Natureza,11
11931inp,O apanhador no campo de centeio,16
11932inp,Apple e Samsung,7
12676inp,Carro elétrico,10
12701inp,Tópico: Mudanças Climáticas,17
12801inp,O artigo “O lado negro do consumo excessivo de mídias sociais” discute as consequências negativas do uso excessivo das mídias sociais.,54
12806inp,O caderno,7
12999inp,"Texto 1: As pétalas de rosa gigantes flutuavam na brisa. 
Texto 2: As pétalas do girassol balançavam ao vento.",52
13018inp,João Smith,7
13534inp,Das Alterações Climáticas,16
13580inp,"A Culpa é das Estrelas, de John Green",17
13612inp,João Smith,7
13625inp,O céu é azul,11
13653inp,Estados Unidos,9
13692inp,Alice no País das Maravilhas,14
13895inp,"""Não pare de tirar dinheiro do caixa eletrônico
Olhando para o 'Gram, ficando bravo porque um negro tem mais bandas
Não pare, empilhe, sim, eu estou dentro
Meu dinheiro é longo, você não consegue encontrar o fim""",92
13952inp,[Sem entrada],9
13970inp,Evento histórico: a crise dos mísseis cubanos,21
13990inp,das Alterações Climáticas,16
13992inp,Inteligência artificial,10
14011inp,(sem entrada),9
14013inp,(sem entrada),9
14015inp,(sem entrada),9
14036inp,"Stephen Hawking foi um cientista britânico nascido em Oxford em 1942. Ele era um especialista em cosmologia e física teórica, e seu livro mais popular foi Uma Breve História do Tempo. Hawking também era conhecido por suas pesquisas pioneiras sobre buracos negros e mecânica quântica.",104
14064inp,Harry Potter e a Pedra Filosofal,14
14085inp,Mídia social,10
14097inp,O Rei Leão,9
14120inp,Inteligência artificial,10
14121inp,Processamento de linguagem natural,12
14130inp,Computação quântica,13
14136inp,"O apanhador no campo de centeio, de J. D. Salinger",24
14162inp,Produto: Smartphone,10
14244inp,Floresta aleatória,11
14261inp,Olá Mundo,8
14287inp,Agricultura orgânica,12
14336inp,A terra é redonda.,11
14360inp,Este é o melhor dia de todos!,16
14522inp,Devemos reservar um tempo para apreciar o que nos rodeia.,21
14561inp,Linguagem de programação: Python,15
14729inp,Produto A e Produto B,13
14730inp,Inteligência artificial,10
14731inp,Inteligência artificial,10
14735inp,Exploração espacial,10
14830inp,Das Alterações Climáticas,16
14874inp,Espécies invasivas,11
14880inp,Apple e Samsung,7
14882inp,Inteligência artificial,10
15069inp,Tópico: Mudanças Climáticas,17
15149inp,y = mx + b,10
15473inp,A queda do Muro de Berlim em 1989,15
15597inp,Processamento de linguagem natural,12
15600inp,print('Olá mundo'),11
15790inp,Olá Mundo,8
15891inp,Los Angeles,7
15963inp,Eu amo sorvete.,13
15988inp,iPhone 11 e Google Pixel 4,10
16061inp,sem entrada,8
16062inp,sem entrada,8
16063inp,sem entrada,8
16066inp,sem entrada,7
16067inp,sem entrada,7
16069inp,sem entrada,8
16722inp,Cientista de Dados,10
16735inp,Realidade aumentada,10
16809inp,Floresta Aleatória,11
16880inp,Cidade de Nova York,10
16965inp,"Los Angeles, Califórnia",11
16996inp,A Redenção de Shawshank,13
17014inp,"Laranja, Maçã, Banana",13
17130inp,x + y > 5,9
17181inp,"1. Maçã: $ 399
2.Samsung: $ 499
3.LG: $ 599",27
17615inp,Vincent Van Gogh,9
17691inp,Estados Unidos,9
17844inp,Smart TV,6
18635inp,AirPods da Apple,9
18641inp,Toronto e Vancouver,7
18673inp,João Smith,7
18715inp,"Japão, Índia",12
18732inp,"imprimir(""Olá mundo"")",13
18752inp,Corporação ABC,9
18778inp,A ascensão da inteligência artificial,15
18779inp,Sustentabilidade ambiental,12
18970inp,Inteligência artificial,10
18985inp,"Bolsa, sapatos, camisa",14
19044inp,"Laranja, Maçã, Banana",13
19127inp,Tema: Amizade,10
19217inp,Ele abriu a porta.,12
19264inp,Eu amo sorvete.,12
19343inp,"Paris, França",8
19374inp,João Smith,7
19436inp,Energia solar,8
19437inp,Energia solar,8
19503inp,Visualização de dados,11
19538inp,O gato perseguiu o rato.,15
19540inp,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",25
19590inp,"Paris, França",8
19639inp,"""Olá Mundo""",10
19748inp,Estou muito feliz.,12
20911inp,"Prezado professor Smith,",10
20921inp,O Rei Leão,8
20923inp,A noite estrelada,10
20970inp,Aquecimento global,10
20973inp,Inteligência artificial,10
20987inp,3 e 5,7
21175inp,Gatos e cachorros,11
21182inp,Ela foi até a loja.,14
21262inp,Ele foi até a loja.,13
22155inp,Los Angeles Lakers,7
22253inp,Olá Mundo!,9
22399inp,<sem entrada>,9
22583inp,iPhone 12,6
24386inp,Tópico: Mudanças Climáticas,17
24402inp,Gerente de marketing,9
24435inp,John Doe,6
24444inp,A Internet,6
24470inp,Aprendizado de máquina,14
24472inp,Processamento de linguagem natural,12
24590inp,Maria Curie,7
25143inp,Aprendizado de máquina,14
25404inp,Comédia romântica,12
25424inp,Apple AirPods Pro,9
25480inp,Elevação do nível do mar,15
25537inp,O cachorro perseguiu o gato.,17
25584inp,Ele correu rapidamente.,12
25620inp,Das Alterações Climáticas,16
26162inp,Visualização de dados,11
26233inp,Categoria: Ficção Científica,17
26234inp,Número: 8,10
26259inp,O homem correu rapidamente.,14
26637inp,Engenheiro de software,10
27368inp,O gato sentou-se no tapete.,15
27510inp,Donald Trump,6
27513inp,IA na saúde,9
27737inp,O cachorro perseguiu o gato.,17
27853inp,São Francisco,7
27916inp,1 quilômetro,10
28091inp,Donald Trump,6
28118inp,Apple e Samsung,7
28171inp,Estados Unidos,9
28583inp,"'Jayden, Malcolm e Jimmy foram para a escola'",18
28624inp,"Alex estava estudando há semanas para sua grande prova de matemática. Ele estava nervoso, mas se sentia confiante de que conseguiria. Quando o teste começou, ele ficou cada vez mais ansioso. Ele começou a duvidar de si mesmo e ficou cada vez mais confuso à medida que avançava. Ele tinha certeza de que iria falhar, mas continuou tentando.",125
28625inp,"Alex estava estudando há semanas para sua grande prova de matemática. Ele estava nervoso, mas se sentia confiante de que conseguiria. Quando o teste começou, ele ficou cada vez mais ansioso. Ele começou a duvidar de si mesmo e ficou cada vez mais confuso à medida que avançava. Ele tinha certeza de que iria falhar, mas continuou tentando.",125
28795inp,O padrinho,8
28842inp,"Malcolm X foi um ministro muçulmano afro-americano, ativista dos direitos humanos e um proeminente líder nacionalista negro nas décadas de 1950 e 60.",57
28912inp,"TV a cabo: $ 49,95, Modem a cabo: $ 25,49, Cabo HDMI: $ 17,99",33
29142inp,Harry Potter e a Pedra Filosofal de J.K. Rowling,20
29647inp,Sequóia,7
29720inp,Quais são os benefícios de aprender uma língua estrangeira?,26
29772inp,Aprendizado de máquina,14
29942inp,4 centímetros,9
30097inp,Ciência de Dados,12
30122inp,João Smith,7
30146inp,França e Alemanha,10
30216inp,O impacto da tecnologia na educação,17
30292inp,Tópico: Mudanças Climáticas,17
30300inp,Categoria: Ficção Científica,17
30339inp,Barack Obama,7
30642inp,"print(""Olá mundo!"")",12
30817inp,Produto A e Produto B,13
30958inp,Nova Iorque,9
30959inp,Sustentabilidade ambiental,12
31162inp,Nova Iorque,9
31299inp,Inteligência artificial,10
31301inp,Computação em nuvem,13
31524inp,Tesla Modelo 3,8
31627inp,Qual é o pico mais alto do mundo?,17
31705inp,f(x) = x^2,12
31743inp,Cientista de Dados,10
31773inp,"A Culpa é das Estrelas, de John Green",17
32219inp,A crise dos mísseis cubanos,14
32260inp,O apanhador no campo de centeio,16
32562inp,A Guerra dos Tronos,11
32575inp,4 centímetros,9
32725inp,"Matriz: [""verde"", ""céu azul"", ""montanha azul"", ""buraco negro"", ""maçã vermelha"", ""mar azul""]",42
32728inp,"""O aprendizado de máquina é uma área da inteligência artificial que se concentra no desenvolvimento de algoritmos e sistemas que podem aprender e fazer previsões a partir de dados. Tem o potencial de revolucionar uma ampla variedade de indústrias, desde diagnóstico médico até carros autônomos. Tecnologias como como o aprendizado profundo e as redes neurais aumentaram drasticamente as capacidades do aprendizado de máquina, e o campo está se expandindo rapidamente.",166
32734inp,Das Alterações Climáticas,16
32784inp,<sem entrada>.,9
32940inp,Um laptop,6
32960inp,Gatos e cachorros,11
32961inp,O cão está latindo.,13
32997inp,Olá Mundo!,9
33062inp,Estou tão animado!,11
33199inp,Aprendizado de máquina,14
33368inp,O novo smartwatch da Apple vem com seis meses de acesso gratuito ao serviço de streaming Apple Watch Music.,37
33369inp,O novo smartwatch da Apple vem com seis meses de acesso gratuito ao serviço de streaming Apple Watch Music.,37
33370inp,O novo smartwatch da Apple vem com seis meses de acesso gratuito ao serviço de streaming Apple Watch Music.,37
33371inp,O novo smartwatch da Apple vem com seis meses de acesso gratuito ao serviço de streaming Apple Watch Music.,37
33372inp,O novo smartwatch da Apple vem com seis meses de acesso gratuito ao serviço de streaming Apple Watch Music.,37
33639inp,Barack Obama,7
33643inp,[Link para o artigo],11
34708inp,Carvalho,7
34712inp,El Nino,7
34846inp,Grande Canyon,7
34980inp,Mídia social,9
35058inp,Toyota Camry,8
35154inp,Inteligência artificial,10
35160inp,O impacto das mídias sociais na saúde mental,21
36855inp,Exploração espacial,10
36932inp,Um smartphone,6
37277inp,Computação em nuvem,13
37390inp,das Alterações Climáticas,16
37522inp,Computação em nuvem,13
37570inp,Os benefícios de comer alimentos orgânicos,19
38432inp,João foi até a loja.,14
38744inp,Realidade aumentada,10
38872inp,Cidade de Nova York,10
38909inp,Inteligência Artificial e Aprendizado de Máquina,21
38921inp,3 e 7,7
38928inp,Pessoa A: “Precisamos mostrar solidariedade aos nossos irmãos e irmãs negros”.,41
38966inp,"Nome: Emma Smith
Gênero: Filme de ação
Filme Favorito: O Cavaleiro das Trevas",35
38972inp,Visualização de dados,11
38973inp,Os benefícios de comer alimentos orgânicos,19
38984inp,"O apanhador no campo de centeio, de J. D. Salinger",25
39004inp,Agrupamento K-Means,12
39086inp,"WASHINGTON (CNN) – Uma corrida presidencial aberta e a vontade dos candidatos, grupos de interesse, sindicatos e empresas de comprarem tempo de televisão conduzirão a gastos históricos em publicidade política e de defesa de questões no ciclo eleitoral de 2008, mostra uma análise.",102
39095inp,A capital da França é Paris.,13
39199inp,IA na saúde,9
39272inp,< sem entrada >,9
39273inp,<sem entrada>,9
39274inp,<sem entrada>,9
39276inp,<sem entrada>,9
39339inp,Realidade aumentada,10
39358inp,iPhone 11,6
39382inp,Gerente de marketing,9
39534inp,Energia solar,8
39636inp,Tecnologia de reconhecimento de voz,18
39638inp,"Berlim, Alemanha",10
39667inp,Programas: Adobe Photoshop,9
39935inp,A ascensão da inteligência artificial,15
40027inp,"Maçã, laranja, banana",13
40355inp,O Regresso,7
40489inp,A Ronda Noturna de Rembrandt,14
40507inp,Produto A e Produto B,13
40557inp,<sem entrada>,9
40575inp,O padrinho,8
40649inp,das Alterações Climáticas,16
40656inp,iPhone 12,6
40756inp,Tópico: Exploração Espacial,15
40781inp,Inteligência artificial,10
40869inp,Arábia Saudita,9
40920inp,iPhone 11,6
40947inp,Grande Canyon,7
41123inp,"123 Main Street, Anytown, EUA",13
41185inp,Apple Inc.,7
41998inp,João Smith,7
42290inp,"O conteúdo da página da web inclui textos, imagens e vídeos.",29
42292inp,"O conteúdo da página da web inclui textos, imagens e vídeos.",29
42372inp,Eu vou para a loja.,12
42380inp,'Les Demoiselles d'Avignon' de Picasso,19
42582inp,Eu vou para a loja.,12
43297inp,Esta é uma frase aleatória.,16
43377inp,Este é um exemplo de frase.,14
43773inp,Desenvolvedor de software,10
43799inp,Tom Cruise,6
44007inp,Maria Curie,7
44053inp,Albert Einstein,6
44193inp,Maria Curie,7
44315inp,Retriever Dourado,10
44344inp,Alice e Bob,7
44350inp,Das Alterações Climáticas.,17
44573inp,Esta é uma frase de exemplo.,15
44588inp,Harry Potter e a Pedra Filosofal,14
44622inp,Maçã e Laranja,11
44662inp,Produto: Apple iPhone 12,11
44752inp,Eu sou um estudante.,12
44952inp,Carvalho,7
45745inp,<sem entrada>,9
46064inp,"Resumo: O ajuste fino de prompts contínuos para tarefas alvo emergiu recentemente como uma alternativa compacta ao ajuste fino completo do modelo. Motivados por esses resultados promissores, investigamos a viabilidade de extrair uma interpretação discreta (textual) de prompts contínuos que seja fiel ao problema que eles resolvem. Na prática, observamos um comportamento ""inconstante"" entre a tarefa resolvida por prompts contínuos e suas projeções discretas vizinhas mais próximas: podemos encontrar prompts contínuos que resolvem uma tarefa enquanto são projetados para um texto arbitrário (por exemplo, definição de um texto diferente ou mesmo um tarefa contraditória), estando dentro de uma margem muito pequena (2%) do melhor prompt contínuo do mesmo tamanho para a tarefa. Fornecemos intuições por trás desse comportamento estranho e surpreendente, bem como extensas análises empíricas que quantificam o efeito de vários parâmetros. Por exemplo, para modelos maiores, observamos maior desobediência, ou seja, podemos encontrar prompts que mapeiam mais de perto qualquer texto arbitrário com uma queda menor na precisão. Estas descobertas têm implicações importantes relacionadas com a dificuldade de interpretar fielmente prompts contínuos e sua generalização entre modelos e tarefas, fornecendo orientação para progressos futuros em modelos de linguagem de prompts.",475
46065inp,"Resumo: O ajuste fino de prompts contínuos para tarefas alvo emergiu recentemente como uma alternativa compacta ao ajuste fino completo do modelo. Motivados por esses resultados promissores, investigamos a viabilidade de extrair uma interpretação discreta (textual) de prompts contínuos que seja fiel ao problema que eles resolvem. Na prática, observamos um comportamento ""inconstante"" entre a tarefa resolvida por prompts contínuos e suas projeções discretas vizinhas mais próximas: podemos encontrar prompts contínuos que resolvem uma tarefa enquanto são projetados para um texto arbitrário (por exemplo, definição de um texto diferente ou mesmo um tarefa contraditória), estando dentro de uma margem muito pequena (2%) do melhor prompt contínuo do mesmo tamanho para a tarefa. Fornecemos intuições por trás desse comportamento estranho e surpreendente, bem como extensas análises empíricas que quantificam o efeito de vários parâmetros. Por exemplo, para modelos maiores, observamos maior desobediência, ou seja, podemos encontrar prompts que mapeiam mais de perto qualquer texto arbitrário com uma queda menor na precisão. Estas descobertas têm implicações importantes relacionadas com a dificuldade de interpretar fielmente prompts contínuos e sua generalização entre modelos e tarefas, fornecendo orientação para progressos futuros em modelos de linguagem de prompts.",475
46391inp,Computação quântica,13
46561inp,Inteligência artificial,10
46610inp,Aquecimento global,10
46626inp,O Grande Gatsby,9
46768inp,Esta é uma frase aleatória.,16
46821inp,Gato e cachorro,11
46840inp,"""A Noite Estrelada"" (Vincent van Gogh) e ""A Noite Antes do Circo"" (Vik Muniz)",36
46843inp,Alice e Bob,7
46874inp,Carros elétricos,10
46934inp,O Grande Gatsby,9
47130inp,Nova Iorque,9
47210inp,Gerente de marketing,9
47382inp,[Link para o artigo],11
47500inp,sapatos da Nike,9
47501inp,Realidade aumentada,10
47727inp,Tesla Modelo 3,8
48362inp,Ele abriu a porta.,12
48467inp,João Smith,7
48468inp,Cidade de Nova York,10
48528inp,Torta de maçã,11
48624inp,"Este artigo fornece informações detalhadas sobre buracos negros, um fenômeno na astronomia em que a gravidade é tão forte que nem mesmo a luz, a partícula mais rápida do universo, consegue escapar de seu alcance.",87
48633inp,Inteligência artificial,10
48690inp,Inteligência artificial,10
48691inp,Corporação ABC,9
48778inp,"Objeto 1: Maçã
Objeto 2: Laranja",19
48823inp,5 e 8,7
49485inp,Das Alterações Climáticas,16
49524inp,Vingadores Ultimato,11
49740inp,Qual é a capital da França?,12
49836inp,"123 Main Street, Anytown, EUA",13
50162inp,Esta é uma frase de exemplo.,15
50163inp,Donald Trump sofreu impeachment em 18 de dezembro de 2019.,20
50164inp,Donald Trump sofreu impeachment em 18 de dezembro de 2019.,20
50223inp,"Maçã, Laranja, Banana",13
50344inp,Los Angeles,6
50421inp,"Mercúrio, Vênus, Terra, Marte, Júpiter, Saturno, Urano, Netuno",31
50425inp,Este é um exemplo de frase.,14
50436inp,Bom dia,8
50554inp,Apple AirPods Pro,9
50589inp,Cidade de Nova York,10
50628inp,Torta de maçã,11
50687inp,Produto: Smartphone,10
50747inp,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",25
50774inp,"Maçã, Banana, Uvas",12
50808inp,"imprimir(""Olá mundo"")",13
51412inp,Bolo de chocolate,8
51706inp,das Alterações Climáticas,16
51797inp,Vingadores Ultimato,11
51854inp,Cidade de Nova York,10
51923inp,A Noite Estrelada de Vincent van Gogh,15
51999inp,Michelle Obama,6
1out,"As três cores primárias são vermelho, azul e amarelo.",24
11out,A capital da França é Paris.,10
97out,A área do retângulo é 50 cm2.,16
98out,A capital de Espanha é madrid.,12
207out,"A contração de ""they are"" é ""they're"".",16
304out,Estou cansado.,7
306out,<Sem saída>,8
526out,Sentimento positivo.,8
550out,"- Maçãs
- Bananas
- Laranjas
- Uvas
- Morangos",25
562out,Los Angeles Lakers,5
751out,y = mx + b,8
776out,"Olá, como vai?",10
985out,Sentença declarativa.,9
1168out,O triângulo é um triângulo obtusângulo.,21
1218out,"Aumentei a taxa de mortes por armas de fogo de 10,3 por 100.000 para 12 por 100.000 de 1999 a 2017.",37
1457out,A capital do Canadá é Ottawa.,11
1553out,Esta frase é uma pergunta.,14
1568out,Sentença interrogativa.,10
1595out,"Grécia: Atenas, França: Paris, Índia: Nova Deli",24
1596out,Buenos dias.,8
1779out,O cachorro latiu.,11
1811out,Sentença declarativa.,10
1850out,"Alemanha, França e Reino Unido.",15
1931out,Nenhuma saída necessária,12
1934out,Nenhuma saída necessária,12
2374out,"Um buraco negro é um objeto no espaço cuja atração gravitacional é tão forte que nada, nem mesmo a luz, consegue escapar de seu interior. É formado a partir do núcleo colapsado de uma estrela massiva e é considerado o objeto mais denso do universo. Um buraco negro normalmente tem uma massa muitas vezes maior que a do nosso Sol, e sua massa pode ser determinada pela quantidade de radiação que ele libera.",142
2574out,"Olá, como vai?",11
2604out,A Mona Lisa de Leonardo da Vinci.,13
2753out,Ele foi até a loja.,12
2781out,"""""""
Encontre o palíndromo mais longo em uma determinada string
""""""

def find_longest_palindrome(s):
	# Inicializa o resultado 
	comprimento_máx = 1	 
	
	# Inicializa o índice inicial e final
	início, fim = 0, 0
	
	# Itera sobre a string de entrada
	para i no intervalo(1, len(s)):
				
		# Encontre o palíndromo de comprimento par mais longo
		baixo, alto = i-1, eu 
		enquanto baixo >= 0 e alto < len(s) e s[low] == s[high]:
			se alto - baixo + 1 > max_length:
				início = baixo 
				fim = alto 
				max_length = alto - baixo + 1 
			baixo -= 1
			alto += 1
		# Encontre o palíndromo de comprimento ímpar mais longo
		baixo, alto = i-1, i+1 
		enquanto baixo >= 0 e alto < len(s) e s[low] == s[high]: 
			se alto - baixo + 1 > max_length:
				início = baixo 
				fim = alto 
				max_length = alto - baixo + 1 
			baixo -= 1
			alto += 1
	
	#resultado retornado
	retornar s[início:fim+1]
	
se __nome__ == '__principal__':
	s = ""babad""
	print(""O palíndromo mais longo é: "", end="""")
	imprimir (encontrar_palíndromo mais longo(s))",519
2786out,A capital do Canadá é Ottawa.,11
3304out,"A teoria da relatividade de Albert Einstein é significativa porque revolucionou a nossa compreensão do universo. Substituiu a noção secular de espaço e tempo absolutos pelo conceito de espaço-tempo, permitindo-nos compreender fenómenos como ondas gravitacionais, buracos negros e a expansão do universo. Também abriu a porta para avanços na física que antes não eram possíveis, como foguetes mais poderosos e experimentos mais precisos em física de partículas.",166
3346out,A capital da Índia é Nova Delhi.,14
3402out,Sentimento negativo.,10
3439out,Sentença declarativa.,10
3501out,Sentimento positivo.,9
3536out,A área do triângulo é 6 cm^2.,18
3545out,Ela escreveu um livro.,12
3818out,"A automação residencial é uma tecnologia em rápido crescimento que oferece comodidade e maior segurança nas residências. Muitas vezes inclui automação de temperatura e iluminação, vigilância, sistemas e aparelhos de segurança. Muitos dos benefícios incluem poupança de energia, maior segurança e conveniência, mas há um lado negro que deve ser considerado. Os riscos incluem vulnerabilidade a violações de dados e hacks, aumento de custos e aumento da sensação de falta de privacidade.",186
3867out,Um ponto no tempo salva nove.,13
4134out,"Princípio - Uma verdade, teoria ou regra básica

Axioma – Uma verdade evidente

Teorema - Uma afirmação ou proposição que é provada ou demonstrada",63
4153out,A inclinação da linha é 2.,14
4180out,"As cores do arco-íris são vermelho, laranja, amarelo, verde, azul, índigo e violeta.",39
4342out,"""Um centavo economizado é um centavo ganho.""",20
4472out,Positivo negativo,9
4699out,Sentença interrogativa.,10
4912out,Sentença declarativa,9
4913out,Frase completa.,8
4942out,Albert Einstein,5
5035out,print('Olá mundo'),10
5041out,dlroW olleH,9
5419out,O sentimento da frase é positivo.,13
5509out,"Atender telefone, reservar voo, escrever relatório",20
5538out,Ele estava andando até a loja.,14
5714out,Frase completa.,8
5814out,"As cores do arco-íris são vermelho, laranja, amarelo, verde, azul, índigo e violeta.",39
6183out,Sentença declarativa.,10
6357out,Sentimento positivo.,9
6434out,Sentimento positivo,8
6778out,Ela correu para a loja.,13
7057out,Sentimento positivo.,9
7081out,Forrest Gump,7
7120out,Esta é uma questão.,11
7131out,Sentimento negativo,9
7148out,Comédia romântica,11
7226out,A Mona Lisa de Leonardo da Vinci.,13
7293out,Eu fui à loja.,11
7494out,Voz passiva,7
7598out,"1965 - a missão Apollo 11
1973 - a primeira chamada de celular
1989 - a queda do Muro de Berlim",34
7676out,iPhone 11.,6
7730out,O esquema de rima do poema é AABB.,18
7737out,A raiz quadrada de 64 é 8.,14
7796out,Esta é uma frase declarativa.,14
8187out,Eu li o livro.,10
8545out,"Alemanha, França e Reino Unido.",15
8549out,Esta frase é uma afirmação.,16
8687out,"Maçã, Laranja, Banana",12
9009out,Ele estava caminhando para a loja.,15
9263out,Eu fui à loja.,11
9378out,"Um evento Cisne Negro é um evento raro e imprevisível que tem um impacto duradouro e de grande escala e muitas vezes é difícil de explicar depois que o evento já aconteceu. É um termo cunhado por Nassim Nicholas Taleb para descrever um acontecimento inesperado que tem um impacto profundo no mundo. Exemplos de eventos do Cisne Negro podem incluir crises económicas, convulsões políticas e revoluções sociais.",147
