ID,PT,TOTAL_TOKENS
13692inp,Alice em um lugar fantástico e imaginário,17
13952inp,[Sem entrada],9
13970inp,Acontecimento importante para a história: a crise dos mísseis cubanos,27
13990inp,das Alterações Climáticas,16
13992inp,Simulação de inteligência humana por máquinas,21
139inp,Ela escreveu um livro.,12
14011inp,(sem entrada),9
14013inp,(sem entrada),9
14015inp,(sem entrada),9
14064inp,Harry Potter e a Pedra Filosofal,14
14085inp,Meios de comunicação online que permitem a interação entre pessoas,28
14097inp,um leão que é o rei,13
14120inp,Simulação de inteligência humana em máquinas,21
14121inp,Processamento de linguagem natural,12
14130inp,Computação quântica,13
14136inp,"Um jovem que protege as crianças, de J. D. Salinger",24
14162inp,Produto: Smartphone,10
14244inp,Modelo de aprendizado de máquina,16
14261inp,Saudação ao planeta Terra,14
14287inp,Agricultura orgânica,12
14326out,Prevenir um problema salva nove.,14
14336inp,A terra é redonda.,11
14360inp,Este é um dia muito bom!,15
14522inp,Devemos separar um tempo para apreciar o que nos rodeia.,21
14523out,Devemos reservar um tempo para apreciar o que nos rodeia.,20
14561inp,Linguagem de programação: Python,15
1457out,A capital do Canadá é Ottawa.,11
14671out,Ele falou alto.,9
14729inp,Produto A e Produto B,13
14730inp,Simulação de inteligência humana em máquinas,21
14731inp,Simulação de inteligência humana por máquinas,21
14735inp,Exploração espacial,10
14791out,"atraente, carinhoso, bonito",14
14830inp,Das Alterações Climáticas,16
14874inp,Espécies que invadem,11
14880inp,Apple e Samsung,7
14882inp,Simulação de inteligência humana por meio de sistemas computacionais,27
1503inp,12 e 5,7
15057out,"SELECIONE *FROM Clientes ONDE País=\""EUA\"";",22
15059out,Eu sou um estudante.,11
15069inp,Tópico: Mudanças Climáticas,17
15120out,John foi com ansiedade à loja.,14
15149inp,y = mx + b,10
15184out,"imprimir(\""Olá mundo\"")",14
15332out,Sentimento negativo.,10
1541inp,Programas: Adobe Photoshop,9
15473inp,A destruição do Muro de Berlim em 1989,18
1553out,Esta frase é uma pergunta.,14
15597inp,Processamento de linguagem humana,13
15600inp,print(,6
15600out,Saudação ao planeta Terra,13
1568out,Sentença interrogativa.,10
15790inp,Saudação ao mundo,13
15891inp,Los Angeles,7
1595out,"Grécia: Atenas, França: Paris, Índia: Nova Deli",24
15963inp,Eu amo sorvete.,13
1596out,Buenos dias.,8
15988inp,iPhone 11 e Google Pixel 4,10
15995out,Porque eles criam tudo!,14
16061inp,sem entrada,8
16062inp,sem entrada,8
16063inp,sem entrada,8
16066inp,sem entrada,7
16067inp,sem entrada,7
16069inp,sem entrada,8
16086out,Sentença interrogativa.,11
16087out,O vendedor demonstrou falta de profissionalismo.,20
16141out,Sentença declarativa.,10
16162out,O cachorro latiu.,11
16283out,Esta é uma frase declarativa.,14
16301out,Michelle Obama,5
16528out,Eu li o livro.,10
16722inp,Profissional especializado em analisar dados,18
16735inp,Realidade complementada por elementos virtuais,15
16809inp,Conjunto de árvores geradas de forma aleatória,22
16880inp,Cidade de Nova York,10
16934out,"Japão, Índia",11
16965inp,"Los Angeles, Califórnia",11
16996inp,A Redenção de Shawshank,13
17014inp,"Laranja, Maçã, Banana",13
17015out,Sentimento negativo.,10
17041out,"imprimir(\""Olá mundo\"")",14
17061out,Emoção desagradável,13
17130inp,x + y > 5,9
17130out,x + y > 5,8
17181inp,1. Produto da empresa Apple: $ 399\n2.Samsung: $ 499\n3.LG: $ 599,34
17181out,1. Maçã: $ 399\n2.Samsung: $ 499\n3.LG: $ 599,28
17296out,O filme foi muito ruim.,14
17500out,Sentimento positivo.,9
17615inp,Vincent Van Gogh,9
17619out,Sentimento positivo.,9
17678out,Dois e doze,8
17691inp,Estados Unidos,9
1779out,O cachorro latiu.,11
17844inp,Inteligente TV,8
18010out,"Smith, J. (2020). O futuro da IA. Revista AI, 21(2), 45–50.",28
1811out,Sentença declarativa.,10
18130out,Sentimento: Positivo,10
18172out,Estrutura gramatical onde o sujeito sofre a ação,21
18237out,O triângulo é um triângulo retângulo.,19
18335out,"Opostos, contrastantes",9
18468out,- Maçãs\n- Bananas\n- Laranjas\n- Uvas\n- Morangos,30
1850out,"Alemanha, França e Reino Unido.",15
18635inp,AirPods da Apple,9
18641inp,Toronto e Vancouver,7
18673inp,João Smith,7
18715inp,"Japão, Índia",12
18732inp,"imprimir(\""Olá mundo\"")",15
18742out,Toronto e Vancouver,6
18752inp,Corporação ABC,9
18778inp,O crescimento rápido da inteligência artificial,21
18779inp,Sustentabilidade ambiental,12
18970inp,Simulação de inteligência humana em máquinas,21
18985inp,"Bolsa, sapatos, camisa",14
18985out,"Bolsa, sapatos, camisa",13
19044inp,"Laranja, Maçã, Banana",13
19044out,"Maçã, Banana, Laranja",12
19109out,Estou cansado.,8
19127inp,Tema: Amizade,10
19199out,Harry Potter,5
19217inp,Ele abriu a porta.,12
19264inp,Eu amo sorvete.,12
19303out,Frase imperativa.,9
1931out,Não há necessidade de sair,13
19343inp,"Paris, França",8
1934out,Não é preciso sair,10
19374inp,João Smith,7
19436inp,Energia solar,8
19437inp,Energia solar,8
19456out,Das Alterações Climáticas.,16
19498out,Processamento de linguagem humana,12
19503inp,Visualização de dados,11
19538inp,O gato perseguiu o rato.,15
19538out,O rato foi perseguido pelo gato.,17
19540inp,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",25
19590inp,"Paris, França",8
19639inp,"\""Olá Mundo\""",10
19671out,Olá! Em que posso ser útil?,15
19711out,O Rei Leão (1994),10
19748inp,Estou experimentando um alto grau de felicidade.,19
1ins,Quais são as três cores primárias?,16
1out,"As três cores primárias são vermelho, azul e amarelo.",24
20079out,A frase é uma frase declarativa.,15
20769out,Prevenir um problema no início poupa muito trabalho e esforço posteriormente.,32
20796out,Bom dia! Tenha um dia muito bom!,18
207out,"A contração de \""they are\"" é \""they",14
20911inp,"Prezado professor Smith,",10
20921inp,um leão que é o rei (ou líder),18
20923inp,A noite com muitas estrelas,14
20970inp,Aumento da temperatura média da Terra,17
20973inp,Simulação de inteligência humana em máquinas,21
20987inp,3 e 5,7
21175inp,Gatos e cachorros,11
21182inp,Ela foi até a loja.,14
21198out,Este é um exemplo da tarefa.,14
21208out,Willian Shakespeare,6
21262inp,Ele foi até a loja.,13
21583out,Estou muito desejoso para ouvir de você em breve.,23
21590out,"Computador, Rápido, Pesquisa",15
21707out,Frase completa.,8
21762out,"As três cores primárias são vermelho, azul e amarelo.",25
21863out,"Desculpe, a tarefa requer uma saída visual que não pode ser gerada pelo modelo.",32
21868out,"Desculpe, a tarefa requer uma saída visual que não pode ser gerada pelo modelo.",32
21907out,Judy: Cientista\nDavid: Músico\nBob: CEO,22
21930out,Porque eles criam muitas coisas falsas ou distorcidas!,25
22155inp,Los Angeles Lakers,7
22253inp,Saudação ao mundo!,14
22253out,"print(\""Olá mundo!\"")",13
22292out,A inclinação da linha é 2.,14
22399inp,<sem entrada>,9
22523out,Ele foi à loja comprar mantimentos.,15
22571out,O sol brilhava intensamente.,13
22583inp,iPhone 12,6
22899out,"\""Se na primeira vez você não conseguir, tente mais vezes.\""",27
23199out,O que tem quatro pernas mas não anda?\nUma cadeira!,24
23250out,O céu era completamente coberto de estrelas.,19
23575out,O triângulo é um triângulo que possui um ângulo obtuso (maior que 90 graus).,34
23583out,"""""""""\nCrie um modelo de aprendizado de máquina para prever o IMC (Índice de Massa Corporal) usando temperatura e altura de pessoas em uma determinada população\n""""""\n\nimportar pandas como pd\nimportar numpy como np\nde sklearn.model_selection importar train_test_split\nde sklearn.linear_model importar LinearRegression\n\n#Carrega os dados\ndados = pd.read_csv(\""temperatura_altura_dados.csv\"")\n\n# Dividir em características (temperatura e altura) e rótulo (IMC)\nX = dados.iloc[:, :2]\ny = dados.iloc[:, 2]\n\n# Dividir em conjuntos de treinamento e teste\nX_train, X_test, y_train, y_test = train_test_split(X, y, test_size = 0,2, random_state = 0)\n\n# Treine o modelo\nregressor = LinearRegression()\nregressor.fit(X_train, y_train)\n\n# Fazer previsões\ny_pred = regressor.predict(X_test)\n\n# Avaliar previsões\npontuação = regressor.score(X_test, y_test)\nprint(\""Pontuação R-quadrado:\"", pontuação)""",380
23676out,A avaliação é negativa.,13
24062out,Ela está indo para a loja.,14
24181out,Estou cansado.,8
24386inp,Tópico: Mudanças Climáticas,17
24402inp,Gerente de marketing,9
24435inp,John Doe,6
24444inp,A Internet,6
24470inp,Processamento de dados para a construção de modelos preditivos,23
24472inp,Processamento de linguagem humana,13
24495out,Ele era extremamente corajoso.,12
24563out,Processos computacionais que permitem que os computadores aprendam com os dados sem serem explicitamente programados,31
24590inp,Maria Curie,7
24626out,Sentimento negativo,9
24694out,Esta afirmação é uma opinião.,17
24848out,Esta é uma frase declarativa.,14
2504inp,"Berlim, Alemanha",10
25143inp,Processamento de informações por algoritmos,19
25319out,2 e 12,6
25404inp,Filme que mistura elementos de comédia e romance,18
25424inp,Apple AirPods Pro,9
25480inp,Elevação do nível do mar,15
25534out,"console.log(\""Olá Mundo!\"");",15
25537inp,O cachorro perseguiu o gato.,17
25543out,Sentença interrogativa.,10
25584inp,Ele correu rapidamente.,12
25620inp,Das Alterações Climáticas,16
2574out,"Olá, como vai?",11
25821out,Emoção desagradável,12
25934out,Sinto muito pelo que você me contou. Há algo que eu possa fazer para ajudar?,33
26041out,O sentimento da frase é positivo.,13
2604out,A Mona Lisa de Leonardo da Vinci.,13
26050out,Estou experienciando um alto grau de felicidade.,19
26162inp,Visualização de dados,11
26233inp,Categoria: Ficção Científica,17
26234inp,Número: 8,10
26259inp,O homem correu rapidamente.,14
26289out,"Mercúrio, Vênus, Terra, Marte, Júpiter, Saturno, Urano, Netuno",30
26315out,Sentença declarativa.,10
26637inp,Engenheiro de software,10
26794out,Sentimento positivo,8
26855out,"Maçã, Banana, Uvas",11
26862out,Qual é a capital da França?,12
26938out,Sentimento negativo.,10
27005out,Sentença declarativa.,10
27121out,"Nome usual, nome popular.",11
27154out,"maçã, banana, laranja",12
27174out,O sentimento da frase é positivo.,13
27353out,"Que possui muitos recursos financeiros - Que causa nojo, aversão",25
27368inp,O gato sentou-se no tapete.,15
27422out,"Minha cor favorita é (A) vermelho, (B) roxo, (C) amarelo.",30
27425out,"Moro nos Estados Unidos da América, mas vim do Canadá.",22
27441out,Sentimento positivo,8
27444out,Uma mulher com pele muito clara,15
2750inp,João Smith,7
27510inp,Donald Trump,6
27513inp,Inteligência Artificial na área da saúde,18
2753out,Ele foi até a loja.,12
27737inp,O cachorro perseguiu o gato.,17
27737out,O gato foi perseguido pelo cachorro.,19
2781out,"""""""""\nEncontre o palíndromo mais longo em uma determinada string\n""""""\n\ndef find_longest_palindrome(s):\n\t# Inicializa o resultado \n\tcomprimento_máx = 1\t \n\t\n\t# Inicializa o índice inicial e final\n\tinício, fim = 0, 0\n\t\n\t# Itera sobre a string de entrada\n\tpara i no intervalo(1, len(s)):\n\t\t\t\t\n\t\t# Encontre o palíndromo de comprimento par mais longo\n\t\tbaixo, alto = i-1, eu \n\t\tenquanto baixo >= 0 e alto < len(s) e s[low] == s[high]:\n\t\t\tse alto - baixo + 1 > max_length:\n\t\t\t\tinício = baixo \n\t\t\t\tfim = alto \n\t\t\t\tmax_length = alto - baixo + 1 \n\t\t\tbaixo -= 1\n\t\t\talto += 1\n\t\t# Encontre o palíndromo de comprimento ímpar mais longo\n\t\tbaixo, alto = i-1, i+1 \n\t\tenquanto baixo >= 0 e alto < len(s) e s[low] == s[high]: \n\t\t\tse alto - baixo + 1 > max_length:\n\t\t\t\tinício = baixo \n\t\t\t\tfim = alto \n\t\t\t\tmax_length = alto - baixo + 1 \n\t\t\tbaixo -= 1\n\t\t\talto += 1\n\t\n\t#resultado retornado\n\tretornar s[início:fim+1]\n\t\nse __nome__ == \""__principal__\"":\n\ts = ""babad""\n\tprint(""O palíndromo mais longo é: "", end="""")\n\timprimir (encontrar_palíndromo mais longo(s))""",610
27853inp,São Francisco,7
2786out,A capital do Canadá é Ottawa.,11
27916inp,1 quilômetro,10
27962out,Esta frase é uma pergunta.,15
28091inp,Donald Trump,6
28118inp,Apple e Samsung,7
28171inp,Estados Unidos,9
2828inp,4 centímetros,9
28624inp,"Alex estava estudando há semanas para sua grande prova de matemática. Ele estava nervoso, mas se sentia confiante de que conseguiria. Quando o teste começou, ele ficou cada vez mais ansioso. Ele começou a duvidar de si mesmo e ficou cada vez mais confuso à medida que avançava. Ele acreditava fortemente que não obteria um bom resultado, mas continuou tentando.",130
28625inp,"Alex estava estudando há semanas para sua grande prova de matemática. Ele estava nervoso, mas se sentia confiante de que conseguiria. Quando o teste começou, ele ficou cada vez mais ansioso. Ele começou a duvidar de si mesmo e ficou cada vez mais confuso à medida que avançava. Ele acreditava que não iria obter um bom resultado, mas continuou tentando.",128
2871inp,Alice em um lugar fantástico e irreal,16
28795inp,O padrinho,8
28912inp,"TV a cabo: $ 49,95, Modem a cabo: $ 25,49, Cabo HDMI: $ 17,99",33
28912out,"TV a cabo: $ 49,95, Modem a cabo: $ 25,49, Cabo HDMI: $ 17,99",32
28955out,Esta é uma frase declarativa.,14
29142inp,Harry Potter e a Pedra Filosofal de J.K. Rowling,20
29161out,A rápida raposa marrom salta sobre o cachorro preguiçoso.,26
29175out,Ela está indo para a loja.,13
29296out,Eu vou para a loja.,11
292inp,"""""A educação é fundamental para o sucesso.""""",17
29591out,"Verso 1:\nToda noite eu fico acordado\nE conte as estrelas no céu\nEsperando que algum dia eu te encontre\nE descubra por que me sinto tão vivo\n\nCoro:\nO tempo continua passando\nMas minha saudade não morre\nUm amor tão forte, tão difícil de encontrar\nEstou procurando por você o tempo todo\n\nVersículo 2:\nE quando estou perdido no escuro\nMeus pensamentos se voltam para o nosso passado\nSua beleza, comparável à beleza do sol da manhã\nSeu toque gentil, meu único\n\nCoro:\nO tempo continua passando\nMas minha saudade não morre\nUm amor tão forte, tão difícil de encontrar\nEstou procurando por você o tempo todo\n\nPonte:\nE quando o sol se põe no oeste\nE as estrelas entram para ver\nVou fechar meus olhos, sonhar com você\nE o amor que parece tão verdadeiro\n\nCoro:\nO tempo continua passando\nMas minha saudade não morre\nUm amor tão forte, tão difícil de encontrar\nEstou procurando por você o tempo todo",382
29647inp,Sequóia,7
296inp,O padrinho,7
29720inp,Quais são os benefícios de aprender uma língua estrangeira?,26
29772inp,Processamento de informações por algoritmos,19
29807out,Ele foi à loja comprar mantimentos.,15
29942inp,4 centímetros,9
29942out,O volume do cubo é 64 cm3.,13
30033out,Nelson Mandela,6
30034out,Tom Cruise,5
30063out,Qual é a cor do céu?,12
30097inp,Conhecimento e aplicação de métodos científicos para extrair conhecimento a partir de dados,40
30122inp,João Smith,7
30146inp,França e Alemanha,10
30173out,Sentença declarativa.,10
30216inp,A influência da tecnologia na educação,19
30292inp,Tópico: Mudanças Climáticas,17
30300inp,Categoria: Ficção Científica,17
30309out,William Shakespeare,5
30339inp,Barack Obama,7
30366out,"""""O sucesso não é permanente, o fracasso não é irreversível: o que conta é a coragem de continuar."" - Winston Churchill""",43
30367out,Vicente Van Gogh,9
304out,Estou cansado.,7
30642inp,"print(\""Olá mundo!\"")",14
306out,"<sem solução, sem alternativas>",14
30768out,<html>\n<cabeçalho>\n</cabeçalho>\n<corpo>\n</corpo>\n</html>,41
30817inp,Produto A e Produto B,13
3091inp,Esta é uma frase de exemplo.,15
30958inp,Nova Iorque,9
30959inp,Sustentabilidade ambiental,12
31162inp,Nova Iorque,9
31284out,"“O sucesso não é permanente, o fracasso não é irreversível: é a coragem de continuar que conta.” -Winston Churchill",45
31299inp,Simulação de inteligência humana em máquinas,21
31301inp,Computação através da internet,14
31398out,sem solução ou alternativa,13
31426out,SELECT * FROM nome_tabela;,12
31475out,"""""Precisamos descobrir uma maneira de resolver esse problema"", disse John.\n\n""Vai ser difícil"", respondeu Sarah. ""É uma questão complexa e teremos que examinar todos os aspectos para chegar a uma solução.""\n\n""Bem, vamos começar dividindo o problema em partes menores e analisando cada uma delas separadamente"", sugeriu John.\n\n""Boa ideia"", concordou Sarah. ""Podemos então olhar para os componentes individuais e encontrar soluções para cada um deles."""", }, { """,173
31524inp,Tesla Modelo 3,8
31527out,A rápida raposa marrom salta sobre o cachorro preguiçoso,25
31627inp,Qual é o pico mais alto do mundo?,17
316inp,John correu rapidamente para a loja.,15
31705inp,f(x) = x^2,12
31711out,Ele abriu a porta.,11
31724out,Alan Turing,5
31743inp,Profissional especializado em analisar dados para extrair conhecimento e insights.,29
31773inp,"O Câncer é o responsável pelos problemas, de John Green",22
31822out,Hoje é sexta-feira.,14
3202inp,f(x) = x^2,12
32219inp,O conflito entre os EUA e a URSS em Cuba envolvendo mísseis,27
32236out,Sentimento positivo.,9
32260inp,Alguém que protege a inocência,16
32285out,O esquema de rima do poema é AABB.,18
32405out,Por que a galinha atravessou o parquinho? Para alcançar o outro escorregador!,33
3245inp,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",25
32562inp,Uma disputa pelo poder entre famílias nobres,21
32575inp,4 centímetros,9
32588out,Esta é uma questão.,11
32645out,Bom dia! Tenha um dia muito bom!,18
32646out,Esta noite irei dar um passeio no parque.,19
32728inp,"""""Aprendizado de máquina é uma área da inteligência artificial que se concentra no desenvolvimento de algoritmos e sistemas que podem aprender e fazer previsões a partir de dados. Ele tem o potencial de revolucionar uma ampla variedade de indústrias, de diagnósticos médicos a carros autônomos. Tecnologias como aprendizado profundo e redes neurais aumentaram drasticamente as capacidades do aprendizado de máquina, e o campo está se expandindo rapidamente. O aprendizado de máquina continuará sendo um dos principais motores da inovação tecnológica nos próximos anos.""""",203
32734inp,Das Alterações Climáticas,16
32783out,Prevenir um problema no início evita problemas maiores posteriormente.,25
32784inp,<sem entrada>.,9
32940inp,Um laptop,6
32960inp,Animais de estimação muito diferentes,19
32961inp,O cão está latindo.,13
32997inp,Saudação ao mundo!,14
32997out,"console.log(\""Olá mundo!\"");",15
33032out,A rápida raposa marrom salta sobre o cachorro preguiçoso.,26
33062inp,Estou com muito entusiasmo!,15
33137out,"""""""""\nCriar um classificador Random Forest para prever o sentimento de uma determinada frase\n""""""\n\nfrom sklearn.ensemble import RandomForestClassifier\nimport numpy as np \n\n# criar a entrada para o classificador: \nsentence = np.array([[1,0,0,0,1]]) # representar a frase como um vetor de uns e zeros, sendo 1 positivo e 0 negativo \n\n# definir o rótulo \nlabel = np.array([1]) # 1 positivo e 0 negativo \n\n# criar e treinar o classificador Random Forest \nclf = RandomForestClassifier() \nclf.fit(sentence, label) \n\n#testar o classificador \ntest_sentence = \""A comida aqui é realmente incrível.\""\ntest_sentence_vector = np.array([[1,0,0,0,1]]) \nprediction = clf.predict(test_sentence_vector) \n\n# saída da previsão de sentimento \nprint(prediction) # saída: 1 (classificação de sentimento como positivo)""",308
33140out,"""""""""\nDivida 887 por 3 usando Python\n""""""\n\nresultado = 887/3\nimprimir (resultado) # Saída: 295.6666666666667""",51
33199inp,Processos computacionais que permitem que os computadores aprendam sem serem explicitamente programados,28
3330inp,Cidade de Nova York,10
33368inp,O novo smartwatch da Apple vem com seis meses de acesso gratuito ao serviço de streaming Apple Watch Music.,37
33369inp,O novo smartwatch da Apple vem com um período de seis meses com acesso sem custo adicional ao serviço de streaming Apple Watch Music.,45
33370inp,O novo smartwatch da Apple vem com seis meses de acesso gratuito ao serviço de streaming Apple Watch Music.,37
33371inp,O novo smartwatch da Apple vem com seis meses de acesso gratuito ao serviço de streaming Apple Watch Music.,37
33372inp,O novo smartwatch da Apple vem com seis meses de acesso gratuito ao serviço de streaming Apple Watch Music.,37
3346out,A capital da Índia é Nova Delhi.,14
33472out,"""""Google e Apple se unem para revelar aplicativo extremamente inovador"""" }, { """,28
33594out,Está chovendo muito.,12
33639inp,Barack Obama,7
33643inp,O artigo pode ser acessado aqui: [URL do artigo],22
33883out,1. Barraca\n2. Saco de dormir\n3. Lanterna\n4. Fogão de acampamento\n5. Fósforos,43
3390inp,A vida é com muitos eventos inesperados.,19
3402out,Sentimento negativo.,10
34094out,Sentimento positivo,8
34385out,"Roxo, azul, amarelo, vermelho",17
3439inp,O gato sentou-se no tapete.,15
3439out,Sentença declarativa.,10
34425out,"Misture os ingredientes, pré-aqueça o forno, asse o bolo, decore o bolo",29
34587out,"print(\""Olá mundo!\"")",13
34708inp,Carvalho,7
34712inp,El fenómeno climático cíclico,18
34755out,O cachorro latiu.,11
34792out,O filme de animação chamado O Rei Leão (1994),21
34846inp,Grande Canyon,7
34980inp,Meios de comunicação social,13
3501out,Sentimento positivo.,9
35058inp,Toyota Camry,8
35076out,Ela comeu uma maçã.,13
35117out,<nooutput> – Os visuais não podem ser criados por um modelo de linguagem.,29
35123out,<nooutput> – Os visuais não podem ser criados por um modelo de linguagem.,29
35154inp,Simulação de inteligência humana em máquinas,21
35160inp,O impacto das mídias sociais na saúde mental,21
35336out,Triângulo retângulo.,12
3536out,A área do triângulo é 6 cm^2.,18
3545out,Ela escreveu um livro.,12
3546inp,Aplicativo de entrega de supermercado,18
35472out,Hoje é sexta-feira.,14
35482out,y = mx + b,9
35535out,"cedro, beija-flor, onça, carvalho",18
35544out,Sentimento positivo,8
35785out,"Olá, como vai?",11
3598inp,João Smith,7
36176out,A raiz quadrada de 64 é 8.,14
36582out,A rápida raposa marrom salta sobre o cachorro preguiçoso,25
36757out,Frase imperativa.,9
36855inp,Exploração espacial,10
36862out,Lamento o ocorrido. Há algo que eu possa fazer para ajudar?,29
36932inp,Um smartphone,6
36941out,Ele/Ela está indo para a loja.,15
37016out,sem solução/ sem alternativa/ sem escapatória,20
37117out,Sentença interrogativa.,10
37277inp,"Computação remota, acessível pela internet",19
37290out,Sentimento positivo.,9
37390inp,das Alterações Climáticas,16
37431out,O rato foi perseguido pelo gato.,17
37462out,Ele está indo para a loja.,12
37522inp,Computação através da internet,14
37570inp,Os benefícios de comer alimentos orgânicos,19
37614out,O sentimento da frase é negativo.,14
37671out,"imprimir(\""Olá mundo\"")",14
37878out,João – Editor de Vídeo \nTina – Gerente de Mídias Sociais\nAlice – Desenvolvedora Web,37
37982out,A capital da Índia é Nova Déli.,17
38043out,Esta é uma frase declarativa.,14
38052out,"Olá, como vai?",11
38072out,Eu fui à loja.,11
38075out,Eu fui à loja.,11
38252out,iPhone 11.,6
38432inp,João foi até a loja.,14
38432out,John foi com ansiedade à loja.,14
38507out,Lamento o ocorrido. Há algo que eu possa fazer para ajudar?,28
3867out,Agir preventivamente resolve muitos problemas futuros.,19
38744inp,Realidade que adiciona informações virtuais à realidade existente,26
38872inp,Cidade de Nova York,10
38895ins,Crie um GIF que se repete continuamente de um gato correndo.,22
38895out,Crie um GIF que se repete continuamente de um gato correndo.,22
38909inp,Inteligência Artificial e Aprendizado de Máquina,21
38920out,A área do triângulo é 6 cm^2.,18
38921inp,3 e 7,7
38966inp,Nome: Emma Smith\nGênero: Filme de ação\nFilme Favorito: O Cavaleiro das Trevas,37
38972inp,Visualização de dados,11
38973inp,Os benefícios de comer alimentos orgânicos,19
38984inp,"Alguém que cuida das crianças que estão caindo, de J. D. Salinger",32
39004inp,Agrupamento K-Means,12
39028out,Eu sou seu estudante.,12
39086inp,"WASHINGTON (CNN) – Uma corrida presidencial aberta e a vontade dos candidatos, grupos de interesse, sindicatos e empresas de comprarem tempo de televisão conduzirão a gastos muito elevados em publicidade política e de defesa de questões no ciclo eleitoral de 2008, mostra uma análise.",103
39095inp,A capital da França é Paris.,13
39095out,Qual é a capital da França?,12
39114out,Sentimento negativo.,10
39179out,Al + O2 → Al2O3,12
39199inp,Inteligência Artificial na área da saúde,18
39272inp,< sem entrada >,9
39273inp,<sem entrada>,9
39274inp,<sem entrada>,9
39276inp,<sem entrada>,9
39339inp,Realidade suplementada ou acrescida de elementos virtuais,21
39358inp,iPhone 11,6
39382inp,Gerente de marketing,9
39437out,<html>\n  <cabeça>\n  </head>\n  <corpo>\n  </body>\n</html>,38
39491out,"sem solução, sem alternativa, sem possibilidade de sucesso",24
